id,code,severity,category,target,detail
VIA-ERR-510f49482c57723a,POWERSHELL_SYNTAX,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\Invoke-VIA-PSRepair-v0102.ps1,"[""子運算式中缺少結尾 ')'。"", ""陳述式區塊或類型定義中缺少結尾 '}'。"", ""運算式或陳述式中有未預期的語彙基元 ')'。"", ""運算式或陳述式中有未預期的語彙基元 '}'。""]"
VIA-ERR-42837b7b9283be7a,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\VIA_WorkflowEngine.py,main: branches=34
VIA-ERR-65b60c05cf4252a8,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\CGE\Console\inventory\manifest.json,Expecting value: line 1 column 1 (char 0)
VIA-ERR-7b1f8c35d74e1eec,FILE_SIZE_LIMIT,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\VIA_Reports\vcgc\VCGC_latest.json,超出解析大小，未完整掃描
VIA-ERR-db6959f39f17696f,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\VIA_TW_Grouping_LatestCommand_v0202\VIA_TW_GroupingIndexRotationUnifiedEngine_v0201.py,def_analyze_snapshot: branches=36
VIA-ERR-7d09ee7fe2feb4a5,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\VIA_TW_Grouping_LatestCommand_v0202\VIA_TW_GroupingIndexRotationUnifiedEngine_v0201.py,def_build_group_indices: branches=26
VIA-ERR-60b0c305ebdebe94,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\VIA_TW_Grouping_LatestCommand_v0202\VIA_TW_GroupingIndexRotationUnifiedEngine_v0201.py,def_run_validation: branches=28
VIA-ERR-f4bbf89e78a7575c,REQUIREMENTS_PARSER_MISSING,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\VIA_TW_Grouping_LatestCommand_v0202\requirements_via_core_312.txt,宣告交叉解析未執行
VIA-ERR-cc9043008715d04c,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\engine\VIA_ActiveStockETF.py,render_html: branches=48
VIA-ERR-d02f7056784f2eb5,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\engine\VIA_GlobalETFFlow.py,_raw_components: branches=37
VIA-ERR-db84afc00d9afc61,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\engine\VIA_GlobalETFFlow.py,_cases: branches=30
VIA-ERR-8eb9bf873cc9e2fd,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\engine\VIA_GlobalETFFlow.py,run_mocktest: branches=40
VIA-ERR-d9c7d59bd9355929,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\engine\VIA_ThreeList_Grouping_DynamicValidationPipeline_v0200.py,def_analyze_membership: branches=31
VIA-ERR-64ad6228ed9b3c7a,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\engine\VIA_ThreeList_Grouping_DynamicValidationPipeline_v0200.py,def_build_test_ledger: branches=32
VIA-ERR-55d9c22b295ec64d,REQUIREMENTS_PARSER_MISSING,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\engine\taiwan_revenue_engine\requirements.txt,宣告交叉解析未執行
VIA-ERR-aee91d7b9f77e432,COMPLEXITY_REVIEW,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\engine\taiwan_revenue_engine\twrevenue\groups.py,group_momentum: branches=28
VIA-ERR-d1a68c82fdea9113,REQUIREMENTS_PARSER_MISSING,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\flow_simulation_v0400\requirements.txt,宣告交叉解析未執行
VIA-ERR-f982f9f49a8fc26e,SYNTAX_OR_CONFIG_ERROR,ERROR,Parallel-Fixable,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\GroupIndex\flow_simulation_v0400\references\intake\3a2e975b-3512-437f-9a17-f5b359958e7b.py,"invalid syntax (3a2e975b-3512-437f-9a17-f5b359958e7b.py, line 212)"
VIA-ERR-736235bd16ff51a1,REQUIREMENTS_PARSER_MISSING,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\SuperDocExtractor\requirements.txt,宣告交叉解析未執行
VIA-ERR-eade64e22767855d,REQUIREMENTS_PARSER_MISSING,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\TALib\vendor\TA-Lib-ta-lib-python-2384b72\requirements.txt,宣告交叉解析未執行
VIA-ERR-ca294aa7fcba28fd,REQUIREMENTS_PARSER_MISSING,WARN,Sequence-Dependent,C:\Users\tonyk\OneDrive\Documents\movies-dataset\VeritasIntelligenceAnalytics\functional modules\TALib\vendor\TA-Lib-ta-lib-python-2384b72\requirements_dev.txt,宣告交叉解析未執行
