industry,industry_label,step,step_label,duration_s,returncode
smart-manufacturing,Smart manufacturing,01_vsx_extract,VSX extract,0.177,0
smart-manufacturing,Smart manufacturing,02_generate_validators,Generate validators,0.046,0
smart-manufacturing,Smart manufacturing,03_module_validation,Module validation,0.047,0
smart-manufacturing,Smart manufacturing,04_hub_selftest,Hub self-test,2.176,0
smart-manufacturing,Smart manufacturing,05_hub_route,Hub route,0.064,0
smart-manufacturing,Smart manufacturing,06_hub_pipeline,Hub pipeline,5.864,0
finance-cyber,Finance cyber,01_vsx_extract,VSX extract,0.168,0
finance-cyber,Finance cyber,02_generate_validators,Generate validators,0.045,0
finance-cyber,Finance cyber,03_module_validation,Module validation,0.045,0
finance-cyber,Finance cyber,04_hub_selftest,Hub self-test,1.781,0
finance-cyber,Finance cyber,05_hub_route,Hub route,0.064,0
finance-cyber,Finance cyber,06_hub_pipeline,Hub pipeline,5.632,0
smart-healthcare,Smart healthcare,01_vsx_extract,VSX extract,0.208,0
smart-healthcare,Smart healthcare,02_generate_validators,Generate validators,0.048,0
smart-healthcare,Smart healthcare,03_module_validation,Module validation,0.069,0
smart-healthcare,Smart healthcare,04_hub_selftest,Hub self-test,1.745,0
smart-healthcare,Smart healthcare,05_hub_route,Hub route,0.064,0
smart-healthcare,Smart healthcare,06_hub_pipeline,Hub pipeline,5.675,0
investment-research,Investment research,01_vsx_extract,VSX extract,0.16,0
investment-research,Investment research,02_generate_validators,Generate validators,0.045,0
investment-research,Investment research,03_module_validation,Module validation,0.043,0
investment-research,Investment research,04_hub_selftest,Hub self-test,1.6,0
investment-research,Investment research,05_hub_route,Hub route,0.066,0
investment-research,Investment research,06_hub_pipeline,Hub pipeline,5.619,0
