type,name,context,code,series
GRP,半導體,族群分類v1.1,VIA-GRP-0B3910,MI-v2
GRP,AI 伺服器,族群分類v1.1,VIA-GRP-561876,MI-v2
GRP,貨櫃航運,族群分類v1.1,VIA-GRP-292753,MI-v2
GRP,金融,族群分類v1.1,VIA-GRP-0165D9,MI-v2
GRP,被動元件,族群分類v1.1,VIA-GRP-58DD9E,MI-v2
GRP,光學,族群分類v1.1,VIA-GRP-5F80DD,MI-v2
GRP,機器人,族群分類v1.1,VIA-GRP-1EDCA7,MI-v2
GRP,散熱,族群分類v1.1,VIA-GRP-92BB57,MI-v2
GRP,BBU 備援電池,族群分類v1.1,VIA-GRP-C59B8A,MI-v2
GRP,CPO 共封裝光學,族群分類v1.1,VIA-GRP-EC0049,MI-v2
GRP,低軌衛星,族群分類v1.1,VIA-GRP-FDCC1F,MI-v2
GRP,散裝航運,族群分類v1.1,VIA-GRP-BBD1D9,MI-v2
GRP,航空,族群分類v1.1,VIA-GRP-F7296B,MI-v2
GRP,鋼鐵,族群分類v1.1,VIA-GRP-E3201E,MI-v2
GRP,條鋼,族群分類v1.1,VIA-GRP-A014CE,MI-v2
GRP,重電,族群分類v1.1,VIA-GRP-F7A1B4,MI-v2
GRP,軍工航太,族群分類v1.1,VIA-GRP-1C5FD7,MI-v2
GRP,ABF 載板,族群分類v1.1,VIA-GRP-9F4E39,MI-v2
GRP,記憶體,族群分類v1.1,VIA-GRP-F48C21,MI-v2
GRP,PCB,族群分類v1.1,VIA-GRP-E32B5C,MI-v2
GRP,台積電擴廠,族群分類v1.1,VIA-GRP-8B9F78,MI-v2
GRP,生技醫療,族群分類v1.1,VIA-GRP-BBDA5C,MI-v2
GRP,IC設計,族群分類v1.1,VIA-GRP-19A71A,MI-v2
GRP,電源管理,族群分類v1.1,VIA-GRP-12C142,MI-v2
GRP,ASIC 設計服務,族群分類v1.1,VIA-GRP-B1CD4F,MI-v2
GRP,矽智財 IP,族群分類v1.1,VIA-GRP-0A235E,MI-v2
GRP,網通設備,族群分類v1.1,VIA-GRP-2EC00F,MI-v2
GRP,電動車,族群分類v1.1,VIA-GRP-973362,MI-v2
GRP,觀光餐飲,族群分類v1.1,VIA-GRP-707DDC,MI-v2
GRP,半導體設備,族群分類v1.1,VIA-GRP-9101C8,MI-v2
GRP,資安/系統整合,族群分類v1.1,VIA-GRP-5BE685,MI-v2
GRP,量子科技,族群分類v1.1,VIA-GRP-BDA63B,MI-v2
GRP,矽光子,族群分類v1.1,VIA-GRP-816DF8,MI-v2
GRP,HDD/SSD 儲存,族群分類v1.1,VIA-GRP-34326F,MI-v2
GRP,無人機,族群分類v1.1,VIA-GRP-BB62D8,MI-v2
GRP,智慧眼鏡/AR/AI PC,族群分類v1.1,VIA-GRP-BAAF3E,MI-v2
CAT,A · 全球指數流 (Index FIS),擷取矩陣,VIA-CAT-449E1A,MI-v2
EXT,美股大盤,A · 全球指數流 (Index FIS),VIA-EXT-0FB972,MI-v2
EXT,台股大盤,A · 全球指數流 (Index FIS),VIA-EXT-51E65F,MI-v2
EXT,亞洲,A · 全球指數流 (Index FIS),VIA-EXT-0C434D,MI-v2
EXT,歐洲,A · 全球指數流 (Index FIS),VIA-EXT-47419D,MI-v2
EXT,新興市場,A · 全球指數流 (Index FIS),VIA-EXT-102393,MI-v2
CAT,B · ETF FIS 宇宙 (依風險層 ~70檔),擷取矩陣,VIA-CAT-9BC9B2,MI-v2
EXT,T0 防禦/低波,B · ETF FIS 宇宙 (依風險層 ~70檔),VIA-EXT-D7154B,MI-v2
EXT,T1 核心市值,B · ETF FIS 宇宙 (依風險層 ~70檔),VIA-EXT-E20D64,MI-v2
EXT,T2 產業/主題,B · ETF FIS 宇宙 (依風險層 ~70檔),VIA-EXT-9598A7,MI-v2
EXT,T2 區域/國別,B · ETF FIS 宇宙 (依風險層 ~70檔),VIA-EXT-A2C8F1,MI-v2
EXT,T4 槓桿/反向,B · ETF FIS 宇宙 (依風險層 ~70檔),VIA-EXT-7FD057,MI-v2
CAT,C · 台股族群 & 個股流 (核心),擷取矩陣,VIA-CAT-DD00EA,MI-v2
EXT,族群分類,C · 台股族群 & 個股流 (核心),VIA-EXT-DE64C7,MI-v2
EXT,個股角色,C · 台股族群 & 個股流 (核心),VIA-EXT-B72C74,MI-v2
EXT,法人買賣超($),C · 台股族群 & 個股流 (核心),VIA-EXT-86D7B9,MI-v2
EXT,Δ融資餘額,C · 台股族群 & 個股流 (核心),VIA-EXT-F63639,MI-v2
EXT,個股→族群上捲,C · 台股族群 & 個股流 (核心),VIA-EXT-444FAE,MI-v2
CAT,D · 台股主動式ETF & 選股 (展現層),擷取矩陣,VIA-CAT-893DE9,MI-v2
EXT,主動ETF清單,D · 台股主動式ETF & 選股 (展現層),VIA-EXT-C10DA6,MI-v2
EXT,績效 Matrix,D · 台股主動式ETF & 選股 (展現層),VIA-EXT-DA6304,MI-v2
EXT,持股異動/選股,D · 台股主動式ETF & 選股 (展現層),VIA-EXT-85C10B,MI-v2
EXT,規模/受益人數,D · 台股主動式ETF & 選股 (展現層),VIA-EXT-B08D8C,MI-v2
CAT,E · 全球商品流 (現貨/期貨/供給/庫存/成本),擷取矩陣,VIA-CAT-3107C8,MI-v2
EXT,能源-原油,E · 全球商品流 (現貨/期貨/供給/庫存/成本),VIA-EXT-B1B4D0,MI-v2
EXT,能源-氣/汽油,E · 全球商品流 (現貨/期貨/供給/庫存/成本),VIA-EXT-4D6310,MI-v2
EXT,貴金屬,E · 全球商品流 (現貨/期貨/供給/庫存/成本),VIA-EXT-5D7A76,MI-v2
EXT,工業金屬,E · 全球商品流 (現貨/期貨/供給/庫存/成本),VIA-EXT-5B54D1,MI-v2
EXT,農產,E · 全球商品流 (現貨/期貨/供給/庫存/成本),VIA-EXT-A26831,MI-v2
EXT,廣基/商品股,E · 全球商品流 (現貨/期貨/供給/庫存/成本),VIA-EXT-14E6AB,MI-v2
EXT,碳權/運費(新增),E · 全球商品流 (現貨/期貨/供給/庫存/成本),VIA-EXT-49108A,MI-v2
EXT,供給/庫存/成本,E · 全球商品流 (現貨/期貨/供給/庫存/成本),VIA-EXT-74CF45,MI-v2
CAT,F · 加密資產 (Crypto),擷取矩陣,VIA-CAT-074D6A,MI-v2
EXT,主要幣,F · 加密資產 (Crypto),VIA-EXT-484CA0,MI-v2
EXT,現貨ETF創贖/持幣,F · 加密資產 (Crypto),VIA-EXT-9294A8,MI-v2
EXT,穩定幣,F · 加密資產 (Crypto),VIA-EXT-325B35,MI-v2
CAT,G · 美股指數分族群進出,擷取矩陣,VIA-CAT-83A050,MI-v2
EXT,SPX→11 GICS,G · 美股指數分族群進出,VIA-EXT-E076C4,MI-v2
EXT,DJI→成分族群,G · 美股指數分族群進出,VIA-EXT-B89199,MI-v2
EXT,NDX→Mag7/類股,G · 美股指數分族群進出,VIA-EXT-7C4E5A,MI-v2
CAT,H · 資金品質指標 (TWSE),擷取矩陣,VIA-CAT-C5EB2B,MI-v2
EXT,融資使用率,H · 資金品質指標 (TWSE),VIA-EXT-A7497B,MI-v2
EXT,融資維持率,H · 資金品質指標 (TWSE),VIA-EXT-120345,MI-v2
EXT,券資比,H · 資金品質指標 (TWSE),VIA-EXT-5AA25D,MI-v2
EXT,當沖比,H · 資金品質指標 (TWSE),VIA-EXT-B195BD,MI-v2
EXT,借券賣出 SBL,H · 資金品質指標 (TWSE),VIA-EXT-1F232A,MI-v2
CAT,I · 情緒/風險指標 (新增),擷取矩陣,VIA-CAT-7712DF,MI-v2
EXT,^VIX 隱含波動,I · 情緒/風險指標 (新增),VIA-EXT-1DD0FB,MI-v2
EXT,VIX 期限結構,I · 情緒/風險指標 (新增),VIA-EXT-309FD7,MI-v2
EXT,AAII 散戶多空,I · 情緒/風險指標 (新增),VIA-EXT-4F742B,MI-v2
EXT,CNN Fear & Greed,I · 情緒/風險指標 (新增),VIA-EXT-131C3C,MI-v2
EXT,Put/Call Ratio,I · 情緒/風險指標 (新增),VIA-EXT-A6ECA5,MI-v2
EXT,NAAIM/II 投顧情緒,I · 情緒/風險指標 (新增),VIA-EXT-55A2E6,MI-v2
EXT,MOVE 債券波動(新增),I · 情緒/風險指標 (新增),VIA-EXT-736D01,MI-v2
EXT,MMF 場邊現金(新增),I · 情緒/風險指標 (新增),VIA-EXT-EC23E8,MI-v2
CAT,"J · 宏觀數據 (政府 vs 民間差異,新增)",擷取矩陣,VIA-CAT-3D0166,MI-v2
EXT,PMI 製造/服務,"J · 宏觀數據 (政府 vs 民間差異,新增)",VIA-EXT-2F56CB,MI-v2
EXT,CPI 通膨,"J · 宏觀數據 (政府 vs 民間差異,新增)",VIA-EXT-85B88D,MI-v2
EXT,PPI 生產者,"J · 宏觀數據 (政府 vs 民間差異,新增)",VIA-EXT-67D86B,MI-v2
EXT,官民差異指標,"J · 宏觀數據 (政府 vs 民間差異,新增)",VIA-EXT-4304A5,MI-v2
EXT,宏觀因子,"J · 宏觀數據 (政府 vs 民間差異,新增)",VIA-EXT-A1CA0C,MI-v2
EXT,進出口/貿易(新增),"J · 宏觀數據 (政府 vs 民間差異,新增)",VIA-EXT-BC2D50,MI-v2
EXT,央行資產負債表(新增),"J · 宏觀數據 (政府 vs 民間差異,新增)",VIA-EXT-D14A4F,MI-v2
CAT,"K · AUM 多來源計算 (並存,新增)",擷取矩陣,VIA-CAT-17130A,MI-v2
EXT,法1 現貨ETF,"K · AUM 多來源計算 (並存,新增)",VIA-EXT-9262D6,MI-v2
EXT,法2 期貨ETF,"K · AUM 多來源計算 (並存,新增)",VIA-EXT-AD7506,MI-v2
EXT,法3 holdings-sum,"K · AUM 多來源計算 (並存,新增)",VIA-EXT-A84740,MI-v2
EXT,法4 issuer 申報,"K · AUM 多來源計算 (並存,新增)",VIA-EXT-27A058,MI-v2
EXT,一致性檢查,"K · AUM 多來源計算 (並存,新增)",VIA-EXT-F1740E,MI-v2
CAT,"M · 債券 公債/公司債 (各區域,新增)",擷取矩陣,VIA-CAT-54A753,MI-v2
EXT,存續期梯(美公債),"M · 債券 公債/公司債 (各區域,新增)",VIA-EXT-C88982,MI-v2
EXT,信用層(美),"M · 債券 公債/公司債 (各區域,新增)",VIA-EXT-A18175,MI-v2
EXT,區域-國際/歐,"M · 債券 公債/公司債 (各區域,新增)",VIA-EXT-66B41A,MI-v2
EXT,區域-新興,"M · 債券 公債/公司債 (各區域,新增)",VIA-EXT-DF41E0,MI-v2
EXT,公債需求端真值,"M · 債券 公債/公司債 (各區域,新增)",VIA-EXT-E5A26F,MI-v2
EXT,美債期貨 positioning,"M · 債券 公債/公司債 (各區域,新增)",VIA-EXT-9C97A3,MI-v2
EXT,台灣債券ETF,"M · 債券 公債/公司債 (各區域,新增)",VIA-EXT-D3C130,MI-v2
EXT,信用利差確認,"M · 債券 公債/公司債 (各區域,新增)",VIA-EXT-F6CA7C,MI-v2
CAT,N · 匯率/利率/利差/股市吸引力 (新增),擷取矩陣,VIA-CAT-E9F9D7,MI-v2
EXT,美元指數,N · 匯率/利率/利差/股市吸引力 (新增),VIA-EXT-3E7831,MI-v2
EXT,各區匯率,N · 匯率/利率/利差/股市吸引力 (新增),VIA-EXT-1AE09B,MI-v2
