Group,Subgroup,Rank,Ticker,YFTicker,Name,Market,Dimension,CountingFlag,SourceID,EvidenceStatus
半導體,,L,2330,2330.TW,台積電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
半導體,,P,2454,2454.TW,聯發科,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
半導體,,P,2303,2303.TW,聯電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
半導體,,G,5347,5347.TWO,世界先進,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
半導體,,G,6770,6770.TW,力積電,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
貨櫃航運,,L,2603,2603.TW,長榮,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
貨櫃航運,,P,2609,2609.TW,陽明,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
貨櫃航運,,G,2615,2615.TW,萬海,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
金融,,L,2881,2881.TW,富邦金,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
金融,,P,2882,2882.TW,國泰金,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
金融,,P,2886,2886.TW,兆豐金,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
金融,,G,2884,2884.TW,玉山金,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
被動元件,,L,2327,2327.TW,國巨,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
被動元件,,P,2492,2492.TW,華新科,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
被動元件,,G,3026,3026.TWO,禾伸堂,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
光學,,L,3008,3008.TW,大立光,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
光學,,P,3406,3406.TW,玉晶光,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
光學,,G,3019,3019.TW,亞光,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
機器人,,L,2049,2049.TW,上銀,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
機器人,,P,2359,2359.TW,所羅門,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
機器人,,G,1597,1597.TWO,直得,TPEX,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
BBU 備援電池,,L,4931,4931.TW,新盛力,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
BBU 備援電池,,P,6781,6781.TW,AES-KY,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
BBU 備援電池,,P,3323,3323.TW,加百裕,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
BBU 備援電池,,G,3211,3211.TW,順達,TWSE,D01_CANONICAL_GROUPING,COUNT,LIST_A_GROUPING_CODING,SOURCE_ROW_EMBEDDED_SAMPLE_METRICS
