rank,group,is_cyclical,atypical,members,covered,group_score,agg_cum_yoy,agg_yoy,group_revenue,median_cum_yoy,median_yoy,breadth_pos,n_pref,n_warn,n_accel,n_leaders,leader_names,leader_score,leader_confirm,verdict
1,ABF 載板,False,False,4,4,68.5,20.5,27.8,163425920,19.0,25.1,100.0,3,0,2,1,欣興,69.0,True,族群加速
2,CPO 共封裝光學,False,False,6,6,67.7,19.0,19.3,426218409,15.7,17.1,100.0,5,0,5,1,聯亞,87.7,True,族群加速
3,觀光餐飲,False,False,5,5,64.2,10.9,13.7,263254045,12.8,20.8,80.0,3,1,2,2,雄獅、王品,66.2,True,族群加速
4,PCB,False,False,5,5,63.1,4.0,1.4,482853811,11.2,5.6,60.0,3,2,2,2,台光電、臻鼎-KY,68.5,True,分歧/中性
5,金融,False,True,4,4,60.5,32.0,32.0,235997588,18.4,18.0,75.0,1,1,1,1,富邦金,60.1,False,族群加速
6,IC設計,False,False,4,4,59.7,15.2,21.5,164407460,13.0,19.1,100.0,3,0,2,1,聯詠,53.6,False,族群加速
7,AI 伺服器,False,False,7,7,58.3,8.8,15.8,437573821,16.6,17.7,71.0,4,2,5,2,鴻海、緯穎,86.1,True,分歧/中性
8,ASIC 設計服務,False,False,4,4,56.7,23.8,20.0,327736644,17.3,14.4,100.0,3,0,1,2,世芯-KY、創意,56.7,True,族群加速
9,散熱,False,False,8,8,56.6,12.3,17.1,439994998,13.0,11.6,100.0,4,2,4,2,雙鴻、奇鋐,56.6,True,族群加速
10,航空,False,False,3,3,56.6,-6.6,-12.4,172457314,9.5,10.6,67.0,0,1,0,1,長榮航,56.6,True,族群轉弱
11,重電,False,False,6,6,55.5,13.4,11.4,478928760,12.9,12.1,100.0,4,1,4,1,華城,68.5,True,族群加速
12,記憶體,False,False,5,5,55.2,11.2,7.4,319462324,12.2,7.5,80.0,3,1,2,1,南亞科,55.2,True,族群加速
13,台積電擴廠,False,False,6,6,54.5,15.9,18.7,453921827,14.6,12.9,100.0,4,1,3,2,帆宣、漢唐,70.0,True,族群加速
14,電源管理,False,False,4,4,54.0,10.7,14.0,141292845,13.5,20.5,75.0,2,0,2,1,台達電,23.3,False,族群加速
15,電動車,False,False,4,4,52.5,15.4,11.0,234293628,10.8,10.6,75.0,1,1,1,1,貿聯-KY,54.5,True,族群加速
16,軍工航太,False,False,4,4,51.1,16.8,30.1,480699378,15.3,16.5,75.0,1,2,3,1,漢翔,87.3,True,族群加速
17,網通設備,False,False,4,4,48.1,15.4,15.0,251572379,10.1,15.1,75.0,2,0,2,1,智邦,61.9,True,族群加速
18,半導體設備,False,False,5,5,46.7,9.6,6.4,265786930,9.6,7.9,80.0,1,2,1,2,致茂、家登,51.7,True,分歧/中性
19,資安/系統整合,False,False,4,4,44.2,9.2,-3.0,217803915,13.0,2.6,50.0,2,2,2,1,安碁資訊,81.1,True,分歧/中性
20,生技醫療,False,False,5,5,42.9,14.4,7.6,188256763,3.4,4.2,80.0,1,2,3,2,保瑞、藥華藥,61.4,True,族群加速
21,機器人,False,False,6,6,41.6,14.0,10.5,406414973,5.9,6.7,50.0,2,2,2,2,上銀、亞德客-KY,68.5,True,分歧/中性
22,矽智財 IP,False,False,3,3,40.7,10.8,10.0,153477028,5.1,5.3,67.0,1,1,0,1,力旺,79.0,True,族群加速
23,被動元件,False,False,4,4,40.3,4.1,12.8,202028321,5.1,11.0,100.0,0,1,2,1,國巨,44.4,True,分歧/中性
24,半導體,False,False,7,7,39.2,15.9,10.2,522832984,7.9,-4.1,43.0,2,4,3,2,台積電、日月光投控,56.6,True,分歧/中性
25,低軌衛星,False,False,4,4,38.2,7.6,10.2,320327703,5.6,10.9,75.0,1,1,3,1,昇達科,35.8,False,分歧/中性
26,BBU 備援電池,False,False,4,4,37.5,5.1,5.1,275275667,5.7,11.0,75.0,0,1,3,1,新盛力,38.6,True,分歧/中性
27,光學,False,False,4,4,23.3,-3.1,-15.7,155874745,5.4,-16.4,50.0,0,3,0,1,大立光,33.9,True,族群轉弱
28,條鋼,True,False,4,4,,-38.7,-50.0,114690365,-46.1,-53.8,25.0,0,0,1,1,豐興,,,週期(改看價格/庫存)
29,鋼鐵,True,False,6,6,,11.9,-7.2,182803523,43.5,-25.0,33.0,0,0,1,1,中鋼,,,週期(改看價格/庫存)
30,散裝航運,True,False,7,7,,94.8,38.7,285921348,117.0,86.6,57.0,0,0,2,1,慧洋-KY,,,週期(改看價格/庫存)
31,貨櫃航運,True,False,3,3,,16.5,-24.9,65395953,140.3,91.5,67.0,0,0,1,1,長榮,,,週期(改看價格/庫存)
