MotherSector,MotherTicker,MotherName,MotherRole,TickerValid,MatchType,LocalTicker,LocalName,LocalGroup,NameAgrees
CPO 共封裝光學,3081,聯亞,LEADER,True,EXACT_TICKER_MATCH,3081,聯亞,I 光通訊與矽光子,True
CPO 共封裝光學,6442,光聖,PEER,True,EXACT_TICKER_MATCH,6442,光聖,I 光通訊與矽光子,True
CPO 共封裝光學,3363,上詮,PEER,True,EXACT_TICKER_MATCH,3363,上詮,I 光通訊與矽光子,True
CPO 共封裝光學,3163,波若威,PEER,True,EXACT_TICKER_MATCH,3163,波若威,I 光通訊與矽光子,True
CPO 共封裝光學,4977,眾達-KY,PEER,True,EXACT_TICKER_MATCH,4977,眾達-KY,I 光通訊與矽光子,True
CPO 共封裝光學,4979,華星光,LAGGARD,True,EXACT_TICKER_MATCH,4979,華星光,I 光通訊與矽光子,True
BBU 備援電池,4931,新盛力,LEADER,True,EXACT_TICKER_MATCH,4931,新盛力,H AI 電力與機房,True
BBU 備援電池,6781,AES-KY,PEER,True,EXACT_TICKER_MATCH,6781,AES-KY,H AI 電力與機房,True
BBU 備援電池,3323,加百裕,PEER,True,EXACT_TICKER_MATCH,3323,加百裕,H AI 電力與機房,True
BBU 備援電池,3211,順達,LAGGARD,True,EXACT_TICKER_MATCH,3211,順達,H AI 電力與機房,True
AI 伺服器,2317,鴻海,LEADER,True,EXACT_TICKER_MATCH,2317,鴻海,F AI 伺服器系統,True
AI 伺服器,6669,緯穎,LEADER,True,EXACT_TICKER_MATCH,6669,緯穎,F AI 伺服器系統,True
AI 伺服器,2382,廣達,PEER,True,EXACT_TICKER_MATCH,2382,廣達,F AI 伺服器系統,True
AI 伺服器,3231,緯創,PEER,True,EXACT_TICKER_MATCH,3231,緯創,F AI 伺服器系統,True
AI 伺服器,2356,英業達,PEER,True,EXACT_TICKER_MATCH,2356,英業達,F AI 伺服器系統,True
AI 伺服器,8210,勤誠,PEER,True,EXACT_TICKER_MATCH,8210,勤誠,F AI 伺服器系統,True
AI 伺服器,2376,技嘉,LAGGARD,True,EXACT_TICKER_MATCH,2376,技嘉,F AI 伺服器系統,True
半導體,2330,台積電,LEADER,True,EXACT_TICKER_MATCH,2330,台積電,C 半導體製造與封裝,True
半導體,3711,日月光投控,LEADER,True,EXACT_TICKER_MATCH,3711,日月光投控,C 半導體製造與封裝,True
半導體,2454,聯發科,PEER,True,EXACT_TICKER_MATCH,2454,聯發科,E IC 設計與 IP,True
半導體,6488,環球晶,PEER,True,EXACT_TICKER_MATCH,6488,環球晶,A 上游材料,True
半導體,2303,聯電,PEER,True,EXACT_TICKER_MATCH,2303,聯電,C 半導體製造與封裝,True
半導體,5347,世界先進,LAGGARD,True,EXACT_TICKER_MATCH,5347,世界先進,C 半導體製造與封裝,True
半導體,6770,力積電,LAGGARD,True,EXACT_TICKER_MATCH,6770,力積電,C 半導體製造與封裝,True
散熱,3324,雙鴻,LEADER,True,EXACT_TICKER_MATCH,3324,雙鴻,G AI 散熱,True
散熱,3017,奇鋐,LEADER,True,EXACT_TICKER_MATCH,3017,奇鋐,G AI 散熱,True
散熱,2421,建準,PEER,True,EXACT_TICKER_MATCH,2421,建準,G AI 散熱,True
散熱,3483,力致,PEER,True,EXACT_TICKER_MATCH,3483,力致,G AI 散熱,True
散熱,6591,動力-KY,PEER,True,EXACT_TICKER_MATCH,6591,動力-KY,G AI 散熱,True
散熱,6275,元山,PEER,True,EXACT_TICKER_MATCH,6275,元山,G AI 散熱,True
散熱,6125,廣運,LAGGARD,True,EXACT_TICKER_MATCH,6125,廣運,C 半導體製造與封裝,True
散熱,3338,泰碩,LAGGARD,True,EXACT_TICKER_MATCH,3338,泰碩,G AI 散熱,True
重電,1519,華城,LEADER,True,EXACT_TICKER_MATCH,1519,華城,H AI 電力與機房,True
重電,1503,士電,PEER,True,EXACT_TICKER_MATCH,1503,士電,H AI 電力與機房,True
重電,1504,東元,PEER,True,EXACT_TICKER_MATCH,1504,東元,H AI 電力與機房,True
重電,1513,中興電,PEER,True,EXACT_TICKER_MATCH,1513,中興電,H AI 電力與機房,True
重電,2371,大同,PEER,True,EXACT_TICKER_MATCH,2371,大同,H AI 電力與機房,True
重電,1514,亞力,LAGGARD,True,EXACT_TICKER_MATCH,1514,亞力,H AI 電力與機房,True
機器人,2049,上銀,LEADER,True,EXACT_TICKER_MATCH,2049,上銀,L 其他科技族群,True
機器人,1590,亞德客-KY,LEADER,True,EXACT_TICKER_MATCH,1590,亞德客-KY,L 其他科技族群,True
機器人,2308,台達電,PEER,True,EXACT_TICKER_MATCH,2308,台達電,G AI 散熱,True
機器人,2359,所羅門,PEER,True,EXACT_TICKER_MATCH,2359,所羅門,L 其他科技族群,True
機器人,2464,盟立,PEER,True,EXACT_TICKER_MATCH,2464,盟立,C 半導體製造與封裝,True
機器人,1597,直得,LAGGARD,True,EXACT_TICKER_MATCH,1597,直得,L 其他科技族群,True
ABF 載板,3037,欣興,LEADER,True,EXACT_TICKER_MATCH,3037,欣興,B 載板與 PCB,True
ABF 載板,8046,南電,PEER,True,EXACT_TICKER_MATCH,8046,南電,B 載板與 PCB,True
ABF 載板,3189,景碩,PEER,True,EXACT_TICKER_MATCH,3189,景碩,B 載板與 PCB,True
ABF 載板,3167,大量,LAGGARD,True,EXACT_TICKER_MATCH,3167,大量,B 載板與 PCB,True
記憶體,2408,南亞科,LEADER,True,EXACT_TICKER_MATCH,2408,南亞科,D 記憶體,True
記憶體,2344,華邦電,PEER,True,EXACT_TICKER_MATCH,2344,華邦電,D 記憶體,True
記憶體,2337,旺宏,PEER,True,EXACT_TICKER_MATCH,2337,旺宏,D 記憶體,True
記憶體,3260,威剛,PEER,True,EXACT_TICKER_MATCH,3260,威剛,D 記憶體,True
記憶體,8299,群聯,LAGGARD,True,EXACT_TICKER_MATCH,8299,群聯,D 記憶體,True
PCB,2383,台光電,LEADER,True,EXACT_TICKER_MATCH,2383,台光電,A 上游材料,True
PCB,4958,臻鼎-KY,LEADER,True,EXACT_TICKER_MATCH,4958,臻鼎-KY,B 載板與 PCB,True
PCB,2368,金像電,PEER,True,EXACT_TICKER_MATCH,2368,金像電,B 載板與 PCB,True
PCB,3044,健鼎,PEER,True,EXACT_TICKER_MATCH,3044,健鼎,B 載板與 PCB,True
PCB,2367,燿華,LAGGARD,True,EXACT_TICKER_MATCH,2367,燿華,B 載板與 PCB,True
