Group,EntryDate,ExitDate,GrossReturn,ExitReason,NetReturn
A 上游材料,2026-02-18,2026-03-02,0.1161524769232396,MACRO_HALT,0.1093024769232396
A 上游材料,2026-03-03,2026-03-18,0.12835041268019975,STOP,0.12150041268019976
A 上游材料,2026-03-19,2026-05-26,0.9394670392611166,STOP,0.9326170392611166
B 載板與 PCB,2026-02-03,2026-02-05,-0.04324603976301,STOP,-0.050096039763010004
B 載板與 PCB,2026-02-06,2026-02-13,0.10377679943705975,MACRO_HALT,0.09692679943705976
B 載板與 PCB,2026-02-16,2026-03-02,0.178442085942784,MACRO_HALT,0.171592085942784
B 載板與 PCB,2026-03-03,2026-03-18,0.1293902567493881,STOP,0.1225402567493881
B 載板與 PCB,2026-03-19,2026-04-27,0.45821280623886396,STOP,0.45136280623886393
C 半導體製造與封裝,2026-03-04,2026-03-16,0.07057353045207604,STOP,0.06372353045207604
E IC 設計與 IP,2026-02-18,2026-03-02,0.07317188322811119,MACRO_HALT,0.0663218832281112
E IC 設計與 IP,2026-03-03,2026-03-18,0.12060994190840346,STOP,0.11375994190840347
E IC 設計與 IP,2026-03-19,2026-05-11,0.7371559353207029,STOP,0.7303059353207029
G AI 散熱,2026-02-11,2026-02-13,0.04003378108353317,MACRO_HALT,0.03318378108353317
H AI 電力與機房,2026-03-30,2026-05-29,0.9555690139156239,MACRO_HALT,0.9487190139156239
I 光通訊與矽光子,2026-04-01,2026-05-29,0.9538593013043759,MACRO_HALT,0.9470093013043759
K AI PC 與消費電子,2026-04-22,2026-05-15,0.1520039003964948,STOP,0.1451539003964948
