CriterionID,Metric,Components,Centers,Cutpoints,BIC,Method,MarketThresholdHardcoded
CRIT-001,MACRO_STRESS_REGIME,1.0,[0.14726686772222838],[],1160.8879217462832,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE+MEDIAN_MAD_FALLBACK,False
CRIT-002,SIZE_TIER,2.0,"[0.34955202425642473, 0.7063075796342648]",[0.5279298019453448],558.6164968386458,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-003,REVIEW_SYNCHRONY,1.0,[0.34094531787721377],[],695.562422193161,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-004,REVIEW_LEADERSHIP,2.0,"[0.1306551214851538, 0.4438959110312978]",[0.2872755162582258],550.8571566107527,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-005,SIZE_TIER,2.0,"[0.33043651939057916, 0.6870050224251729]",[0.508720770907876],575.3146518271102,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-006,REVIEW_SYNCHRONY,1.0,[0.3256993269241228],[],660.6587204699031,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-007,REVIEW_LEADERSHIP,2.0,"[0.156585991518877, 0.42999224025707683]",[0.2932891158879769],576.8135539506402,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-008,SIZE_TIER,3.0,"[0.2820123079449609, 0.5501580910347763, 0.8155933628941614]","[0.4160851994898686, 0.6828757269644689]",578.9850331624034,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-009,REVIEW_SYNCHRONY,2.0,"[0.18282618966802738, 0.457758593009559]",[0.32029239133879317],584.8794346993546,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-010,REVIEW_LEADERSHIP,2.0,"[0.17349685086738945, 0.46169196750343044]",[0.31759440918540993],570.3019858644595,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-011,SIZE_TIER,2.0,"[0.33315546193740964, 0.6961849511863316]",[0.5146702065618707],573.8858413430198,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-012,REVIEW_SYNCHRONY,1.0,[0.30626101031821706],[],650.2980513514958,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-013,REVIEW_LEADERSHIP,2.0,"[0.16071968016982843, 0.4267278195407716]",[0.29372374985530003],597.3410474089687,GAUSSIAN_MIXTURE_BIC_ROBUST_SCALE,False
CRIT-014,SECTOR_FLOW_DYNAMIC_CUTOFFS,,"{""DynQuantileCutoffRange"": [0.7182624074123191, 0.8999999999999999], ""SurgeThresholdMedian"": 1.5180236375594964, ""ContractionThresholdMedian"": 0.48197636244050357}",[],,HHI_CROSS_SECTIONAL_QUANTILE_PLUS_CV_BANDS,False
