Phase,Status,Started,Ended,Detail
TEST-1,PASS,2026-08-17T06:51:39,2026-08-17T06:51:39,SSOT L1 rows=378 groups=14
DEBUG-1,PASS,2026-08-17T06:51:39,2026-08-17T06:51:40,quarantined=3; real_turnover_nonneg=True
OPTIMIZE-1,PASS,2026-08-17T06:51:40,2026-08-17T06:51:40,vectorized pandas/numpy core; OLS residualization; GMM-BIC states; decay-weighted lead-lag
TEST-2,PASS,2026-08-17T06:51:40,2026-08-17T06:52:16,runs=8
DEBUG-2,PASS,2026-08-17T06:52:16,2026-08-17T06:52:17,"lookahead_ok=True; perm_sep={""LeaderMedianEvidence"": 0.8571428571428571, ""LaggardMedianEvidence"": 0.7142857142857143}"
BACK-TEST,PASS,2026-08-17T06:52:17,2026-08-17T06:52:17,scenarios=4 seeds=2
DEBUG-3,PASS,2026-08-17T06:52:17,2026-08-17T06:52:17,continuity_all=True; naive_gap_max=0.1154
CONSOLIDATE,PASS,2026-08-17T06:52:17,2026-08-17T06:52:18,append-only evidence written
PLOT-RENDER,PASS,2026-08-17T06:52:18,2026-08-17T06:52:25,plots=6 font=WenQuanYi Zen Hei
TEST-3,PASS,2026-08-17T06:52:25,2026-08-17T06:52:25,hard_failures=0
DEBUG-4,PASS,2026-08-17T06:52:25,2026-08-17T06:52:25,html_assets_checked=True; hard=0; warn=1
ACTIVATE,PASS,2026-08-17T06:52:25,2026-08-17T06:52:25,CONTROLLED_ACTIVATION_PASS_REVIEW_WARNINGS_RETAINED
FINAL-TEST,PASS,2026-08-17T06:52:25,2026-08-17T06:52:25,hard=0; warn=1; iterations=1; manifest_mode=immutable_postcheck
