Group,Ticker,BestLag,BestLagCorr,ZeroLagCorr,PermutationEvidence,ExcessAlpha,LeadershipEvidence,REVIEW_SYNCHRONYState,REVIEW_LEADERSHIPState,Role,SizeTier,SizeScore,ReviewDate,PeriodID
A 上游材料,1303,0.0,0.5512526112589331,0.5512526112589331,1.0,-0.05170429736774483,0.5512526112589331,MIXED,HIGH,PEER,SMALL,0.4996644295302013,2024-12-31,2025_H1
A 上游材料,1446,-2.0,0.2476958798094376,0.05814264562539743,0.14285714285714285,0.03717676281482531,0.035385125687062514,MIXED,LOW,LAGGARD,SMALL,0.5211409395973154,2024-12-31,2025_H1
A 上游材料,1560,0.0,0.6292504517420074,0.6292504517420074,1.0,-0.014594619402213793,0.6292504517420074,MIXED,HIGH,PEER,SMALL,0.2060402684563758,2024-12-31,2025_H1
A 上游材料,1711,-4.0,-0.4762766258489621,0.40424723783901245,1.0,-0.03648746205665891,0.4762766258489621,MIXED,HIGH,LAGGARD,SMALL,0.30838926174496645,2024-12-31,2025_H1
A 上游材料,1717,0.0,0.6183314087922825,0.6183314087922825,1.0,0.008534110851171367,0.6183314087922825,MIXED,HIGH,PEER,SMALL,0.412751677852349,2024-12-31,2025_H1
A 上游材料,1773,0.0,0.5532066547616309,0.5532066547616309,1.0,0.15769305676075374,0.5532066547616309,MIXED,HIGH,PEER,LARGE,0.787248322147651,2024-12-31,2025_H1
A 上游材料,1785,0.0,0.516915741986252,0.516915741986252,1.0,0.0010687468162793728,0.516915741986252,MIXED,HIGH,PEER,SMALL,0.27986577181208055,2024-12-31,2025_H1
A 上游材料,1802,0.0,0.4912295461896588,0.4912295461896588,1.0,0.047275222716224946,0.4912295461896588,MIXED,HIGH,PEER,LARGE,0.5852348993288591,2024-12-31,2025_H1
A 上游材料,1815,0.0,0.46631226341222415,0.46631226341222415,1.0,-0.03700897858395545,0.46631226341222415,MIXED,HIGH,PEER,LARGE,0.9546979865771812,2024-12-31,2025_H1
A 上游材料,2383,0.0,0.6480279661733176,0.6480279661733176,1.0,-0.007089936337034114,0.6480279661733176,MIXED,HIGH,PEER,SMALL,0.28523489932885904,2024-12-31,2025_H1
A 上游材料,3010,4.0,-0.4599743198467413,0.44980154563443814,1.0,0.06616908785488804,0.4599743198467413,MIXED,HIGH,LEADER,LARGE,0.5963087248322148,2024-12-31,2025_H1
A 上游材料,3585,0.0,0.532699370606395,0.532699370606395,1.0,0.07045820999772649,0.532699370606395,MIXED,HIGH,PEER,SMALL,0.3201342281879195,2024-12-31,2025_H1
A 上游材料,4721,0.0,0.5861836345878538,0.5861836345878538,1.0,-0.1254332300011345,0.5861836345878538,MIXED,HIGH,PEER,SMALL,0.5167785234899329,2024-12-31,2025_H1
A 上游材料,4739,0.0,0.2927403579888294,0.2927403579888294,0.8571428571428571,-0.07093598783195239,0.25092030684756805,MIXED,LOW,PEER,LARGE,0.8067114093959731,2024-12-31,2025_H1
A 上游材料,4755,0.0,0.5402854208121185,0.5402854208121185,1.0,-0.0486794654205157,0.5402854208121185,MIXED,HIGH,PEER,SMALL,0.2046979865771812,2024-12-31,2025_H1
A 上游材料,5340,0.0,0.46901439089055336,0.46901439089055336,0.8571428571428571,-0.01460893228510364,0.4020123350490457,MIXED,HIGH,PEER,SMALL,0.1657718120805369,2024-12-31,2025_H1
A 上游材料,5434,-3.0,-0.4296034358725781,0.3950041124529947,1.0,-0.09969124164365857,0.4296034358725781,MIXED,HIGH,LAGGARD,LARGE,0.565771812080537,2024-12-31,2025_H1
A 上游材料,5475,0.0,0.5238021371079598,0.5238021371079598,1.0,-0.15688694797869812,0.5238021371079598,MIXED,HIGH,PEER,LARGE,0.7651006711409396,2024-12-31,2025_H1
A 上游材料,6182,0.0,0.3550592765529319,0.3550592765529319,1.0,0.0,0.3550592765529319,MIXED,HIGH,PEER,LARGE,0.7499999999999999,2024-12-31,2025_H1
A 上游材料,6274,0.0,0.40052351716867374,0.40052351716867374,1.0,0.003057077350326204,0.40052351716867374,MIXED,HIGH,PEER,LARGE,0.8288590604026845,2024-12-31,2025_H1
A 上游材料,6288,0.0,0.3592409949459176,0.3592409949459176,0.8571428571428571,0.1033009467996545,0.3079208528107865,MIXED,HIGH,PEER,LARGE,0.811744966442953,2024-12-31,2025_H1
A 上游材料,6488,2.0,0.4247802545539257,0.3342641894347221,1.0,0.02449101432132285,0.4247802545539257,MIXED,HIGH,LEADER,SMALL,0.5,2024-12-31,2025_H1
A 上游材料,6672,0.0,0.6623031101292234,0.6623031101292234,1.0,0.07335645259421458,0.6623031101292234,MIXED,HIGH,PEER,SMALL,0.3006711409395973,2024-12-31,2025_H1
A 上游材料,8039,0.0,0.6161407018293457,0.6161407018293457,1.0,-0.009062876237407938,0.6161407018293457,MIXED,HIGH,PEER,SMALL,0.4191275167785235,2024-12-31,2025_H1
A 上游材料,8358,-1.0,0.3059347806950243,0.24681232478448206,0.2857142857142857,0.04915370656872749,0.0874099373414355,MIXED,LOW,LAGGARD,LARGE,0.6946308724832214,2024-12-31,2025_H1
H AI 電力與機房,1503,0.0,0.32909471757578573,0.32909471757578573,0.8571428571428571,-0.09718749417067182,0.2820811864935306,MIXED,HIGH,PEER,LARGE,0.6869127516778524,2024-12-31,2025_H1
H AI 電力與機房,1504,3.0,-0.33977146125504926,0.22790337815009382,0.7142857142857143,0.06757639928565583,0.24269390089646375,MIXED,LOW,MEMBER,SMALL,0.4278523489932886,2024-12-31,2025_H1
H AI 電力與機房,1513,0.0,0.3499528363584841,0.3499528363584841,0.42857142857142855,0.008343688022592888,0.1499797870107789,MIXED,LOW,PEER,SMALL,0.4271812080536912,2024-12-31,2025_H1
H AI 電力與機房,1514,1.0,-0.34691275832631724,0.06926604446758412,0.7142857142857143,-0.031263960781904104,0.24779482737594088,MIXED,LOW,MEMBER,SMALL,0.23355704697986576,2024-12-31,2025_H1
H AI 電力與機房,1519,0.0,0.3019900726499937,0.3019900726499937,0.0,-0.04046583846028977,0.0,MIXED,LOW,PEER,SMALL,0.3838926174496644,2024-12-31,2025_H1
H AI 電力與機房,1604,0.0,0.281686226703376,0.281686226703376,0.42857142857142855,0.01913779623177598,0.12072266858716114,MIXED,LOW,PEER,SMALL,0.18859060402684563,2024-12-31,2025_H1
H AI 電力與機房,1605,2.0,-0.2709183721654994,0.2645156692996718,0.14285714285714285,0.01755211768441014,0.038702624595071344,MIXED,LOW,MEMBER,SMALL,0.33691275167785234,2024-12-31,2025_H1
H AI 電力與機房,1609,-3.0,0.2390566113320488,0.18898501297944253,0.0,0.007631017911980731,0.0,MIXED,LOW,LAGGARD,SMALL,0.5298657718120805,2024-12-31,2025_H1
H AI 電力與機房,1612,0.0,0.2493780183756575,0.2493780183756575,0.2857142857142857,-0.0389149814107336,0.071250862393045,MIXED,LOW,PEER,LARGE,0.5580536912751678,2024-12-31,2025_H1
H AI 電力與機房,2301,0.0,0.5021732056757215,0.5021732056757215,1.0,0.002869717062970789,0.5021732056757215,MIXED,HIGH,PEER,SMALL,0.3271812080536913,2024-12-31,2025_H1
H AI 電力與機房,2308,1.0,-0.25210041379952275,-0.03950865629686736,0.14285714285714285,-0.014012576567156959,0.03601434482850325,MIXED,LOW,MEMBER,LARGE,0.5536912751677853,2024-12-31,2025_H1
H AI 電力與機房,2371,0.0,0.5414959589847522,0.5414959589847522,1.0,0.07731945279904608,0.5414959589847522,MIXED,HIGH,PEER,LARGE,0.5741610738255033,2024-12-31,2025_H1
H AI 電力與機房,2457,0.0,0.4271945694974888,0.4271945694974888,0.8571428571428571,-0.015095125717587962,0.36616677385499036,MIXED,HIGH,PEER,SMALL,0.21845637583892616,2024-12-31,2025_H1
H AI 電力與機房,3015,0.0,0.3161585688346593,0.3161585688346593,0.8571428571428571,-0.0028697170629707752,0.2709930590011365,MIXED,HIGH,PEER,LARGE,0.6855704697986578,2024-12-31,2025_H1
H AI 電力與機房,3211,0.0,0.40616930240103105,0.40616930240103105,1.0,-0.010898601245065087,0.40616930240103105,MIXED,HIGH,PEER,LARGE,0.7657718120805369,2024-12-31,2025_H1
H AI 電力與機房,3323,0.0,0.3771790533633566,0.3771790533633566,0.7142857142857143,0.07899246963273043,0.26941360954525473,MIXED,HIGH,PEER,LARGE,0.6338926174496644,2024-12-31,2025_H1
H AI 電力與機房,4931,0.0,0.22667585453655115,0.22667585453655115,0.42857142857142855,-0.17374838887764035,0.09714679480137905,MIXED,LOW,PEER,SMALL,0.22818791946308725,2024-12-31,2025_H1
H AI 電力與機房,5227,-1.0,-0.2933923638936055,0.25068087990790805,0.42857142857142855,0.004059708854751584,0.12573958452583092,MIXED,LOW,LAGGARD,SMALL,0.13758389261744966,2024-12-31,2025_H1
H AI 電力與機房,5263,2.0,-0.3724175507578988,0.20493481861855176,0.8571428571428571,0.008581819319913586,0.3192150435067704,MIXED,HIGH,LEADER,SMALL,0.2077181208053691,2024-12-31,2025_H1
H AI 電力與機房,6282,-3.0,-0.27034254817057024,0.10000893984970974,0.42857142857142855,0.04815573309171771,0.11586109207310152,MIXED,LOW,LAGGARD,SMALL,0.22080536912751678,2024-12-31,2025_H1
H AI 電力與機房,6409,1.0,0.3947717583253616,0.3179491881230631,1.0,-0.03697884145603125,0.3947717583253616,MIXED,HIGH,MEMBER,SMALL,0.4228187919463087,2024-12-31,2025_H1
H AI 電力與機房,6781,0.0,0.38615271936656337,0.38615271936656337,0.42857142857142855,-0.17639646559901825,0.16549402258567,MIXED,LOW,PEER,LARGE,0.5875838926174496,2024-12-31,2025_H1
L 其他科技族群,1536,0.0,0.2790503131082099,0.2790503131082099,0.5714285714285714,0.17658625868717331,0.15945732177611993,MIXED,LOW,PEER,LARGE,0.6016778523489933,2024-12-31,2025_H1
L 其他科技族群,1590,4.0,-0.2727260528887214,0.05027478680695356,0.14285714285714285,0.11221089085754607,0.038960864698388775,MIXED,LOW,MEMBER,SMALL,0.3966442953020134,2024-12-31,2025_H1
L 其他科技族群,1597,0.0,0.3046810902060119,0.3046810902060119,0.5714285714285714,0.13781096183106614,0.1741034801177211,MIXED,LOW,PEER,LARGE,0.8644295302013423,2024-12-31,2025_H1
L 其他科技族群,1795,0.0,0.40935397951113606,0.40935397951113606,1.0,0.020904002422584958,0.40935397951113606,MIXED,HIGH,PEER,SMALL,0.3197986577181208,2024-12-31,2025_H1
L 其他科技族群,2049,0.0,0.4469894880778562,0.4469894880778562,1.0,0.0011233582804002669,0.4469894880778562,MIXED,HIGH,PEER,LARGE,0.7966442953020134,2024-12-31,2025_H1
L 其他科技族群,2231,0.0,0.33513598715054865,0.33513598715054865,0.8571428571428571,0.020206216242093757,0.28725941755761314,MIXED,HIGH,PEER,LARGE,0.5684563758389262,2024-12-31,2025_H1
L 其他科技族群,2312,-1.0,-0.2701868443710282,0.17886516506070763,0.2857142857142857,-0.1253801748971517,0.07719624124886519,MIXED,LOW,LAGGARD,LARGE,0.714765100671141,2024-12-31,2025_H1
L 其他科技族群,2314,0.0,0.40677649144388295,0.40677649144388295,1.0,0.03150554989810485,0.40677649144388295,MIXED,HIGH,PEER,SMALL,0.35973154362416104,2024-12-31,2025_H1
L 其他科技族群,2359,2.0,-0.26960545230712346,0.26405640785441736,0.2857142857142857,0.05733297457704965,0.0770301292306067,MIXED,LOW,MEMBER,SMALL,0.2681208053691275,2024-12-31,2025_H1
L 其他科技族群,2395,0.0,0.5454612986072596,0.5454612986072596,1.0,0.08397591629702504,0.5454612986072596,MIXED,HIGH,PEER,SMALL,0.2681208053691275,2024-12-31,2025_H1
L 其他科技族群,2480,0.0,0.22990336158059585,0.22990336158059585,0.42857142857142855,-0.015223376737513537,0.09853001210596965,MIXED,LOW,PEER,SMALL,0.16812080536912752,2024-12-31,2025_H1
L 其他科技族群,2634,3.0,0.39445117344059577,0.28157939757862177,1.0,0.016498847443540816,0.39445117344059577,MIXED,HIGH,LEADER,SMALL,0.22651006711409397,2024-12-31,2025_H1
L 其他科技族群,2636,0.0,0.2941038486920678,0.2941038486920678,0.7142857142857143,0.024777773366771498,0.21007417763719127,MIXED,LOW,PEER,LARGE,0.5848993288590604,2024-12-31,2025_H1
L 其他科技族群,2645,0.0,0.5071902003637985,0.5071902003637985,1.0,-0.06656594694455091,0.5071902003637985,MIXED,HIGH,PEER,SMALL,0.4402684563758389,2024-12-31,2025_H1
L 其他科技族群,3008,0.0,0.3959122686357974,0.3959122686357974,1.0,0.12322228101081359,0.3959122686357974,MIXED,HIGH,PEER,SMALL,0.2402684563758389,2024-12-31,2025_H1
L 其他科技族群,3019,-4.0,0.1662874471516845,-0.011407263773290446,0.0,-0.08182543964465486,0.0,MIXED,LOW,LAGGARD,LARGE,0.6600671140939597,2024-12-31,2025_H1
L 其他科技族群,3029,-1.0,0.4127338208196402,-0.09327813953188979,1.0,0.010808732004138531,0.4127338208196402,MIXED,HIGH,LAGGARD,SMALL,0.3530201342281879,2024-12-31,2025_H1
L 其他科技族群,3178,0.0,0.248546375242075,0.248546375242075,0.2857142857142857,-0.045256350505707005,0.07101325006916429,MIXED,LOW,PEER,SMALL,0.27550335570469797,2024-12-31,2025_H1
L 其他科技族群,3362,2.0,-0.4478763923343509,0.34261022521870005,1.0,-0.010173748205281295,0.4478763923343509,MIXED,HIGH,MEMBER,LARGE,0.6604026845637583,2024-12-31,2025_H1
L 其他科技族群,3406,0.0,0.36666975393647355,0.36666975393647355,1.0,0.026741287750184552,0.36666975393647355,MIXED,HIGH,PEER,SMALL,0.2429530201342282,2024-12-31,2025_H1
L 其他科技族群,3491,1.0,0.2975511224998596,0.27755669268016914,0.2857142857142857,-0.007959120360547578,0.08501460642853131,MIXED,LOW,MEMBER,SMALL,0.5134228187919463,2024-12-31,2025_H1
L 其他科技族群,4162,4.0,0.22475441059289575,-0.11449416664007188,0.2857142857142857,0.04546924684499902,0.0642155458836845,MIXED,LOW,MEMBER,SMALL,0.36476510067114093,2024-12-31,2025_H1
L 其他科技族群,4976,0.0,0.17332047861228697,0.17332047861228697,0.14285714285714285,-0.0011233582804002669,0.02476006837318385,MIXED,LOW,PEER,LARGE,0.568456375838926,2024-12-31,2025_H1
L 其他科技族群,5609,-2.0,0.32645385258276893,0.09896373224558706,1.0,0.04310267314652774,0.32645385258276893,MIXED,HIGH,LAGGARD,SMALL,0.3523489932885906,2024-12-31,2025_H1
L 其他科技族群,6160,-1.0,0.15969993762718163,0.0718355051798439,0.0,-0.04010433123019212,0.0,MIXED,LOW,LAGGARD,SMALL,0.30335570469798656,2024-12-31,2025_H1
L 其他科技族群,6166,4.0,-0.2370003883433146,0.21193381765782945,0.0,-0.1332210653067334,0.0,MIXED,LOW,MEMBER,SMALL,0.3983221476510067,2024-12-31,2025_H1
L 其他科技族群,6183,2.0,0.38258147326090536,-0.005061149349478416,0.8571428571428571,-0.019109053636082996,0.327926977080776,MIXED,HIGH,MEMBER,SMALL,0.31510067114093954,2024-12-31,2025_H1
L 其他科技族群,6188,3.0,0.28732293526801306,0.24305612923109582,0.2857142857142857,-0.016331207462458055,0.0820922672194323,MIXED,LOW,MEMBER,LARGE,0.6157718120805369,2024-12-31,2025_H1
L 其他科技族群,6199,3.0,0.28670327255143724,0.08642601140962385,0.8571428571428571,-0.06116734272371255,0.24574566218694618,MIXED,LOW,MEMBER,LARGE,0.7687919463087247,2024-12-31,2025_H1
L 其他科技族群,6214,0.0,0.5478448902149434,0.5478448902149434,1.0,0.00942209740122547,0.5478448902149434,MIXED,HIGH,PEER,LARGE,0.5463087248322147,2024-12-31,2025_H1
L 其他科技族群,6285,0.0,0.3174789729310497,0.3174789729310497,0.5714285714285714,-0.009391471940142612,0.18141655596059983,MIXED,LOW,PEER,LARGE,0.8228187919463087,2024-12-31,2025_H1
L 其他科技族群,6446,0.0,0.4049364826535098,0.4049364826535098,1.0,-0.059761976008476755,0.4049364826535098,MIXED,HIGH,PEER,SMALL,0.26946308724832213,2024-12-31,2025_H1
L 其他科技族群,6472,4.0,-0.3196572201468597,0.3103190010195577,0.5714285714285714,-0.047859142726781614,0.1826612686553484,MIXED,LOW,MEMBER,LARGE,0.5765100671140939,2024-12-31,2025_H1
L 其他科技族群,6562,2.0,-0.22626823311640795,0.01420246920148371,0.0,-0.016104707029185487,0.0,MIXED,LOW,MEMBER,SMALL,0.15671140939597314,2024-12-31,2025_H1
L 其他科技族群,6690,0.0,0.3315086570750795,0.3315086570750795,1.0,-0.03819598698521823,0.3315086570750795,MIXED,HIGH,PEER,LARGE,0.896979865771812,2024-12-31,2025_H1
L 其他科技族群,8033,0.0,0.5839875174709529,0.5839875174709529,1.0,0.03421919816114434,0.5839875174709529,MIXED,HIGH,PEER,SMALL,0.18288590604026844,2024-12-31,2025_H1
L 其他科技族群,8222,0.0,0.26108059093497316,0.26108059093497316,0.14285714285714285,-0.12043227273339742,0.03729722727642473,MIXED,LOW,PEER,SMALL,0.3825503355704698,2024-12-31,2025_H1
L 其他科技族群,8255,0.0,0.2534989000312606,0.2534989000312606,0.2857142857142857,0.2445536951292953,0.07242825715178873,MIXED,LOW,PEER,SMALL,0.3063758389261745,2024-12-31,2025_H1
M 傳產輪動,2002,0.0,0.43881986406390816,0.43881986406390816,1.0,-0.025814872345452627,0.43881986406390816,MIXED,HIGH,PEER,SMALL,0.4993288590604027,2024-12-31,2025_H1
M 傳產輪動,2006,0.0,0.5652659475962792,0.5652659475962792,1.0,0.094374120334512,0.5652659475962792,MIXED,HIGH,PEER,SMALL,0.18758389261744965,2024-12-31,2025_H1
M 傳產輪動,2012,-2.0,-0.2077955309961746,0.08579004913966938,0.14285714285714285,0.06905755358473886,0.02968507585659637,MIXED,LOW,LAGGARD,SMALL,0.473489932885906,2024-12-31,2025_H1
M 傳產輪動,2014,0.0,0.41787464439376626,0.41787464439376626,1.0,-0.05124220199905699,0.41787464439376626,MIXED,HIGH,PEER,SMALL,0.5114093959731543,2024-12-31,2025_H1
M 傳產輪動,2015,1.0,0.18944190265865357,0.1545242351597581,0.0,0.11297927537698331,0.0,MIXED,LOW,MEMBER,LARGE,0.6154362416107383,2024-12-31,2025_H1
M 傳產輪動,2017,-3.0,0.28649942025271546,0.16206586970174813,0.5714285714285714,-0.06913953783915677,0.16371395443012313,MIXED,LOW,LAGGARD,SMALL,0.475503355704698,2024-12-31,2025_H1
M 傳產輪動,2023,0.0,0.3313090039538036,0.3313090039538036,0.7142857142857143,0.035079055948462085,0.23664928853843115,MIXED,LOW,PEER,LARGE,0.7399328859060402,2024-12-31,2025_H1
M 傳產輪動,2028,-4.0,-0.4078188324502588,0.32642043338462023,1.0,-0.13308404653117895,0.4078188324502588,MIXED,HIGH,LAGGARD,SMALL,0.4859060402684564,2024-12-31,2025_H1
M 傳產輪動,2029,0.0,0.34615342444144914,0.34615342444144914,0.2857142857142857,-0.22149922104513747,0.0989009784118426,MIXED,LOW,PEER,LARGE,0.702013422818792,2024-12-31,2025_H1
M 傳產輪動,2038,0.0,0.42686460833535367,0.42686460833535367,0.8571428571428571,0.04761834948114635,0.3658839500017317,MIXED,HIGH,PEER,SMALL,0.37483221476510065,2024-12-31,2025_H1
M 傳產輪動,2107,-4.0,-0.28238458742905675,0.27132229589817847,0.7142857142857143,0.023299985164813825,0.20170327673504054,MIXED,LOW,LAGGARD,SMALL,0.44429530201342277,2024-12-31,2025_H1
M 傳產輪動,2302,0.0,0.49061836975484885,0.49061836975484885,1.0,-0.047868184502909056,0.49061836975484885,MIXED,HIGH,PEER,SMALL,0.1929530201342282,2024-12-31,2025_H1
M 傳產輪動,2603,0.0,0.5315457752234202,0.5315457752234202,1.0,-0.002369523878275548,0.5315457752234202,MIXED,HIGH,PEER,LARGE,0.6114093959731544,2024-12-31,2025_H1
M 傳產輪動,2605,0.0,0.4404167768409036,0.4404167768409036,0.8571428571428571,-0.14702734046764887,0.37750009443506016,MIXED,HIGH,PEER,LARGE,0.7731543624161074,2024-12-31,2025_H1
M 傳產輪動,2606,0.0,0.5707863628273325,0.5707863628273325,1.0,-0.08115816247542187,0.5707863628273325,MIXED,HIGH,PEER,SMALL,0.38691275167785233,2024-12-31,2025_H1
M 傳產輪動,2609,1.0,-0.2242278651795845,0.19021175078329522,0.5714285714285714,0.12454597767820552,0.12813020867404828,MIXED,LOW,MEMBER,LARGE,0.5473154362416107,2024-12-31,2025_H1
M 傳產輪動,2610,0.0,0.2984514589740326,0.2984514589740326,0.0,-0.023905773370863803,0.0,MIXED,LOW,PEER,LARGE,0.5651006711409395,2024-12-31,2025_H1
M 傳產輪動,2612,-1.0,0.2822172962947688,0.21609450317000553,0.8571428571428571,0.013858580710871246,0.2419005396812304,MIXED,LOW,LAGGARD,LARGE,0.6164429530201342,2024-12-31,2025_H1
M 傳產輪動,2615,0.0,0.5104779610657338,0.5104779610657338,1.0,-0.08375685073852795,0.5104779610657338,MIXED,HIGH,PEER,LARGE,0.7530201342281879,2024-12-31,2025_H1
