Group,Scenario,Seed,TruthHotGroup,TruthStealthGroup,TruthDrainGroup,WindowStart,WindowEnd
A 上游材料,ROTATION,20260817,True,False,False,100,142
B 載板與 PCB,ROTATION,20260817,True,False,False,89,131
C 半導體製造與封裝,ROTATION,20260817,False,False,False,0,0
D 記憶體,ROTATION,20260817,False,False,False,0,0
E IC 設計與 IP,ROTATION,20260817,True,False,False,100,142
F AI 伺服器系統,ROTATION,20260817,False,False,False,0,0
G AI 散熱,ROTATION,20260817,False,False,False,0,0
H AI 電力與機房,ROTATION,20260817,True,False,False,128,170
I 光通訊與矽光子,ROTATION,20260817,True,False,False,130,172
J 被動元件,ROTATION,20260817,False,False,False,0,0
K AI PC 與消費電子,ROTATION,20260817,False,False,False,0,0
L 其他科技族群,ROTATION,20260817,False,False,False,0,0
M 傳產輪動,ROTATION,20260817,False,False,False,0,0
Z 待歸類,ROTATION,20260817,True,False,False,157,199
