Group,Subgroup,Rank,Ticker,YFTicker,Name,Market,CountingFlag,SourceID,EvidenceStatus,MembershipKey
A 上游材料,A1 玻纖布 / 玻纖紗,,5340,5340.TWO,建榮,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|5340
A 上游材料,A1 玻纖布 / 玻纖紗,,1815,1815.TW,富喬,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1815
A 上游材料,A1 玻纖布 / 玻纖紗,,1802,1802.TW,台玻,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1802
A 上游材料,A1 玻纖布 / 玻纖紗,,5475,5475.TWO,德宏,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|5475
A 上游材料,A1 玻纖布 / 玻纖紗,L,1303,1303.TW,南亞,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1303
A 上游材料,A1 玻纖布 / 玻纖紗,,1446,1446.TW,宏和,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1446
A 上游材料,A2 銅箔基板 CCL,L,2383,2383.TW,台光電,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|2383
A 上游材料,A2 銅箔基板 CCL,L,6274,6274.TW,台燿,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|6274
A 上游材料,A2 銅箔基板 CCL,,6288,6288.TW,聯茂,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|6288
A 上游材料,A2 銅箔基板 CCL,,6672,6672.TWO,騰輝電子-KY,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|6672
A 上游材料,A2 銅箔基板 CCL,,3585,3585.TWO,聯致,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|3585
A 上游材料,A2 銅箔基板 CCL,L,1303,1303.TW,南亞,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1303
A 上游材料,A3 銅箔 / 樹脂 / 化工基材,,8358,8358.TWO,金居,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|8358
A 上游材料,A3 銅箔 / 樹脂 / 化工基材,,1717,1717.TW,長興,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1717
A 上游材料,A3 銅箔 / 樹脂 / 化工基材,L,1303,1303.TW,南亞,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1303
A 上游材料,A3 銅箔 / 樹脂 / 化工基材,L,8039,8039.TWO,台虹,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|8039
A 上游材料,A3 銅箔 / 樹脂 / 化工基材,G,1711,1711.TW,永光,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1711
A 上游材料,A4 半導體化學品 / 光阻 / 耗材,,5434,5434.TW,崇越,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|5434
A 上游材料,A4 半導體化學品 / 光阻 / 耗材,P,3010,3010.TW,華立,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|3010
A 上游材料,A4 半導體化學品 / 光阻 / 耗材,,4755,4755.TW,三福化,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|4755
A 上游材料,A4 半導體化學品 / 光阻 / 耗材,L,1773,1773.TW,勝一,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1773
A 上游材料,A4 半導體化學品 / 光阻 / 耗材,,1717,1717.TW,長興,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1717
A 上游材料,A4 半導體化學品 / 光阻 / 耗材,P,6667,6667.TWO,信紘科,TPEX,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|6667
A 上游材料,A4 半導體化學品 / 光阻 / 耗材,L,4739,4739.TWO,康普,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|4739
A 上游材料,A4 半導體化學品 / 光阻 / 耗材,L,4721,4721.TWO,美琪瑪,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|4721
A 上游材料,A5 矽晶圓 / 靶材 / 研磨材,P,6488,6488.TWO,環球晶,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|6488
A 上游材料,A5 矽晶圓 / 靶材 / 研磨材,P,6182,6182.TWO,合晶,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|6182
A 上游材料,A5 矽晶圓 / 靶材 / 研磨材,P,1560,1560.TW,中砂,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1560
A 上游材料,A5 矽晶圓 / 靶材 / 研磨材,P,3583,3583.TW,辛耘,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|3583
A 上游材料,A5 矽晶圓 / 靶材 / 研磨材,,1785,1785.TWO,光洋科,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|A 上游材料|1785
B 載板與 PCB,B1 ABF / FC-BGA 載板,L,3037,3037.TW,欣興,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|3037
B 載板與 PCB,B1 ABF / FC-BGA 載板,P,8046,8046.TW,南電,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|8046
B 載板與 PCB,B1 ABF / FC-BGA 載板,P,3189,3189.TW,景碩,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|3189
B 載板與 PCB,B1 ABF / FC-BGA 載板,L,4958,4958.TW,臻鼎-KY,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|4958
B 載板與 PCB,B2 BT 載板 / 記憶體載板,P,8046,8046.TW,南電,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|8046
B 載板與 PCB,B2 BT 載板 / 記憶體載板,P,3189,3189.TW,景碩,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|3189
B 載板與 PCB,B2 BT 載板 / 記憶體載板,L,3037,3037.TW,欣興,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|3037
B 載板與 PCB,B2 BT 載板 / 記憶體載板,L,2313,2313.TW,華通,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|2313
B 載板與 PCB,B3 AI 高速板 / HDI / 主板 PCB,L,2368,2368.TW,金像電,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|2368
B 載板與 PCB,B3 AI 高速板 / HDI / 主板 PCB,L,3044,3044.TW,健鼎,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|3044
B 載板與 PCB,B3 AI 高速板 / HDI / 主板 PCB,L,4958,4958.TW,臻鼎-KY,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|4958
B 載板與 PCB,B3 AI 高速板 / HDI / 主板 PCB,L,2313,2313.TW,華通,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|2313
B 載板與 PCB,B3 AI 高速板 / HDI / 主板 PCB,L,2367,2367.TW,燿華,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|2367
B 載板與 PCB,B3 AI 高速板 / HDI / 主板 PCB,P,5469,5469.TW,瀚宇博,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|5469
B 載板與 PCB,B3 AI 高速板 / HDI / 主板 PCB,,3715,3715.TWO,定穎投控,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|3715
B 載板與 PCB,B3 AI 高速板 / HDI / 主板 PCB,,2355,2355.TW,敬鵬,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|2355
B 載板與 PCB,B4 軟板 FPC,L,4958,4958.TW,臻鼎-KY,TWSE,DISPLAY_ONLY,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|4958
B 載板與 PCB,B4 軟板 FPC,L,6269,6269.TW,台郡,TWSE,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|6269
B 載板與 PCB,B4 軟板 FPC,L,6153,6153.TWO,嘉聯益,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|6153
B 載板與 PCB,B4 軟板 FPC,L,3390,3390.TWO,旭軟,TPEX,COUNT,SUBGROUP_SSOT_V0100_L1,SSOT_ROSTER_ROW,L1|B 載板與 PCB|3390
