Group,Ticker,YFTicker,Name,StaticRole,Synchrony,HotnessRaw,BestLag,BestLagCorr,ZeroLagCorr,PermutationEvidence,LeadershipEvidence,MEMBER_HOTNESSState,MEMBER_HOTNESSConfidence,MEMBER_SYNCHRONYState,MEMBER_SYNCHRONYConfidence,MEMBER_LEADERSHIPState,MEMBER_LEADERSHIPConfidence,DynamicRole,CoreEligible
A1 玻纖布 / 玻纖紗,5340,5340.TWO,建榮,,-0.02583110824177671,0.13444962110799785,-4.0,-0.18103830916805552,-0.02583110824177669,0.5555555555555556,0.10057683842669751,MIXED,1.0,LOW,0.9991554605562307,LOW,0.9999998881091998,OUTLIER,False
A1 玻纖布 / 玻纖紗,1815,1815.TW,富喬,,-0.02859828714897723,-0.04410367901033732,4.0,-0.20980750359453368,-0.028598287148977122,1.0,0.20980750359453368,MIXED,1.0,LOW,0.9991979766525075,LOW,0.9998531130528678,OUTLIER,False
A1 玻纖布 / 玻纖紗,1802,1802.TW,台玻,,0.019870090150751783,-0.018913448138949684,5.0,0.18225264785868336,0.019870090150751772,0.7777777777777778,0.14175205944564262,MIXED,1.0,LOW,0.9978755033621455,LOW,0.9999984540281545,OUTLIER,False
A1 玻纖布 / 玻纖紗,5475,5475.TWO,德宏,,0.05963890015682166,0.13548663480816786,6.0,0.22076295393427053,0.05963890015682168,1.0,0.22076295393427053,MIXED,1.0,LOW,0.9947319940778193,LOW,0.9996865817753718,OUTLIER,False
A1 玻纖布 / 玻纖紗,1303,1303.TW,南亞,L,0.12390303160417522,-0.05074859930935417,3.0,0.13244262899896692,0.12390303160417529,0.0,0.0,MIXED,1.0,LOW,0.9722668136553618,LOW,0.9999999997236635,OUTLIER,False
A1 玻纖布 / 玻纖紗,1446,1446.TW,宏和,,0.04717190194678521,0.11945599649388557,5.0,0.08895102547631883,0.0471719019467852,0.0,0.0,MIXED,1.0,LOW,0.9960780968396749,LOW,0.9999999997236635,OUTLIER,False
A2 銅箔基板 CCL,2383,2383.TW,台光電,L,0.3697686901328491,0.2531622000518883,0.0,0.3697686901328492,0.3697686901328492,1.0,0.3697686901328492,MIXED,1.0,HIGH,0.9950058795205726,HIGH,0.9492495797292204,MIXED_ROLE,True
A2 銅箔基板 CCL,6274,6274.TW,台燿,L,0.3714275048734758,0.2495999667539631,0.0,0.3714275048734758,0.3714275048734758,1.0,0.3714275048734758,MIXED,1.0,HIGH,0.9953544135831286,HIGH,0.9551423225106593,MIXED_ROLE,True
A2 銅箔基板 CCL,6288,6288.TW,聯茂,,-0.04236807949044595,0.06345261291262502,-4.0,0.1946522238030288,-0.04236807949044599,0.7777777777777778,0.1513961740690224,MIXED,1.0,LOW,0.9993753046309719,LOW,0.9999970997394283,OUTLIER,False
A2 銅箔基板 CCL,6672,6672.TWO,騰輝電子-KY,,-0.12307920665175316,0.33079702510174014,1.0,-0.21947576207182604,-0.12307920665175325,1.0,0.21947576207182604,MIXED,1.0,LOW,0.9998163553422754,LOW,0.9997133843374687,OUTLIER,False
A2 銅箔基板 CCL,3585,3585.TWO,聯致,,-0.04336161074691319,-0.22582461112253985,-3.0,-0.20343187763028303,-0.04336161074691318,0.8888888888888888,0.1808283356713627,MIXED,1.0,LOW,0.9993861831645197,LOW,0.9999795506807323,OUTLIER,False
A3 銅箔 / 樹脂 / 化工基材,8358,8358.TWO,金居,,0.027565381049433995,-0.4085555601803752,4.0,-0.21984670322181352,0.027565381049434,1.0,0.21984670322181352,MIXED,1.0,LOW,0.9974864962994489,LOW,0.9997059073862631,OUTLIER,False
A3 銅箔 / 樹脂 / 化工基材,1717,1717.TW,長興,,0.008994774594639921,0.07765344618660747,-1.0,-0.12232180475365495,0.008994774594639933,0.2222222222222222,0.027182623278589987,MIXED,1.0,LOW,0.9983143038094305,LOW,0.99999999867817,OUTLIER,False
A3 銅箔 / 樹脂 / 化工基材,8039,8039.TWO,台虹,L,0.12248185328674535,-0.17120349573633875,2.0,0.4821564323221,0.12248185328674539,1.0,0.4821564323221,MIXED,1.0,LOW,0.9733267780864384,HIGH,0.9999942632564933,OUTLIER,False
A3 銅箔 / 樹脂 / 化工基材,1711,1711.TW,永光,G,0.04924313255215447,0.2915079057262644,-2.0,0.5021007511217696,0.04924313255215448,1.0,0.5021007511217696,MIXED,1.0,LOW,0.9958837233208973,HIGH,0.9999989498321216,OUTLIER,False
A4 半導體化學品 / 光阻 / 耗材,5434,5434.TW,崇越,,-0.08429243824522965,0.11807949653571126,3.0,0.18355811409928297,-0.08429243824522964,0.6666666666666666,0.12237207606618863,MIXED,1.0,LOW,0.9996857982078395,LOW,0.9999995562241639,OUTLIER,False
A4 半導體化學品 / 光阻 / 耗材,3010,3010.TW,華立,P,0.11729690885814363,0.3201896763838529,-1.0,0.7376463802304385,0.11729690885814356,1.0,0.7376463802304385,MIXED,1.0,LOW,0.9768452240023491,HIGH,0.9999999999999997,OUTLIER,False
A4 半導體化學品 / 光阻 / 耗材,4755,4755.TW,三福化,,-0.08880058266663818,0.2169650225655535,3.0,-0.18037104145565297,-0.08880058266663816,0.5555555555555556,0.10020613414202943,MIXED,1.0,LOW,0.9997062471113317,LOW,0.9999998906749313,OUTLIER,False
A4 半導體化學品 / 光阻 / 耗材,1773,1773.TW,勝一,L,0.6181866362763456,-0.10866531770216875,0.0,0.6181866362763455,0.6181866362763455,1.0,0.6181866362763455,MIXED,1.0,HIGH,0.9999999864631764,HIGH,0.9999999999659809,MIXED_ROLE,True
A4 半導體化學品 / 光阻 / 耗材,4739,4739.TWO,康普,L,0.5857631147344852,0.008345146105218804,0.0,0.5857631147344855,0.5857631147344855,1.0,0.5857631147344855,MIXED,1.0,HIGH,0.9999999099454047,HIGH,0.9999999993399196,MIXED_ROLE,True
A4 半導體化學品 / 光阻 / 耗材,4721,4721.TWO,美琪瑪,L,0.5984834243785593,0.5516694719721568,0.0,0.5984834243785593,0.5984834243785593,1.0,0.5984834243785593,MIXED,1.0,HIGH,0.9999999568408928,HIGH,0.9999999997922814,MIXED_ROLE,True
A5 矽晶圓 / 靶材 / 研磨材,6488,6488.TWO,環球晶,P,0.6797073564538771,-0.020718821220146323,0.0,0.6797073564538771,0.6797073564538771,1.0,0.6797073564538771,MIXED,1.0,HIGH,0.9999999996905038,HIGH,0.9999999999998963,PEER,True
A5 矽晶圓 / 靶材 / 研磨材,6182,6182.TWO,合晶,P,0.6226384701489976,0.0932838138440675,0.0,0.6226384701489989,0.6226384701489989,1.0,0.6226384701489989,MIXED,1.0,HIGH,0.999999989618374,HIGH,0.9999999999774658,PEER,True
A5 矽晶圓 / 靶材 / 研磨材,1560,1560.TW,中砂,P,0.7235143345530869,0.2680579039798849,0.0,0.7235143345530872,0.7235143345530872,1.0,0.7235143345530872,MIXED,1.0,HIGH,0.9999999999818479,HIGH,0.9999999999999986,PEER,True
A5 矽晶圓 / 靶材 / 研磨材,1785,1785.TWO,光洋科,,0.1674039946040388,-0.1860136630336511,0.0,0.1674039946040388,0.1674039946040388,0.3333333333333333,0.055801331534679595,MIXED,1.0,LOW,0.9062832729002015,LOW,0.9999999928089535,OUTLIER,False
B1 ABF / FC-BGA 載板,3037,3037.TW,欣興,L,0.15792265741958808,0.4921812974804901,1.0,0.7159068069270077,0.15792265741958808,1.0,0.7159068069270077,MIXED,1.0,LOW,0.928241109492599,HIGH,0.9999999999999969,LEADER,True
B1 ABF / FC-BGA 載板,8046,8046.TW,南電,P,0.5166974500882631,-0.05585671618177668,-1.0,0.562519126047946,0.5166974500882633,1.0,0.562519126047946,MIXED,1.0,HIGH,0.9999959133285751,HIGH,0.9999999946706114,TRUE_LAGGARD,True
B1 ABF / FC-BGA 載板,3189,3189.TW,景碩,P,0.5341649879135402,0.037642330710484506,0.0,0.5341649879135404,0.5341649879135404,1.0,0.5341649879135404,MIXED,1.0,HIGH,0.9999983978684156,HIGH,0.9999999347042864,PEER,True
B2 BT 載板 / 記憶體載板,2313,2313.TW,華通,L,,0.12833465713375192,,,,,,MIXED,1.0,UNCLASSIFIED,,UNCLASSIFIED,,MIXED_ROLE,True
B3 AI 高速板 / HDI / 主板 PCB,2368,2368.TW,金像電,L,0.015682520352116897,-0.05561451920876955,-6.0,-0.17212107832268433,0.015682520352116893,0.6666666666666666,0.11474738554845622,MIXED,1.0,LOW,0.9980582697418556,LOW,0.9999997267982664,OUTLIER,False
B3 AI 高速板 / HDI / 主板 PCB,3044,3044.TW,健鼎,L,-0.034771349339466885,-0.16719077571662838,-5.0,-0.18503629681181466,-0.03477134933946691,0.5555555555555556,0.10279794267323038,MIXED,1.0,LOW,0.9992840266479633,LOW,0.999999871403469,OUTLIER,False
B3 AI 高速板 / HDI / 主板 PCB,4958,4958.TW,臻鼎-KY,L,-0.0038213379756716326,0.0008521304961283674,2.0,0.17986873780752097,-0.003821337975671639,0.7777777777777778,0.13989790718362743,MIXED,1.0,LOW,0.9987043638778088,LOW,0.9999986293183849,OUTLIER,False
B3 AI 高速板 / HDI / 主板 PCB,2367,2367.TW,燿華,L,0.02546732063520883,0.169259562210546,-2.0,0.17650308554690852,0.02546732063520883,0.7777777777777778,0.1372801776475955,MIXED,1.0,LOW,0.9975999939262374,LOW,0.9999988431043872,OUTLIER,False
B3 AI 高速板 / HDI / 主板 PCB,5469,5469.TW,瀚宇博,P,-0.02683549686503467,-0.13230638866712865,1.0,0.2060687984119455,-0.026835496865034687,1.0,0.2060687984119455,MIXED,1.0,LOW,0.9991711930049096,LOW,0.999886411129084,OUTLIER,False
B3 AI 高速板 / HDI / 主板 PCB,3715,3715.TWO,定穎投控,,0.04859325498135141,-0.21881829601698438,-4.0,0.22412793498327616,0.04859325498135139,0.8888888888888888,0.19922483109624545,MIXED,1.0,LOW,0.9959458396768741,LOW,0.9999289024252539,OUTLIER,False
B3 AI 高速板 / HDI / 主板 PCB,2355,2355.TW,敬鵬,,-0.04681396099149131,0.06537440603211928,-2.0,0.17918655412153384,-0.04681396099149128,0.6666666666666666,0.11945770274768922,MIXED,1.0,LOW,0.9994222532517774,LOW,0.9999996314774645,OUTLIER,False
B4 軟板 FPC,6269,6269.TW,台郡,L,0.7769582413259314,-0.15335920182144486,0.0,0.7769582413259314,0.7769582413259314,1.0,0.7769582413259314,MIXED,1.0,HIGH,0.9999999999995159,HIGH,1.0,PEER,True
B4 軟板 FPC,6153,6153.TWO,嘉聯益,L,0.6963300636738355,0.054467644942372384,0.0,0.696330063673836,0.696330063673836,1.0,0.696330063673836,MIXED,1.0,HIGH,0.999999999892978,HIGH,0.9999999999999791,PEER,True
B4 軟板 FPC,3390,3390.TWO,旭軟,L,0.7542969786619681,-0.33464122535752217,0.0,0.754296978661968,0.754296978661968,1.0,0.754296978661968,MIXED,1.0,HIGH,0.9999999999976992,HIGH,1.0,PEER,True
B4 軟板 FPC,2402,2402.TWO,毅嘉,,0.12250830504739828,-0.17794837624894158,1.0,0.12294140062649792,0.12250830504739829,0.0,0.0,MIXED,1.0,LOW,0.9733074443321157,LOW,0.9999999997236635,OUTLIER,False
B5 PCB 設備 / 鑽針 / 檢測,3563,3563.TWO,牧德,,0.12800512620579382,0.16228133803174039,-4.0,0.16659627668640203,0.12800512620579388,0.6666666666666666,0.11106418445760136,MIXED,1.0,LOW,0.9689513015510904,LOW,0.9999997836123174,OUTLIER,False
B5 PCB 設備 / 鑽針 / 檢測,3455,3455.TWO,由田,,-0.020867246178710136,0.2484660900441573,5.0,0.19621055919235225,-0.02086724617871015,0.7777777777777778,0.15260821270516287,MIXED,1.0,LOW,0.9990723491071235,LOW,0.9999968599194456,OUTLIER,False
B5 PCB 設備 / 鑽針 / 檢測,2467,2467.TW,志聖,G,0.3204721847793867,-0.17691840008352888,0.0,0.3204721847793867,0.3204721847793867,1.0,0.3204721847793867,MIXED,1.0,HIGH,0.9613410020963831,LOW,0.7007300834913771,PEER,True
B5 PCB 設備 / 鑽針 / 檢測,6207,6207.TW,雷科,,0.09168317494170866,0.04345038494273794,4.0,-0.1363828630284468,0.09168317494170868,0.3333333333333333,0.04546095434281559,MIXED,1.0,LOW,0.9882703430080627,LOW,0.9999999961217185,OUTLIER,False
