Group,Subgroup,Rank,Ticker,YFTicker,Name,MarketRaw,Market,Dimension,CountingFlag,SourceID,EvidenceStatus,Attribution,Positioning,SourceMetricUse,MembershipKey
A1 玻纖布 / 玻纖紗,A 上游材料,,5340,5340.TWO,建榮,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A1 玻纖布 / 玻纖紗|5340
A1 玻纖布 / 玻纖紗,A 上游材料,,1815,1815.TW,富喬,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A1 玻纖布 / 玻纖紗|1815
A1 玻纖布 / 玻纖紗,A 上游材料,,1802,1802.TW,台玻,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A1 玻纖布 / 玻纖紗|1802
A1 玻纖布 / 玻纖紗,A 上游材料,,5475,5475.TWO,德宏,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A1 玻纖布 / 玻纖紗|5475
A1 玻纖布 / 玻纖紗,A 上游材料,L,1303,1303.TW,南亞,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A1 玻纖布 / 玻纖紗|1303
A1 玻纖布 / 玻纖紗,A 上游材料,,1446,1446.TW,宏和,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A1 玻纖布 / 玻纖紗|1446
A2 銅箔基板 CCL,A 上游材料,L,2383,2383.TW,台光電,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A2 銅箔基板 CCL|2383
A2 銅箔基板 CCL,A 上游材料,L,6274,6274.TW,台燿,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A2 銅箔基板 CCL|6274
A2 銅箔基板 CCL,A 上游材料,,6288,6288.TW,聯茂,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A2 銅箔基板 CCL|6288
A2 銅箔基板 CCL,A 上游材料,,6672,6672.TWO,騰輝電子-KY,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A2 銅箔基板 CCL|6672
A2 銅箔基板 CCL,A 上游材料,,3585,3585.TWO,聯致,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A2 銅箔基板 CCL|3585
A2 銅箔基板 CCL,A 上游材料,L,1303,1303.TW,南亞,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A2 銅箔基板 CCL|1303
A3 銅箔 / 樹脂 / 化工基材,A 上游材料,,8358,8358.TWO,金居,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A3 銅箔 / 樹脂 / 化工基材|8358
A3 銅箔 / 樹脂 / 化工基材,A 上游材料,,1717,1717.TW,長興,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A3 銅箔 / 樹脂 / 化工基材|1717
A3 銅箔 / 樹脂 / 化工基材,A 上游材料,L,1303,1303.TW,南亞,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A3 銅箔 / 樹脂 / 化工基材|1303
A3 銅箔 / 樹脂 / 化工基材,A 上游材料,L,8039,8039.TWO,台虹,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A3 銅箔 / 樹脂 / 化工基材|8039
A3 銅箔 / 樹脂 / 化工基材,A 上游材料,G,1711,1711.TW,永光,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A3 銅箔 / 樹脂 / 化工基材|1711
A4 半導體化學品 / 光阻 / 耗材,A 上游材料,,5434,5434.TW,崇越,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A4 半導體化學品 / 光阻 / 耗材|5434
A4 半導體化學品 / 光阻 / 耗材,A 上游材料,P,3010,3010.TW,華立,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A4 半導體化學品 / 光阻 / 耗材|3010
A4 半導體化學品 / 光阻 / 耗材,A 上游材料,,4755,4755.TW,三福化,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A4 半導體化學品 / 光阻 / 耗材|4755
A4 半導體化學品 / 光阻 / 耗材,A 上游材料,L,1773,1773.TW,勝一,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A4 半導體化學品 / 光阻 / 耗材|1773
A4 半導體化學品 / 光阻 / 耗材,A 上游材料,,1717,1717.TW,長興,上市,TWSE,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A4 半導體化學品 / 光阻 / 耗材|1717
A4 半導體化學品 / 光阻 / 耗材,A 上游材料,P,6667,6667.TWO,信紘科,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,DISPLAY_ONLY,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,SECONDARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A4 半導體化學品 / 光阻 / 耗材|6667
A4 半導體化學品 / 光阻 / 耗材,A 上游材料,L,4739,4739.TWO,康普,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A4 半導體化學品 / 光阻 / 耗材|4739
A4 半導體化學品 / 光阻 / 耗材,A 上游材料,L,4721,4721.TWO,美琪瑪,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,SAT,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A4 半導體化學品 / 光阻 / 耗材|4721
A5 矽晶圓 / 靶材 / 研磨材,A 上游材料,P,6488,6488.TWO,環球晶,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A5 矽晶圓 / 靶材 / 研磨材|6488
A5 矽晶圓 / 靶材 / 研磨材,A 上游材料,P,6182,6182.TWO,合晶,上櫃,TPEX,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A5 矽晶圓 / 靶材 / 研磨材|6182
A5 矽晶圓 / 靶材 / 研磨材,A 上游材料,P,1560,1560.TW,中砂,上市,TWSE,D02_SUBGROUP_SSOT_V0100,COUNT,SUBGROUP_SSOT_V0100,SSOT_ROSTER_ROW,PRIMARY,CORE,DISPLAY_ONLY_NOT_LIVE_CRITERIA,D02_SUBGROUP_SSOT_V0100|A5 矽晶圓 / 靶材 / 研磨材|1560
