Group,MemberCount,WithinMedianCorr,WithinMeanCorr,PositiveCorrRatio,PC1Ratio,NullMedianCorr,NullPositiveCorrRatio,NullPC1Ratio,CorrLiftVsNull,PositiveLiftVsNull,PC1LiftVsNull,ValidityState,ValidityConfidence,GroupValidity
A1 玻纖布 / 玻纖紗,6,0.029590444812264936,0.015344462773920872,0.6,0.22609881112084984,0.013927129808443364,0.5333333333333333,0.3003437199903035,0.015663315003821572,0.06666666666666665,-0.07424490886945367,LOW,0.9998837281944412,NEEDS_SPLIT_OR_REVIEW
A2 銅箔基板 CCL,5,-0.02918351531312168,0.021664198694693177,0.1,0.5164179090642944,0.07392800151621208,0.7,0.4042452904958042,-0.10311151682933375,-0.6,0.1121726185684902,LOW,0.9999973921278792,NEEDS_SPLIT_OR_REVIEW
A3 銅箔 / 樹脂 / 化工基材,4,0.02935720142021346,0.026901114248144408,0.6666666666666666,0.3947027789701631,0.010331361566425352,0.5,0.3726328372706193,0.01902583985378811,0.16666666666666663,0.022069941699543794,LOW,0.9146775474557794,NEEDS_SPLIT_OR_REVIEW
A4 半導體化學品 / 光阻 / 耗材,6,0.00994647719711181,0.11733434312017486,0.5333333333333333,0.5230752015839435,0.013380301284073715,0.6,0.3651044546331705,-0.003433824086961905,-0.06666666666666665,0.157970746950773,LOW,0.6679397050259773,NEEDS_SPLIT_OR_REVIEW
A5 矽晶圓 / 靶材 / 研磨材,4,0.41345613460030217,0.39016491361830713,1.0,0.6648188987309399,0.025079571962243415,0.6666666666666666,0.4096089762617347,0.38837656263805875,0.33333333333333337,0.2552099224692052,HIGH,0.9999999999925109,VALID_GROUP
B1 ABF / FC-BGA 載板,3,0.15118182508006608,0.3193123947562518,1.0,0.5554184470853847,-0.010272698380442868,0.3333333333333333,0.47330507869027216,0.16145452346050895,0.6666666666666667,0.08211336839511252,MID,0.9770938195130986,MONITOR_GROUP
B2 BT 載板 / 記憶體載板,1,,,,,,,,,,,UNCLASSIFIED,,DATA_INSUFFICIENT
B3 AI 高速板 / HDI / 主板 PCB,7,0.00918168664447408,-0.001951663310409428,0.5238095238095238,0.16769028195529528,0.02209249114225657,0.6666666666666666,0.2488061944523092,-0.01291080449778249,-0.1428571428571428,-0.08111591249701391,LOW,0.9999994066691081,NEEDS_SPLIT_OR_REVIEW
B4 軟板 FPC,4,0.4151429332303009,0.4099106980503761,1.0,0.7310136903207701,0.05815993227273668,1.0,0.4029789041491014,0.3569830009575642,0.0,0.3280347861716687,HIGH,0.9999999999999947,VALID_GROUP
B5 PCB 設備 / 鑽針 / 檢測,7,0.02562579939758432,0.04204004815177438,0.6190476190476191,0.42068936248359995,-0.004487790167155889,0.42857142857142855,0.2856113501073842,0.03011358956474021,0.19047619047619052,0.13507801237621575,MID,0.7187789304304684,MONITOR_GROUP
C1 晶圓代工,4,0.2658182642165184,0.3077353146777497,1.0,0.4960988854048645,-0.03139600454665036,0.3333333333333333,0.3834396633210624,0.29721426876316875,0.6666666666666667,0.11265922208380214,MID,0.9999982769824662,MONITOR_GROUP
C2 先進封裝設備 (CoWoS / SoIC),9,0.1623640515298469,0.2675415380258319,0.8888888888888888,0.4475972796794174,0.0002121192351701738,0.5,0.2099239502348214,0.16215193229467673,0.38888888888888884,0.23767332944459602,MID,0.999315223483513,MONITOR_GROUP
C3 廠務 / 無塵室 / 機電工程,7,0.1552188011489985,0.20989266004304563,0.9047619047619048,0.3795282057251678,-0.004944230350688478,0.42857142857142855,0.22691136355254968,0.16016303149968697,0.4761904761904762,0.15261684217261814,MID,0.9978320614953278,MONITOR_GROUP
C4 封測 OSAT,10,0.05983397384982965,0.1420214549554264,0.7555555555555555,0.38127983927158704,-0.008266467854744749,0.4444444444444444,0.18818768352001675,0.0681004417045744,0.3111111111111111,0.1930921557515703,MID,0.9164577364163923,MONITOR_GROUP
C5 測試介面 / 探針卡 / 測試座,5,-0.020239886385900786,-0.008754038339340933,0.4,0.42768927762462416,0.014295971736230496,0.6,0.34097572114717184,-0.03453585812213128,-0.19999999999999996,0.08671355647745232,LOW,0.9935401920578396,NEEDS_SPLIT_OR_REVIEW
C6 材料分析 / 驗證檢測,3,0.07961135903761164,0.03490306815841146,0.6666666666666666,0.37279178957145426,0.0710494846002457,0.6666666666666666,0.4757292428823249,0.008561874437365946,0.0,-0.10293745331087062,LOW,0.9999966650671559,NEEDS_SPLIT_OR_REVIEW
D2 DRAM / NOR / 利基記憶體,3,0.21148042477152176,0.34522129842479937,1.0,0.5808395604481157,0.01983557576540717,0.6666666666666666,0.37439991136449796,0.1916448490061146,0.33333333333333337,0.20643964908361773,MID,0.9999034527217987,MONITOR_GROUP
D3 記憶體模組 / 控制 IC,5,-0.011248734587486129,0.02161663603360905,0.3,0.34492743025941613,-0.046506367047453125,0.4,0.3048596076881296,0.03525763245996699,-0.10000000000000003,0.04006782257128655,LOW,0.9966740799097669,NEEDS_SPLIT_OR_REVIEW
E1 AI ASIC 設計服務,4,0.14804135004739707,0.187602622953806,0.8333333333333334,0.4203034119174996,0.01891377595012768,0.6666666666666666,0.4343047613111118,0.12912757409726938,0.16666666666666674,-0.014001349393612195,LOW,0.9662545654722801,NEEDS_SPLIT_OR_REVIEW
E2 矽智財 IP,4,0.16188104686736854,0.21854269330675882,1.0,0.5388011967682546,0.00309830580840368,0.5,0.2854836572377566,0.15878274105896487,0.5,0.25331753953049796,MID,0.9963175032738867,MONITOR_GROUP
E3 高速傳輸 / 介面 IC,3,-0.02305188399989246,-0.043123597903563564,0.0,0.37484126996173045,0.056614775677985334,1.0,0.6394023078568908,-0.0796666596778778,-1.0,-0.26456103789516033,LOW,1.0,NEEDS_SPLIT_OR_REVIEW
E4 電源管理 IC (PMIC),4,0.040821279983574016,0.03123239130569086,0.6666666666666666,0.5030053374550417,-0.04267013525829267,0.3333333333333333,0.3445060461692788,0.08349141524186668,0.3333333333333333,0.1584992912857629,MID,0.9493906043689361,MONITOR_GROUP
E5 消費 / 網通 IC 設計,6,0.04575630868533857,0.020572989206615523,0.6,0.21911989466027318,0.006250320561873748,0.5333333333333333,0.22148840138595702,0.03950598812346483,0.06666666666666665,-0.002368506725683839,LOW,0.9918043725816512,NEEDS_SPLIT_OR_REVIEW
F1 AI OEM / ODM 整機櫃 (L10/L11),5,0.12335182660164225,0.20316045013047757,0.9,0.38191014813487834,0.011067798691511893,0.6,0.24789895580297558,0.11228402791013035,0.30000000000000004,0.13401119233190276,MID,0.9812180562044925,MONITOR_GROUP
F2 主機板 / GPU 基板 (L6),2,-0.02212366831540559,-0.02212366831540559,0.0,0.7003491064339302,0.03911693838479351,1.0,0.6373741476975803,-0.0612406067001991,-1.0,0.06297495873634995,LOW,1.0,NEEDS_SPLIT_OR_REVIEW
F3 機殼 / 機櫃 / 結構件,6,-0.015433853013229866,0.0068576887131642245,0.4666666666666667,0.2184684983612199,0.0015808634121104307,0.5333333333333333,0.305280637158352,-0.017014716425340297,-0.06666666666666665,-0.08681213879713212,LOW,0.99999620467656,NEEDS_SPLIT_OR_REVIEW
F4 滑軌 / 導軌 / 精密機構,2,0.1346145720306548,0.1346145720306548,1.0,0.5964300099520317,0.0796780080794074,1.0,0.5615305164917153,0.054936563951247394,0.0,0.0348994934603164,LOW,0.9810886413101125,NEEDS_SPLIT_OR_REVIEW
F5 連接器 / 高速線材 / 端子,5,-0.03211121357780848,-0.018121836876648915,0.4,0.27543253635812254,-0.02582755931239667,0.4,0.29359362487823604,-0.00628365426541181,0.0,-0.0181610885201135,LOW,0.9986947681647963,NEEDS_SPLIT_OR_REVIEW
G1 水冷板 / CDU / 液冷系統,4,0.16590734621797584,0.21293294134521615,0.6666666666666666,0.6006207357759392,0.08973104697125062,0.6666666666666666,0.41947276426221114,0.07617629924672523,0.0,0.18114797151372808,MID,0.9036561538103866,MONITOR_GROUP
G2 均熱片 / VC / 熱管,5,0.01359680840325334,0.0058589284658201015,0.6,0.25042383892745934,-0.02346466348494848,0.4,0.3126715681181537,0.03706147188820182,0.19999999999999996,-0.06224772919069438,LOW,0.9976353124600088,NEEDS_SPLIT_OR_REVIEW
G3 快接頭 QD / 閥件 / 泵浦,3,0.012553777294293599,-0.004315399137272582,0.6666666666666666,0.3901792777816269,-0.05553707058252652,0.3333333333333333,0.4544450566999397,0.06809084787682013,0.3333333333333333,-0.06426577891831275,LOW,0.9873035475924842,NEEDS_SPLIT_OR_REVIEW
G4 風扇 / 馬達,3,0.21862125284838235,0.3280142644228467,1.0,0.5862794978098368,-0.02751402984765687,0.3333333333333333,0.44038438380232175,0.24613528269603924,0.6666666666666667,0.14589511400751504,MID,0.9999648151642706,MONITOR_GROUP
G5 熱交換器 / 漏液感測,1,,,,,,,,,,,UNCLASSIFIED,,DATA_INSUFFICIENT
H1 伺服器電源 PSU / 電源模組,5,0.15793267995277419,0.14291837930733636,0.8,0.45553697691768696,0.019000715342930376,0.5,0.32313822269479603,0.1389319646098438,0.30000000000000004,0.13239875422289094,MID,0.9936046345921157,MONITOR_GROUP
H2 BBU 備援電池模組,5,0.2918136655937474,0.3084108870876141,1.0,0.46252179787761993,0.019511892542167147,0.7,0.297808139893113,0.2723017730515802,0.30000000000000004,0.16471365798450693,MID,0.9999966085712612,MONITOR_GROUP
H3 重電 / 變壓器 / 開關設備,7,0.21243807342473303,0.3245036527851047,1.0,0.4546079612912067,-0.009274326724038003,0.47619047619047616,0.22463668977004161,0.22171240014877103,0.5238095238095238,0.22997127152116506,MID,0.9999691922628325,MONITOR_GROUP
H4 UPS / 機房基礎設施,2,-0.053369202382341906,-0.053369202382341906,0.0,0.7832783266276181,0.09556537276961759,1.0,0.548268335569233,-0.1489345751519595,-1.0,0.23500999105838505,LOW,0.9999999965789899,NEEDS_SPLIT_OR_REVIEW
H5 電線電纜 / 匯流排,3,0.034137755197390124,-0.023145861455661467,0.6666666666666666,0.3782216054074935,-0.030194384141252893,0.3333333333333333,0.4585222910699553,0.06433213933864301,0.3333333333333333,-0.08030068566246179,LOW,0.9949354206168936,NEEDS_SPLIT_OR_REVIEW
I1 CPO 共封裝光學 / 光引擎,1,,,,,,,,,,,UNCLASSIFIED,,DATA_INSUFFICIENT
I2 FAU 光纖陣列 / 精密光學耦合,2,0.06621129196188962,0.06621129196188962,1.0,0.5540976374768241,-0.03529478727564771,0.0,0.6700647042819322,0.10150607923753732,1.0,-0.11596706680510815,LOW,0.999371190701985,NEEDS_SPLIT_OR_REVIEW
I3 雷射源 / 三五族磊晶,2,0.07540517362451893,0.07540517362451893,1.0,0.7483938098772064,0.15378866480191375,1.0,0.5778806833804611,-0.07838349117739482,0.0,0.17051312649674533,LOW,0.8274703832404625,NEEDS_SPLIT_OR_REVIEW
I4 光收發模組 / 光被動元件,5,0.037116192774368346,0.032512874291097574,0.7,0.24087521389487912,-0.006329912895256075,0.4,0.3990145403587647,0.043446105669624424,0.29999999999999993,-0.1581393264638856,LOW,0.999980505604638,NEEDS_SPLIT_OR_REVIEW
I5 交換器 / 白牌網通設備,5,0.04182451192526319,0.0833961674493767,0.7,0.32134812855489714,0.009869960981942478,0.6,0.3162224357340989,0.03195455094332071,0.09999999999999998,0.005125692820798222,LOW,0.979432825482791,NEEDS_SPLIT_OR_REVIEW
