CandidateGroupId,GroupName,SourceReportedAttentionScore,SourceReportedLeadershipScore,SourceReportedChange1D,EvidenceTier,CandidateIdPolicy,SourceVersion,CanonicalMutation,InputIntegrityStatus
C49-001,工具機,0.458,0.402,0.285,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-002,工業電腦,0.488,0.434,0.396,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-003,太陽能與儲能,0.427,0.375,0.205,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-004,半導體上游 · 矽晶圓與材料,0.433,0.379,0.17,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-005,半導體上游 · 氣體與化學品,0.426,0.374,0.208,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-006,半導體設備,,,,VDF_REQUIRED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-007,半導體通路,0.43,0.378,0.196,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-008,台積電擴廠,0.547,0.492,0.58,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-009,生技醫療,0.48,0.422,0.356,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-010,光通訊 · 光收發模組,0.528,0.472,0.542,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-011,光通訊 · 高速線纜,0.472,0.417,0.385,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-012,光通訊 · CPO 共封裝,0.487,0.432,0.375,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-013,光學,0.378,0.363,0.028,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-014,低軌衛星,0.435,0.38,0.233,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-015,矽智財 IP,0.44,0.39,0.3,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-016,金融,0.39,0.426,0.139,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-017,封裝測試,0.532,0.476,0.508,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-018,軍工航太,0.462,0.408,0.34,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-019,重電,0.532,0.478,0.605,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-020,面板,0.39,0.337,0.095,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,BLOCKED_DUPLICATE_GROUP_TICKER
C49-021,食品與內需,0.354,0.416,0.072,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-022,航空,0.456,0.406,0.284,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-023,記憶體,0.498,0.444,0.424,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-024,條鋼,0.373,0.405,0.073,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-025,被動元件,0.403,0.355,0.102,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-026,貨櫃航運,0.484,0.424,0.388,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-027,散裝航運,0.414,0.361,0.163,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-028,散熱,0.515,0.455,0.546,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-029,晶圓代工,0.45,0.397,-0.445,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-030,塑化,0.308,0.364,0.008,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-031,資安/系統整合,,,,VDF_REQUIRED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-032,遊戲與軟體,0.402,0.35,0.135,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-033,電信,0.313,0.453,0.025,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-034,電動車,0.38,0.325,0.01,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-035,電源管理,0.5,0.445,0.39,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-036,網通設備,0.335,0.28,-0.1,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-037,機器人,0.543,0.492,0.637,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-038,鋼鐵,0.365,0.398,0.048,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-039,營建與資產,0.38,0.34,0.125,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-040,觀光餐飲,,,,VDF_REQUIRED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
C49-041,AI 伺服器,0.581,0.526,0.956,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,PASS
