Date,Ticker,ForeignNetAmount,InvestmentTrustNetAmount,DealerNetAmount
2025-10-01,1503.TW,,,
2025-10-02,1503.TW,1155295.685174216,-1188494.3660762694,382111.45322435605
2025-10-03,1503.TW,184272.82295456895,556142.599983021,20059.599679499755
2025-10-06,1503.TW,-106361.42701244616,285887.56375621463,-1371065.7185115975
2025-10-07,1503.TW,1215045.1715490546,1632818.6859713704,321385.0550987397
2025-10-08,1503.TW,171864.55322220462,1296551.1664452858,103270.68363038881
2025-10-09,1503.TW,-47933.698785631685,-60130.964963778824,-695262.2852145304
2025-10-10,1503.TW,-932773.0839644219,-235540.58645184746,-414153.6555558837
2025-10-13,1503.TW,1074718.1692042467,-292274.79030730453,-39276.56542104308
2025-10-14,1503.TW,958920.1637556503,-2731124.8735913225,-644322.5988968819
2025-10-15,1503.TW,-219244.18603527686,-975163.7418574018,90973.5916887887
2025-10-16,1503.TW,579957.5181182285,788330.6118817969,17467.207592726612
2025-10-17,1503.TW,-760357.0404764959,667120.5609883859,423237.4598294661
2025-10-20,1503.TW,1359967.5482221923,276058.8812396022,329304.78785781964
2025-10-21,1503.TW,-186910.53725347837,123409.70870851113,15759.219626145634
2025-10-22,1503.TW,297412.97039739264,1477246.2573972666,-360877.4163639986
2025-10-23,1503.TW,986957.4341682908,1635981.9196998025,272136.10282115795
2025-10-24,1503.TW,622010.0788680273,2960988.3733860906,546512.5241199277
2025-10-27,1503.TW,1020203.1519590758,-41516.12871131013,210404.15302200036
2025-10-28,1503.TW,165565.27904089037,917555.0485727089,64021.248744881734
2025-10-29,1503.TW,324202.81611716596,-276200.1356513175,554713.2050407353
2025-10-30,1503.TW,395370.75790562236,3778306.4897174607,32642.225279287086
2025-10-31,1503.TW,-223857.34008722653,-224502.80311855715,-86462.09861392669
2025-11-03,1503.TW,-1097920.2948759918,-468445.4499865407,-112515.55606026246
2025-11-04,1503.TW,93387.09880994895,589554.2865120099,-430481.6910937407
2025-11-05,1503.TW,139934.70998865177,798104.8548753359,69326.38213643534
