Date,Ticker,MarginBalanceValue,ShortBalanceValue
2025-10-01,1503.TW,1142000000.0,97100000.0
2025-10-02,1503.TW,1142298286.563878,97026494.8622418
2025-10-03,1503.TW,1142191095.1525755,97050363.32723595
2025-10-06,1503.TW,1142346422.4186122,97006806.25098908
2025-10-07,1503.TW,1141778815.9011319,97140458.97540998
2025-10-08,1503.TW,1141502539.9982133,97202811.4893108
2025-10-09,1503.TW,1141750711.9760394,97137467.28067365
2025-10-10,1503.TW,1141988662.0004768,97073091.1217299
2025-10-13,1503.TW,1142338913.9000292,96980752.64607532
2025-10-14,1503.TW,1143645014.5989363,96649714.64476073
2025-10-15,1503.TW,1144338290.8966591,96468834.65711331
2025-10-16,1503.TW,1144257054.8696148,96481329.14369553
2025-10-17,1503.TW,1144276916.056843,96467470.51951349
2025-10-20,1503.TW,1144435754.1581519,96417429.1924516
2025-10-21,1503.TW,1144593879.4185414,96371553.38577846
2025-10-22,1503.TW,1144334157.243322,96424444.89769894
2025-10-23,1503.TW,1144042903.42638,96480515.68149076
2025-10-24,1503.TW,1143421526.3009691,96612979.02626228
2025-10-27,1503.TW,1143788830.4690015,96513236.6206398
2025-10-28,1503.TW,1144070920.6360803,96426793.29523169
2025-10-29,1503.TW,1144516437.1644108,96304319.2998693
2025-10-30,1503.TW,1143615932.3773417,96500066.98203178
2025-10-31,1503.TW,1144009599.8674257,96392464.34362099
2025-11-03,1503.TW,1145398351.0124598,96021689.96659954
2025-11-04,1503.TW,1145439368.2414124,96003571.45545478
2025-11-05,1503.TW,1145298373.8628736,96032855.38211374
2025-11-06,1503.TW,1145726984.5728226,95912738.73550573
2025-11-07,1503.TW,1146799553.4876275,95628786.6702376
2025-11-10,1503.TW,1146682504.063732,95637142.70274298
2025-11-11,1503.TW,1147220113.4924543,95489778.0397489
2025-11-12,1503.TW,1147248946.0867658,95466197.9455511
2025-11-13,1503.TW,1148047619.4531837,95242097.9874572
2025-11-14,1503.TW,1148268493.5047743,95173988.09846587
2025-11-17,1503.TW,1148603310.4973612,95080450.00232057
2025-11-18,1503.TW,1148894667.5052638,95003979.77532068
2025-11-19,1503.TW,1149358543.7469063,94878643.41626453
2025-11-20,1503.TW,1150062734.7825596,94694868.45393468
2025-11-21,1503.TW,1150258203.0511837,94638049.48035233
2025-11-24,1503.TW,1151619864.9428036,94297303.35517699
2025-11-25,1503.TW,1152498954.939411,94072165.25825383
2025-11-26,1503.TW,1153192500.424188,93894484.03913793
2025-11-27,1503.TW,1153164018.339963,93896360.02441026
2025-11-28,1503.TW,1152973495.5083613,93939554.20411919
2025-12-01,1503.TW,1152733310.9088473,93992342.41236272
2025-12-02,1503.TW,1152431771.6745713,94061762.87319036
2025-12-03,1503.TW,1152355184.1068957,94078144.19077392
2025-12-04,1503.TW,1152373534.9228153,94073121.656619
2025-12-05,1503.TW,1152446181.364313,94055398.68048309
2025-12-08,1503.TW,1152453428.123627,94054798.35852525
2025-12-09,1503.TW,1152690843.4676628,93999195.97987792
2025-12-10,1503.TW,1151549817.3330607,94279589.84825508
2025-12-11,1503.TW,1151261166.984289,94351846.90835042
2025-12-12,1503.TW,1150934262.6537507,94435987.38531092
2025-12-15,1503.TW,1151146591.8915908,94393648.89455698
2025-12-16,1503.TW,1150840793.8552144,94482758.31982239
2025-12-17,1503.TW,1150260618.1578333,94632844.01490602
2025-12-18,1503.TW,1148964609.5234401,94958847.06787983
2025-12-19,1503.TW,1148823610.456431,94998110.62687504
2025-12-22,1503.TW,1148460552.5155146,95097106.85595073
2025-12-23,1503.TW,1148850521.8196738,95020939.76462574
2025-12-24,1503.TW,1149095243.9171903,94973112.70196408
2025-12-25,1503.TW,1149206353.361141,94957627.81415048
2025-12-26,1503.TW,1149492084.8220396,94904081.71956478
2025-12-29,1503.TW,1149735699.7963722,94864413.20772277
2025-12-30,1503.TW,1149330131.5257585,94982011.87773225
2025-12-31,1503.TW,1148757104.78384,95133118.95144771
2026-01-01,1503.TW,1148179907.044598,95287324.30749616
2026-01-02,1503.TW,1147618015.3390129,95436776.19920696
2026-01-05,1503.TW,1148058072.7789123,95341074.10591087
2026-01-06,1503.TW,1147782020.2780862,95420156.5061217
2026-01-07,1503.TW,1146885604.2626486,95651854.46138
2026-01-08,1503.TW,1146346855.8742332,95792454.57155178
2026-01-09,1503.TW,1144124846.0921214,96387156.97185351
2026-01-12,1503.TW,1143604061.3590837,96524954.19888414
2026-01-13,1503.TW,1142361577.7577567,96841496.2555767
2026-01-14,1503.TW,1142230215.6516647,96887702.65050218
2026-01-15,1503.TW,1141812065.9713287,96996339.68642375
2026-01-16,1503.TW,1141735575.5040638,97024877.54359798
2026-01-19,1503.TW,1140650686.7798939,97312398.5794267
2026-01-20,1503.TW,1140013260.8727949,97480901.95121136
