GroupId,GroupName,Ticker,TickerCode,Name,CandidateRole,IndexEligible,FlowEligible,DisplayOnly,PrimaryEconomicIdentity,Market,MarketVerified,MarketSource,UITier,SourceVersion,DataEvidence
TWG001,ABF 載板,3167.TW,3167,大量,LAGGARD,True,True,False,ABF 載板,REVIEW,False,FIXTURE_DEFAULT_TW_NOT_VERIFIED,STANDARD,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG001,ABF 載板,3037.TW,3037,欣興,LEADER,True,True,False,ABF 載板,REVIEW,False,FIXTURE_DEFAULT_TW_NOT_VERIFIED,STANDARD,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG001,ABF 載板,3189.TW,3189,景碩,PEER,True,True,False,ABF 載板,REVIEW,False,FIXTURE_DEFAULT_TW_NOT_VERIFIED,STANDARD,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG001,ABF 載板,8046.TW,8046,南電,PEER,True,True,False,ABF 載板,REVIEW,False,FIXTURE_DEFAULT_TW_NOT_VERIFIED,STANDARD,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG002,CPO 共封裝光學,4979.TWO,4979,華星光,LAGGARD,True,True,False,CPO 共封裝光學,TPEX,True,8bd5bc08-9d82-4fb1-98d0-1763f5210a27.py+9df6891b-d309-4af6-bc58-a21b2907308e.py,WIDE,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG002,CPO 共封裝光學,3081.TWO,3081,聯亞,LEADER,True,True,False,CPO 共封裝光學,TPEX,True,8bd5bc08-9d82-4fb1-98d0-1763f5210a27.py+9df6891b-d309-4af6-bc58-a21b2907308e.py,WIDE,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG002,CPO 共封裝光學,3163.TWO,3163,波若威,PEER,True,True,False,CPO 共封裝光學,TPEX,True,8bd5bc08-9d82-4fb1-98d0-1763f5210a27.py+9df6891b-d309-4af6-bc58-a21b2907308e.py,WIDE,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG002,CPO 共封裝光學,3363.TW,3363,上詮,PEER,True,True,False,CPO 共封裝光學,TWSE,True,8bd5bc08-9d82-4fb1-98d0-1763f5210a27.py+9df6891b-d309-4af6-bc58-a21b2907308e.py,WIDE,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG002,CPO 共封裝光學,4977.TWO,4977,眾達-KY,PEER,True,True,False,CPO 共封裝光學,TPEX,True,8bd5bc08-9d82-4fb1-98d0-1763f5210a27.py+9df6891b-d309-4af6-bc58-a21b2907308e.py,WIDE,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG002,CPO 共封裝光學,6442.TWO,6442,光聖,PEER,True,True,False,CPO 共封裝光學,TPEX,True,8bd5bc08-9d82-4fb1-98d0-1763f5210a27.py+9df6891b-d309-4af6-bc58-a21b2907308e.py,WIDE,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG003,觀光餐飲,5706.TW,5706,鳳凰,LAGGARD,True,True,False,觀光餐飲,REVIEW,False,FIXTURE_DEFAULT_TW_NOT_VERIFIED,STANDARD,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
TWG003,觀光餐飲,2727.TW,2727,王品,LEADER,True,True,False,觀光餐飲,REVIEW,False,FIXTURE_DEFAULT_TW_NOT_VERIFIED,STANDARD,ATTACHED_CANDIDATE_LIST_WITH_CONTROLLED_MARKET_FIXTURE_V0200,DEMO_FIXTURE_DO_NOT_PROMOTE
