Group,Subgroup,Ticker,YFTicker,Name,Market,Dimension,CountingFlag,SourceID,EvidenceStatus
US_EQUITY,,SPY,SPY,SPDR S&P 500,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
US_EQUITY,,DIA,DIA,SPDR Dow Jones,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
US_EQUITY,,QQQ,QQQ,Invesco QQQ,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
US_EQUITY,,IWM,IWM,iShares Russell 2000,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
US_EQUITY,,ONEQ,ONEQ,Fidelity Nasdaq Composite,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,VGK,VGK,Vanguard FTSE Europe,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,FEZ,FEZ,SPDR Euro Stoxx 50,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EZU,EZU,iShares MSCI Eurozone,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWG,EWG,iShares MSCI Germany,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWQ,EWQ,iShares MSCI France,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWU,EWU,iShares MSCI United Kingdom,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWI,EWI,iShares MSCI Italy,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWP,EWP,iShares MSCI Spain,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
EUROPE_EQUITY,,EWL,EWL,iShares MSCI Switzerland,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_DEV,,EWJ,EWJ,iShares MSCI Japan,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_DEV,,EWY,EWY,iShares MSCI South Korea,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_DEV,,EWT,EWT,iShares MSCI Taiwan,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_DEV,,EWS,EWS,iShares MSCI Singapore,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
GREATER_CHINA,,FXI,FXI,iShares China Large-Cap,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
GREATER_CHINA,,MCHI,MCHI,iShares MSCI China,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
GREATER_CHINA,,EWH,EWH,iShares MSCI Hong Kong,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_EM,,INDA,INDA,iShares MSCI India,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_EM,,EPI,EPI,WisdomTree India Earnings,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_EM,,EIDO,EIDO,iShares MSCI Indonesia,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_EM,,THD,THD,iShares MSCI Thailand,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
ASIA_EM,,EWM,EWM,iShares MSCI Malaysia,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
COMMODITY,,GC=F,GC=F,COMEX Gold Futures,COMMODITY,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
COMMODITY,,CL=F,CL=F,NYMEX WTI Crude Futures,COMMODITY,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
COMMODITY,,BZ=F,BZ=F,ICE Brent Crude Futures,COMMODITY,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0100,DB_COVERAGE_VERIFIED
