Group,Subgroup,Rank,Ticker,YFTicker,Name,Market,Dimension,CountingFlag,SourceID,EvidenceStatus
US_EQUITY,,L,SPY,SPY,SPDR S&P 500,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
US_EQUITY,,P,DIA,DIA,SPDR Dow Jones,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
US_EQUITY,,P,QQQ,QQQ,Invesco QQQ,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
US_EQUITY,,P,IWM,IWM,iShares Russell 2000,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
US_EQUITY,,G,ONEQ,ONEQ,Fidelity Nasdaq Composite,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
US_EQUITY,,P,^NDX,^NDX,NASDAQ 100 Index,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
US_EQUITY,,P,^RUT,^RUT,Russell 2000 Index,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
EUROPE_BROAD,,L,VGK,VGK,Vanguard FTSE Europe,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
EUROPE_BROAD,,G,FEZ,FEZ,SPDR Euro Stoxx 50,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
EUROPE_BROAD,,P,EZU,EZU,iShares MSCI Eurozone,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
EUROPE_COUNTRY,,L,EWG,EWG,iShares MSCI Germany,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
EUROPE_COUNTRY,,P,EWQ,EWQ,iShares MSCI France,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
EUROPE_COUNTRY,,P,EWU,EWU,iShares MSCI United Kingdom,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
EUROPE_COUNTRY,,G,EWI,EWI,iShares MSCI Italy,US,D02_GLOBAL_FLOW_ROTATION,COUNT,VIA_GLOBAL_FLOW_V0104,DB_COVERAGE_VERIFIED+ROLE_PRIOR_LIQUIDITY_HEURISTIC
