"Category","Group","Count"
"01_registry_identity_anchor","Registry / Identity / Anchor","10"
"02_finance_market_trading","Finance / Market / Trading","20"
"03_data_database_dataset","Data / Database / Dataset","10"
"04_vap_chart_visualization","VAP / Chart / Visualization","60"
"05_file_format_export","File / Format / Export","117"
"06_cloud_io_link_share","Cloud / IO / Link / Share","16"
"07_code_devops_builder","Code / DevOps / Builder","12"
"09_navigation_action_ui","Navigation / Action / UI","4"
"10_media_image_video","Media / Image / Video","4"
"11_language_network_translation","Language / Network / Translation","8"
"12_time_calendar_project","Time / Calendar / Project","8"
"13_seo_business_marketing_png","SEO / Business / Marketing PNG","92"
