"Action","Reason","CanonicalFile","CanonicalPath","AssetId","FileName","Path","Extension","StylePackId","Category","NormalizedName","SuffixScore","Bytes","Modified","Result","NewPath"
"KEEP","Canonical lowest suffix score","account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\01_registry_identity_anchor\account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg","VIA-ICON-4E8CEB16E47C","account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\01_registry_identity_anchor\account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","01_registry_identity_anchor","account_circle_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.73","1132","2026-03-23 10:45:06","KEEP",""
"KEEP","Canonical lowest suffix score","account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\01_registry_identity_anchor\account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg","VIA-ICON-4E8CEB16E47C","account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\01_registry_identity_anchor\account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","01_registry_identity_anchor","account_circle_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.73","1132","2026-03-23 10:45:06","KEEP",""
"KEEP","Canonical lowest suffix score","anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__344D88DA89.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\01_registry_identity_anchor\anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__344D88DA89.svg","VIA-ICON-344D88DA8958","anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__344D88DA89.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\01_registry_identity_anchor\anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__344D88DA89.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","01_registry_identity_anchor","anchor_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.65","810","2026-03-23 10:53:24","KEEP",""
"KEEP","Canonical lowest suffix score","anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__344D88DA89.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\01_registry_identity_anchor\anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__344D88DA89.svg","VIA-ICON-344D88DA8958","anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__344D88DA89.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\01_registry_identity_anchor\anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__344D88DA89.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","01_registry_identity_anchor","anchor_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.65","810","2026-03-23 10:53:24","KEEP",""
"KEEP","Canonical lowest suffix score","attach_money_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__76062EDDCA.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\02_finance_market_trading\attach_money_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__76062EDDCA.svg","VIA-ICON-76062EDDCA55","attach_money_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__76062EDDCA.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\02_finance_market_trading\attach_money_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__76062EDDCA.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","02_finance_market_trading","attach_money_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.71","638","2026-03-23 11:03:31","KEEP",""
"KEEP","Canonical lowest suffix score","attach_money_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__76062EDDCA.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\02_finance_market_trading\attach_money_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__76062EDDCA.svg","VIA-ICON-76062EDDCA55","attach_money_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__76062EDDCA.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\02_finance_market_trading\attach_money_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__76062EDDCA.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","02_finance_market_trading","attach_money_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.71","638","2026-03-23 11:03:31","KEEP",""
"KEEP","Canonical lowest suffix score","check_box_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__3F64021186.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\04_vap_chart_visualization\check_box_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__3F64021186.svg","VIA-ICON-3F64021186D3","check_box_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__3F64021186.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\04_vap_chart_visualization\check_box_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__3F64021186.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","04_vap_chart_visualization","check_box_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.68","464","2026-03-23 10:39:54","KEEP",""
"KEEP","Canonical lowest suffix score","check_box_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__3F64021186.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\04_vap_chart_visualization\check_box_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__3F64021186.svg","VIA-ICON-3F64021186D3","check_box_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__3F64021186.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\04_vap_chart_visualization\check_box_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__3F64021186.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","04_vap_chart_visualization","check_box_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.68","464","2026-03-23 10:39:54","KEEP",""
"KEEP","Canonical lowest suffix score","check_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__2D19A661D1.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\05_file_format_export\check_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__2D19A661D1.svg","VIA-ICON-2D19A661D149","check_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__2D19A661D1.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\05_file_format_export\check_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__2D19A661D1.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","05_file_format_export","check_circle_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.71","605","2026-03-23 10:48:45","KEEP",""
"KEEP","Canonical lowest suffix score","check_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__2D19A661D1.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\05_file_format_export\check_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__2D19A661D1.svg","VIA-ICON-2D19A661D149","check_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__2D19A661D1.svg","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base\managed_icons\MATERIAL_SYMBOL_0000F5_36DP\05_file_format_export\check_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__2D19A661D1.svg",".svg","MATERIAL_SYMBOL_0000F5_36DP","05_file_format_export","check_circle_36dp_0000f5_fill0_wght400_grad0_opsz40_(1)","70.71","605","2026-03-23 10:48:45","KEEP",""
