"Subsystem","Extension","FileCount","TotalBytes"
"VDF",".csv","2","1880918"
"VDF",".duckdb","1","1585152"
"VDF",".html","1","46875"
"VDF",".json","5","3000643"
"VDF",".md","1","5606"
"VDF",".parquet","2","408899"
"VDF",".py","17","725492"
"VIA",".backup_20260609_040329","1","32695"
"VIA",".csv","18","4446988"
"VIA",".docx","4","1014689"
"VIA",".html","20","18848745"
"VIA",".ico","16","891461"
"VIA",".jpeg","8","1731804"
"VIA",".jpg","251","19844704"
"VIA",".js","2","18014"
"VIA",".json","90","5070707"
"VIA",".log","4","10274"
"VIA",".md","3","14197"
"VIA",".pdf","60","63406497"
"VIA",".png","4012","417150145"
"VIA",".ps1","15","104536"
"VIA",".py","40","1661585"
"VIA",".svg","762","42589515"
"VIA",".txt","8","3411"
"VIA",".webp","37","2242074"
"VRN",".csv","7","2807946"
"VRN",".duckdb","2","2908160"
"VRN",".html","2","209284"
"VRN",".json","221","418204165"
"VRN",".log","1","1763"
"VRN",".parquet","2","443872"
"VRN",".ps1","8","50096"
"VRN",".py","97","2588547"
