"Flow","Language","Rank","Library","Use","InstallMode","Risk"
"Icon Registry / Dedupe","PowerShell","1","PSScriptAnalyzer","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","2","Pester","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","3","ImportExcel","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","4","PSWriteHTML","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","5","ThreadJob","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","6","powershell-yaml","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","7","platyPS","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","8","PSFramework","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","9","Pode","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","PowerShell","10","BurntToast","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"Icon Registry / Dedupe","Python","1","pandas","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","2","polars","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","3","pyarrow","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","4","duckdb","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","5","orjson","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","6","ujson","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","7","xxhash","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","8","Pillow","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","9","imagehash","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Icon Registry / Dedupe","Python","10","send2trash","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"Image / Icon Processing","Python","1","Pillow","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
"Image / Icon Processing","Python","2","cairosvg","尺寸、SVG、PNG、相似圖、同圖不同大小","VenvPip","LOW"
