"Flow","Language","Rank","Library","Use","InstallMode","Risk"
"VAP Visual Spec Registry","PowerShell","1","PSScriptAnalyzer","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","2","Pester","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","3","ImportExcel","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","4","PSWriteHTML","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","5","ThreadJob","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","6","powershell-yaml","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","7","platyPS","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","8","PSFramework","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","9","Pode","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","PowerShell","10","BurntToast","AST、測試、HTML 報告、CSV/Excel、治理","PSGalleryCurrentUser","LOW"
"VAP Visual Spec Registry","Python","1","pandas","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","2","polars","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","3","pyarrow","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","4","duckdb","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","5","orjson","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","6","ujson","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","7","xxhash","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","8","Pillow","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","9","imagehash","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"VAP Visual Spec Registry","Python","10","send2trash","registry、hash、圖像分類、資料庫","VenvPip","LOW"
"HTML U/I Grid","JavaScript","1","Tabulator","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","2","DataTables","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","3","GridStack.js","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","4","SortableJS","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","5","Interact.js","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","6","Fuse.js","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","7","Floating UI","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","8","Masonry","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","9","Isotope","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"HTML U/I Grid","JavaScript","10","Prism.js","矩陣、方格、搜尋、篩選、拖曳","NpmLocal","LOW"
"Chart Visual Template","JavaScript","1","Plotly.js","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","2","Apache ECharts","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","3","Chart.js","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","4","D3.js","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","5","Vega-Lite","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","6","uPlot","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","7","Observable Plot","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","8","ApexCharts","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","9","Billboard.js","圖表、流程圖、template preview","NpmLocal","LOW"
"Chart Visual Template","JavaScript","10","Mermaid","圖表、流程圖、template preview","NpmLocal","LOW"
"HTML Component Split","Python","1","BeautifulSoup4","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","2","lxml","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","3","html5lib","HTML/CSS parsing、component split","VenvPip","LOW"
"HTML Component Split","Python","4","Jinja2","HTML/CSS parsing、component split","VenvPip","LOW"
