"Function","Language","Rank","Library","InstallMode","Risk","Note"
"PowerShell AST / Entry Health","PowerShell","1","PSScriptAnalyzer","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","2","Pester","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","3","PSFramework","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","4","platyPS","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","5","ThreadJob","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","6","ImportExcel","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","7","PSWriteHTML","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","8","Pode","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","9","BurntToast","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"PowerShell AST / Entry Health","PowerShell","10","powershell-yaml","PSGalleryCurrentUser","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","1","pandas","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","2","polars","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","3","pyarrow","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","4","duckdb","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","5","orjson","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","6","ujson","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","7","xxhash","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","8","Pillow","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","9","imagehash","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Icon Registry / Dedupe","Python","10","send2trash","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","1","Pillow","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","2","cairosvg","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","3","imagehash","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","4","opencv-python","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
"Image / Icon Processing","Python","5","scikit-image","VenvPip","LOW","Local/free preferred; install later only inside isolated environment."
