symbol,date,value,source,unit,frequency,description
^TNX,"Ticker
   ",4.480999946594238,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.454999923706055,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.453000068664551,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.474999904632568,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.454999923706055,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.491000175476074,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.4770002365112305,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.535999774932861,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.552000045776367,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
^TNX,"Ticker
   ",4.546000003814697,YFINANCE,INDEX_OR_PRICE,DAILY,YFinance seed: ^TNX
