Date,ticker,open,high,low,close,adj_close,volume
2021-08-13,NVDA,497.43,502.13,498.64,499.96,499.55,5653594
2021-08-16,NVDA,503.98,508.1,503.75,504.24,504.65,8594191
2021-08-17,NVDA,496.64,498.53,493.3,498.05,497.67,3541014
2021-08-18,NVDA,490.1,498.16,488.79,491.84,492.01,3022209
2021-08-19,NVDA,487.89,490.42,483.28,487.53,487.01,1864067
2021-08-20,NVDA,504.49,510.87,504.44,505.28,505.67,1588349
2021-08-23,NVDA,503.85,506.25,504.18,505.75,505.13,1346491
2021-08-24,NVDA,493.41,498.43,494.0,494.02,494.15,2195845
2021-08-25,NVDA,484.01,489.78,482.67,482.68,482.59,1149195
2021-08-26,NVDA,482.43,480.99,477.2,480.14,480.19,5606375
2021-08-27,NVDA,479.6,484.47,482.62,483.47,483.28,4039163
2021-08-30,NVDA,489.06,491.28,483.78,489.81,489.6,2882532
2021-08-31,NVDA,491.47,495.81,490.63,491.82,491.89,5692681
2021-09-01,NVDA,479.11,486.55,477.95,481.96,481.47,1913456
2021-09-02,NVDA,477.04,481.36,475.1,477.33,476.85,2169504
2021-09-03,NVDA,486.93,487.58,483.63,486.57,486.39,1243080
2021-09-06,NVDA,474.34,481.85,465.47,473.11,472.92,4814664
2021-09-07,NVDA,468.26,472.63,461.78,468.08,467.6,2179986
2021-09-08,NVDA,473.44,479.01,475.48,475.53,475.97,3294772
2021-09-09,NVDA,491.31,490.5,481.79,486.42,486.25,5396645
2021-09-10,NVDA,486.57,486.03,478.22,484.56,484.45,6487743
2021-09-13,NVDA,481.39,485.9,479.02,480.06,479.42,3221722
2021-09-14,NVDA,467.01,466.93,459.74,464.67,465.64,3961442
2021-09-15,NVDA,471.82,476.2,470.9,471.24,472.39,2080408
2021-09-16,NVDA,490.39,491.13,479.79,487.25,486.87,7585026
2021-09-17,NVDA,519.13,522.85,518.94,518.99,519.62,3008417
2021-09-20,NVDA,524.52,528.93,521.27,524.52,524.47,3402913
2021-09-21,NVDA,526.04,527.38,519.56,524.38,525.22,2667289
2021-09-22,NVDA,516.88,517.24,512.71,512.84,513.01,5954301
2021-09-23,NVDA,492.96,498.05,483.01,489.27,489.31,3612089
2021-09-24,NVDA,493.38,498.46,484.54,491.92,490.69,4782467
2021-09-27,NVDA,522.66,527.9,521.21,521.32,520.86,3901919
2021-09-28,NVDA,540.27,540.97,525.37,538.4,538.41,2927897
2021-09-29,NVDA,556.7,555.89,551.1,553.97,554.08,5202939
2021-09-30,NVDA,561.55,567.15,556.63,557.92,557.24,3885095
2021-10-01,NVDA,562.83,566.45,557.54,563.5,563.08,2021823
2021-10-04,NVDA,533.41,540.54,524.65,529.91,530.21,1993483
2021-10-05,NVDA,541.47,542.24,534.11,540.55,539.8,3521555
2021-10-06,NVDA,534.99,534.63,527.84,533.26,533.33,5145993
2021-10-07,NVDA,528.06,525.44,522.87,524.44,525.08,7420153
2021-10-08,NVDA,522.67,524.55,515.54,520.72,520.92,1344312
2021-10-11,NVDA,518.96,519.43,516.59,516.6,516.77,3311228
2021-10-12,NVDA,506.85,509.83,500.76,507.84,506.82,4175830
2021-10-13,NVDA,512.34,509.6,507.8,508.53,508.11,3789840
2021-10-14,NVDA,503.68,505.31,497.66,501.94,502.97,5414892
2021-10-15,NVDA,504.02,504.18,498.12,503.7,503.4,4536956
2021-10-18,NVDA,488.15,488.04,482.53,485.48,486.09,1997186
2021-10-19,NVDA,489.62,483.97,481.85,483.36,483.07,1968149
2021-10-20,NVDA,467.85,471.62,469.93,470.6,470.47,3821782
2021-10-21,NVDA,461.66,466.19,457.46,463.52,463.76,5364172
2021-10-22,NVDA,471.9,467.5,462.14,465.65,465.69,3512044
2021-10-25,NVDA,448.4,452.96,440.49,447.44,447.61,1485160
2021-10-26,NVDA,439.11,439.9,438.45,438.69,438.33,1936541
2021-10-27,NVDA,445.11,450.67,441.23,445.37,444.86,4619319
2021-10-28,NVDA,432.68,431.37,429.08,430.08,429.7,2746059
2021-10-29,NVDA,455.49,451.05,443.71,449.62,449.38,3467618
2021-11-01,NVDA,462.07,463.81,454.35,463.61,463.51,5568905
2021-11-02,NVDA,458.12,461.73,457.48,458.34,458.82,1792094
2021-11-03,NVDA,448.99,450.62,442.38,449.78,449.82,2657452
2021-11-04,NVDA,454.16,454.56,448.18,452.5,452.72,2516963
2021-11-05,NVDA,439.25,441.41,430.79,436.58,436.64,3904738
2021-11-08,NVDA,418.53,417.37,415.14,415.16,414.7,4811137
2021-11-09,NVDA,412.39,414.47,408.61,410.81,410.82,1559485
2021-11-10,NVDA,415.01,414.38,405.64,409.85,409.9,3259980
2021-11-11,NVDA,410.04,413.55,406.71,411.22,411.54,5048817
2021-11-12,NVDA,403.62,410.38,402.04,405.32,404.88,1293169
2021-11-15,NVDA,421.7,418.74,416.48,418.63,417.78,3165443
2021-11-16,NVDA,403.65,404.22,403.13,403.4,403.47,1779971
2021-11-17,NVDA,389.63,394.27,390.33,392.32,392.46,2371934
2021-11-18,NVDA,396.86,398.06,396.92,397.49,397.42,934234
2021-11-19,NVDA,386.84,389.32,382.63,386.34,386.35,6559120
2021-11-22,NVDA,373.92,376.86,371.56,375.14,375.47,2736213
2021-11-23,NVDA,374.76,377.31,372.65,376.67,376.5,2183422
2021-11-24,NVDA,366.74,368.01,366.12,367.12,367.02,3852117
2021-11-25,NVDA,364.32,370.53,360.16,366.27,366.3,1941254
2021-11-26,NVDA,361.37,361.15,359.75,360.23,359.79,1851261
2021-11-29,NVDA,349.4,357.18,350.7,352.83,352.77,6956343
2021-11-30,NVDA,334.79,339.9,330.24,334.64,334.62,8075388
2021-12-01,NVDA,337.01,337.36,334.74,336.14,336.69,2431376
2021-12-02,NVDA,325.85,328.47,325.96,325.99,325.9,5574300
2021-12-03,NVDA,326.73,327.12,324.19,324.95,325.01,3905983
2021-12-06,NVDA,318.91,325.39,320.22,321.11,321.41,1612158
2021-12-07,NVDA,318.66,321.5,316.03,319.78,319.51,2055303
2021-12-08,NVDA,318.37,323.14,318.73,318.9,319.34,7099606
2021-12-09,NVDA,321.91,322.16,315.46,320.76,321.33,1601742
2021-12-10,NVDA,315.59,317.29,314.51,315.25,315.24,10226568
2021-12-13,NVDA,328.84,326.46,323.92,325.36,325.18,2456673
2021-12-14,NVDA,309.4,314.03,310.24,310.66,311.16,7205876
2021-12-15,NVDA,307.05,311.51,307.48,309.21,309.45,2805852
2021-12-16,NVDA,318.81,316.72,311.22,315.98,316.01,4876565
2021-12-17,NVDA,317.77,325.46,318.89,320.06,320.52,6566664
2021-12-20,NVDA,313.65,313.34,309.67,312.58,313.0,6550008
2021-12-21,NVDA,305.08,311.23,302.71,306.58,306.48,2440753
2021-12-22,NVDA,296.07,299.71,291.87,299.17,299.24,2129304
2021-12-23,NVDA,303.38,308.47,298.81,303.95,304.13,3138934
2021-12-24,NVDA,299.97,300.45,295.06,298.63,298.64,1706167
2021-12-27,NVDA,299.0,302.73,299.61,300.83,300.42,3684450
2021-12-28,NVDA,304.0,309.61,303.05,303.12,302.84,2168620
