Date,ticker,open,high,low,close,adj_close,volume
2021-08-13,QQQ,375.43,383.45,374.64,375.74,376.12,3448432
2021-08-16,QQQ,369.43,370.41,360.68,368.98,368.2,6528899
2021-08-17,QQQ,366.01,371.04,363.62,366.5,366.25,4436273
2021-08-18,QQQ,364.82,369.19,365.33,366.42,366.23,7181234
2021-08-19,QQQ,373.33,374.24,373.39,374.09,373.89,2423791
2021-08-20,QQQ,365.56,368.46,366.77,367.77,367.96,3082920
2021-08-23,QQQ,369.92,371.84,367.67,369.21,369.42,3120579
2021-08-24,QQQ,367.29,373.44,366.88,367.85,367.83,3688058
2021-08-25,QQQ,366.59,372.38,362.37,366.78,366.76,4798055
2021-08-26,QQQ,380.73,381.0,373.91,375.43,376.35,7394040
2021-08-27,QQQ,375.32,377.8,375.5,376.08,376.2,8213971
2021-08-30,QQQ,371.69,373.43,370.65,371.11,370.29,7521569
2021-08-31,QQQ,376.14,378.75,375.49,376.24,376.53,4567792
2021-09-01,QQQ,383.24,385.14,377.86,381.03,381.25,2754891
2021-09-02,QQQ,375.95,376.77,374.72,375.5,375.94,3659910
2021-09-03,QQQ,368.47,369.8,366.44,368.97,369.19,4536273
2021-09-06,QQQ,375.68,371.87,371.1,371.43,371.09,3497412
2021-09-07,QQQ,369.83,373.59,369.85,371.43,371.76,2070090
2021-09-08,QQQ,368.63,371.76,367.93,368.99,369.03,2594265
2021-09-09,QQQ,376.74,375.63,372.58,375.02,375.42,5045569
2021-09-10,QQQ,370.36,375.47,367.79,371.88,372.45,2889949
2021-09-13,QQQ,375.85,380.29,371.36,374.42,374.37,3308768
2021-09-14,QQQ,380.29,385.44,375.08,381.2,381.53,3143317
2021-09-15,QQQ,381.36,381.37,379.32,379.45,379.84,2092563
2021-09-16,QQQ,371.03,372.86,366.05,369.23,369.29,3000725
2021-09-17,QQQ,367.02,371.52,362.29,367.18,367.9,2600180
2021-09-20,QQQ,366.57,371.04,362.7,368.41,368.79,2313093
2021-09-21,QQQ,373.4,376.1,371.55,374.14,373.92,1925787
