Date,ticker,open,high,low,close,adj_close,volume
2021-08-13,SMH,248.88,252.65,245.38,250.62,250.73,2451382
2021-08-16,SMH,247.73,252.58,242.02,247.48,247.44,2429080
2021-08-17,SMH,244.67,246.43,240.84,243.59,243.56,2381289
2021-08-18,SMH,236.6,239.06,235.86,236.93,237.04,2802497
2021-08-19,SMH,243.47,244.6,244.07,244.28,244.88,3164840
2021-08-20,SMH,242.96,244.35,242.18,243.36,243.12,4789467
2021-08-23,SMH,229.47,227.33,225.69,226.85,226.86,2892187
2021-08-24,SMH,230.17,229.05,226.85,228.81,228.54,3847793
2021-08-25,SMH,231.53,233.55,229.44,230.69,230.68,3281350
2021-08-26,SMH,222.59,224.22,221.23,222.24,222.09,4283540
2021-08-27,SMH,218.68,220.87,215.52,218.69,218.67,3346205
2021-08-30,SMH,214.04,216.3,213.42,215.01,215.05,2365710
2021-08-31,SMH,210.85,212.19,209.36,211.97,211.87,2065535
2021-09-01,SMH,216.65,220.51,216.58,217.26,216.88,3631349
2021-09-02,SMH,215.73,218.63,215.42,216.77,217.08,6179137
2021-09-03,SMH,214.41,217.91,210.9,215.07,215.25,2915167
2021-09-06,SMH,219.93,222.06,219.89,220.05,220.02,2302643
2021-09-07,SMH,222.35,224.74,221.54,222.38,222.18,2876010
2021-09-08,SMH,214.13,216.97,214.15,214.79,214.81,2468948
2021-09-09,SMH,212.82,212.32,210.65,212.29,212.37,2341985
2021-09-10,SMH,213.61,215.0,211.15,213.81,213.97,1588344
2021-09-13,SMH,210.19,213.33,208.64,209.97,210.15,2892974
2021-09-14,SMH,217.82,218.79,215.77,218.64,218.87,3678032
2021-09-15,SMH,220.04,220.08,217.19,219.28,218.9,1903201
2021-09-16,SMH,215.55,218.1,214.6,216.13,216.07,2107114
2021-09-17,SMH,213.13,214.56,208.89,211.43,211.64,2034923
2021-09-20,SMH,215.26,220.95,215.4,215.5,215.3,1634195
2021-09-21,SMH,212.76,215.32,211.65,212.86,213.12,2027276
2021-09-22,SMH,215.26,216.42,213.55,214.62,215.01,2961101
2021-09-23,SMH,210.68,211.65,209.81,209.83,210.08,1671063
2021-09-24,SMH,211.24,210.37,208.16,210.27,210.41,3051759
2021-09-27,SMH,209.59,210.16,207.41,207.75,207.65,2299647
2021-09-28,SMH,207.26,207.84,204.95,206.58,206.64,2054429
2021-09-29,SMH,203.37,204.27,202.48,203.44,203.16,3947544
2021-09-30,SMH,207.2,209.99,205.93,207.75,207.59,2373644
2021-10-01,SMH,205.72,208.02,204.05,205.86,205.71,2584371
2021-10-04,SMH,206.93,208.97,204.48,205.41,205.42,6255698
2021-10-05,SMH,203.74,205.99,202.42,205.16,205.08,2063619
2021-10-06,SMH,211.05,213.9,210.83,211.92,211.98,7152248
2021-10-07,SMH,215.61,215.92,212.58,215.84,216.03,2747232
2021-10-08,SMH,218.5,219.81,219.34,219.41,219.25,1852288
2021-10-11,SMH,212.2,214.64,211.01,212.64,212.67,2478157
2021-10-12,SMH,211.89,213.19,205.97,210.0,209.91,3383385
2021-10-13,SMH,214.81,220.59,213.13,215.13,215.18,6121097
2021-10-14,SMH,210.68,210.35,208.22,210.25,210.39,4873936
2021-10-15,SMH,209.0,214.59,208.16,210.75,210.94,3375160
2021-10-18,SMH,205.27,208.81,205.04,206.4,206.54,6137806
2021-10-19,SMH,203.51,203.22,202.3,202.57,202.65,1276307
2021-10-20,SMH,211.26,209.9,207.77,209.52,209.22,3703247
2021-10-21,SMH,212.91,213.0,212.04,212.68,212.45,3816979
2021-10-22,SMH,216.68,221.01,214.43,217.01,216.83,3840339
2021-10-25,SMH,221.11,222.39,215.27,220.56,220.64,1461427
2021-10-26,SMH,217.24,221.88,218.85,220.1,219.82,1966063
2021-10-27,SMH,217.46,217.98,214.85,217.21,217.28,3007930
2021-10-28,SMH,214.49,217.35,214.69,215.62,215.67,5708094
2021-10-29,SMH,215.79,217.47,213.95,214.94,214.52,8517489
2021-11-01,SMH,220.29,223.83,222.32,222.73,222.48,2344968
2021-11-02,SMH,216.25,219.85,213.26,216.93,217.16,1698195
2021-11-03,SMH,214.64,216.52,213.81,214.68,214.83,4915385
