Date,ticker,open,high,low,close,adj_close,volume
2021-08-13,TSM,150.44,154.18,150.18,151.89,151.83,2520654
2021-08-16,TSM,152.37,154.55,151.88,152.48,152.54,5448382
2021-08-17,TSM,155.69,155.89,154.3,155.32,155.43,3367992
2021-08-18,TSM,155.44,158.25,155.08,155.41,155.3,3013067
2021-08-19,TSM,150.93,151.93,149.57,150.64,150.58,4770957
2021-08-20,TSM,149.22,150.07,149.71,149.76,149.98,2505658
2021-08-23,TSM,148.86,150.11,148.22,149.31,149.49,2832433
2021-08-24,TSM,151.29,152.24,149.84,151.4,151.43,4570273
2021-08-25,TSM,145.02,146.11,145.15,145.85,145.52,3218101
2021-08-26,TSM,146.01,148.09,145.13,146.04,146.41,8489903
2021-08-27,TSM,147.19,148.15,147.2,147.48,147.48,4624656
2021-08-30,TSM,145.47,146.99,143.82,145.81,145.77,4476745
2021-08-31,TSM,146.33,150.12,145.72,146.1,146.02,3189094
2021-09-01,TSM,143.22,144.65,144.1,144.54,144.59,5062532
2021-09-02,TSM,142.56,143.55,141.78,142.72,142.78,2782043
2021-09-03,TSM,143.4,143.76,141.57,141.76,141.9,3764738
2021-09-06,TSM,139.27,140.69,139.91,140.03,139.9,2067505
2021-09-07,TSM,142.75,144.2,138.26,141.84,141.8,5497042
2021-09-08,TSM,140.09,141.27,140.02,140.05,140.33,3780256
2021-09-09,TSM,137.44,139.83,135.34,137.86,137.89,8808753
2021-09-10,TSM,141.39,142.61,140.59,142.33,142.3,10811805
2021-09-13,TSM,144.97,146.74,142.94,144.87,144.74,4788174
2021-09-14,TSM,141.12,142.77,138.64,140.11,140.18,3382794
2021-09-15,TSM,137.99,139.83,137.5,138.26,138.4,2036957
2021-09-16,TSM,138.89,140.72,138.27,138.95,139.07,5139029
2021-09-17,TSM,140.55,141.81,138.91,139.84,139.8,3631448
2021-09-20,TSM,136.4,137.6,135.87,136.17,136.22,4278090
2021-09-21,TSM,138.0,140.21,136.45,139.09,139.33,7763110
2021-09-22,TSM,141.31,141.95,141.13,141.24,141.39,2164691
2021-09-23,TSM,143.63,142.6,142.1,142.55,142.44,2059240
2021-09-24,TSM,146.09,146.36,145.64,146.12,145.75,2904544
2021-09-27,TSM,145.38,147.61,147.31,147.4,147.44,4928772
2021-09-28,TSM,148.96,149.55,148.39,148.68,148.79,4314248
2021-09-29,TSM,152.78,153.96,151.76,152.93,152.77,2088915
2021-09-30,TSM,154.63,157.76,153.6,156.06,156.06,4772001
2021-10-01,TSM,152.5,156.59,153.41,153.79,153.75,1792987
2021-10-04,TSM,156.39,155.67,153.28,155.63,155.65,2150324
2021-10-05,TSM,153.3,154.67,151.68,153.86,153.78,3085645
2021-10-06,TSM,154.65,156.31,154.03,155.35,155.55,2478798
2021-10-07,TSM,156.75,158.57,155.94,156.78,156.8,5100911
2021-10-08,TSM,152.48,154.01,150.44,152.97,152.83,3772276
2021-10-11,TSM,152.8,154.25,149.8,152.73,152.87,7903218
2021-10-12,TSM,153.39,153.74,153.35,153.55,153.35,2888960
2021-10-13,TSM,151.52,154.27,150.95,152.43,152.63,3075256
2021-10-14,TSM,153.0,155.67,152.97,153.39,153.54,5987540
2021-10-15,TSM,156.05,155.78,150.88,155.7,155.92,3123733
2021-10-18,TSM,155.74,157.49,153.27,155.71,155.69,6899797
2021-10-19,TSM,156.37,158.2,155.7,156.43,156.36,4284070
2021-10-20,TSM,161.98,160.6,158.16,160.42,160.44,1008129
2021-10-21,TSM,162.48,165.14,161.68,161.89,161.87,5890109
2021-10-22,TSM,163.26,162.74,160.61,162.57,162.46,5159567
2021-10-25,TSM,159.73,160.08,159.69,159.86,159.77,5260130
2021-10-26,TSM,162.07,166.05,158.73,161.89,161.83,1257342
2021-10-27,TSM,162.6,163.68,161.94,162.95,162.76,2346663
2021-10-28,TSM,167.46,168.23,164.77,166.81,166.93,2435463
2021-10-29,TSM,166.96,169.67,166.41,167.05,167.04,2146693
2021-11-01,TSM,161.87,163.03,161.47,161.69,161.64,7810357
2021-11-02,TSM,156.97,157.57,156.58,156.84,156.67,3249839
2021-11-03,TSM,159.0,160.68,158.72,159.01,158.83,3209801
2021-11-04,TSM,159.79,157.49,157.42,157.48,157.78,4308085
2021-11-05,TSM,158.28,162.43,157.59,158.81,158.71,4345497
2021-11-08,TSM,158.69,159.62,157.27,159.23,159.33,616956
2021-11-09,TSM,159.4,160.06,157.55,158.85,158.87,2366260
2021-11-10,TSM,158.19,160.17,158.18,158.67,158.23,1612998
2021-11-11,TSM,156.06,156.69,154.88,156.29,156.57,3993397
2021-11-12,TSM,155.49,158.15,154.12,156.34,156.45,2829339
2021-11-15,TSM,155.17,158.77,151.74,154.79,154.67,3294265
2021-11-16,TSM,154.23,155.42,153.5,153.84,153.84,1156304
2021-11-17,TSM,152.8,153.05,152.28,153.04,152.86,2799842
2021-11-18,TSM,153.05,154.94,151.41,152.51,152.79,5709061
2021-11-19,TSM,153.69,156.46,154.23,155.13,154.99,6614169
2021-11-22,TSM,154.31,155.41,153.68,154.86,154.78,4682916
2021-11-23,TSM,157.67,157.94,156.44,157.81,157.69,1676581
2021-11-24,TSM,161.32,163.19,161.15,162.27,162.28,6136106
2021-11-25,TSM,163.42,166.46,162.92,164.87,165.09,4694964
2021-11-26,TSM,166.29,167.09,166.11,166.55,166.85,3082974
2021-11-29,TSM,168.21,169.48,166.11,167.63,167.56,1187643
2021-11-30,TSM,171.43,170.85,167.86,170.34,170.41,5266083
2021-12-01,TSM,170.25,172.42,169.23,170.72,170.73,2431251
2021-12-02,TSM,174.48,173.96,172.94,173.85,173.68,3886746
2021-12-03,TSM,176.43,176.23,175.54,175.87,176.3,3382741
2021-12-06,TSM,175.9,176.94,172.2,174.84,175.08,7054649
2021-12-07,TSM,177.45,180.14,176.44,177.76,177.8,3070394
2021-12-08,TSM,176.56,178.96,176.82,178.16,178.44,3244407
2021-12-09,TSM,177.99,178.65,173.33,177.93,178.14,7197956
2021-12-10,TSM,175.62,176.8,173.02,176.51,176.52,2352264
2021-12-13,TSM,176.5,177.78,176.79,177.14,177.2,4911851
2021-12-14,TSM,180.16,183.17,179.68,180.43,180.7,2959977
2021-12-15,TSM,183.11,185.74,182.29,183.42,183.25,1980240
2021-12-16,TSM,184.83,186.98,183.13,184.7,185.01,3270915
2021-12-17,TSM,187.46,187.8,185.18,186.8,186.76,4619756
2021-12-20,TSM,190.84,192.82,190.9,191.19,191.48,6432378
2021-12-21,TSM,191.17,191.94,189.79,190.79,190.79,6833496
2021-12-22,TSM,187.09,187.15,184.79,187.07,187.14,2821045
2021-12-23,TSM,192.46,193.75,190.27,191.57,191.56,1995440
2021-12-24,TSM,189.68,191.15,189.19,189.86,189.76,2787429
2021-12-27,TSM,187.54,188.58,185.84,187.61,187.56,1810719
2021-12-28,TSM,181.32,182.16,179.79,181.66,181.91,2932327
2021-12-29,TSM,183.49,186.76,183.51,183.63,183.21,2755659
2021-12-30,TSM,177.69,179.61,175.13,178.39,178.16,4703159
2021-12-31,TSM,175.31,177.89,174.17,176.08,175.96,1084936
2022-01-03,TSM,178.74,178.25,177.37,178.05,177.86,2265250
2022-01-04,TSM,179.5,182.34,178.69,180.47,180.75,2274431
2022-01-05,TSM,178.18,181.05,177.49,178.47,178.69,5918322
2022-01-06,TSM,179.05,180.73,177.26,178.14,178.25,1873048
2022-01-07,TSM,175.14,175.75,174.43,175.45,175.34,3661299
2022-01-10,TSM,174.54,175.1,172.39,173.82,174.06,3066157
2022-01-11,TSM,174.24,177.56,174.38,174.76,174.48,5506948
2022-01-12,TSM,172.38,174.51,172.53,173.29,173.66,4403525
2022-01-13,TSM,171.25,172.93,170.49,172.63,172.51,3473321
2022-01-14,TSM,169.29,168.47,167.64,168.18,168.14,2477267
2022-01-17,TSM,170.74,173.26,169.07,171.71,171.64,1294750
2022-01-18,TSM,174.04,173.95,171.81,173.39,173.21,3698888
2022-01-19,TSM,175.09,176.83,175.05,175.97,176.31,4261982
2022-01-20,TSM,181.35,180.35,177.83,180.16,180.31,1487438
2022-01-21,TSM,179.56,178.78,177.13,177.6,177.81,1764103
2022-01-24,TSM,175.07,179.27,175.86,176.56,176.34,3708599
2022-01-25,TSM,169.72,175.3,170.17,170.64,170.67,3873119
2022-01-26,TSM,181.09,182.85,178.38,180.39,180.48,1992053
2022-01-27,TSM,180.47,180.34,179.19,180.01,180.06,2453356
2022-01-28,TSM,184.2,186.74,180.14,183.49,183.27,1305054
2022-01-31,TSM,178.99,183.09,177.56,179.51,179.7,6508580
2022-02-01,TSM,184.65,183.01,181.88,182.83,182.86,1706683
2022-02-02,TSM,189.17,189.39,187.12,189.06,188.88,4287136
2022-02-03,TSM,187.81,191.35,188.62,188.96,188.61,3212370
2022-02-04,TSM,185.4,186.38,185.51,185.64,185.75,6229438
2022-02-07,TSM,184.17,185.56,184.0,185.29,185.74,2199791
2022-02-08,TSM,179.39,179.66,176.84,177.97,177.79,3370684
2022-02-09,TSM,177.37,180.62,177.66,177.96,177.99,1398326
2022-02-10,TSM,181.14,182.37,180.48,180.69,180.89,1240142
2022-02-11,TSM,180.26,182.94,179.38,180.69,180.46,4404629
2022-02-14,TSM,179.32,179.94,178.33,179.87,179.78,1339071
2022-02-15,TSM,179.95,181.95,178.61,181.69,181.53,2916489
2022-02-16,TSM,184.32,184.41,180.01,183.77,183.95,5420224
2022-02-17,TSM,179.55,179.77,175.79,178.39,178.63,4748514
2022-02-18,TSM,177.96,180.27,178.7,178.78,178.81,2344791
2022-02-21,TSM,185.29,187.08,184.86,186.73,186.57,1477332
2022-02-22,TSM,183.09,182.87,181.69,182.35,182.27,4217476
2022-02-23,TSM,180.68,184.91,181.55,182.18,182.07,6395648
2022-02-24,TSM,189.81,190.42,187.61,188.66,188.48,2347545
2022-02-25,TSM,191.65,192.66,190.96,192.52,192.5,2187661
2022-02-28,TSM,189.81,193.97,190.23,190.86,190.97,2514410
2022-03-01,TSM,191.92,192.34,189.7,191.68,191.78,4350513
2022-03-02,TSM,190.79,193.13,189.71,191.79,191.79,6042079
2022-03-03,TSM,188.65,194.54,189.31,189.32,189.33,1758895
2022-03-04,TSM,189.52,189.66,187.6,189.18,189.17,1545501
2022-03-07,TSM,186.05,189.13,186.47,188.34,188.1,10532730
2022-03-08,TSM,190.39,189.25,187.97,188.84,188.87,2991658
2022-03-09,TSM,186.45,188.1,185.67,186.41,186.3,3709643
2022-03-10,TSM,181.06,182.51,180.6,182.24,181.99,2312950
2022-03-11,TSM,181.28,184.75,180.99,182.21,182.28,4176487
2022-03-14,TSM,188.88,188.78,184.65,187.94,187.83,5283136
2022-03-15,TSM,188.9,190.15,188.18,188.33,188.38,3797669
2022-03-16,TSM,188.62,188.83,184.44,187.32,187.48,7806201
2022-03-17,TSM,189.33,191.42,187.71,189.98,189.8,2776294
2022-03-18,TSM,189.83,189.55,189.47,189.55,189.57,2866375
