index,Date,ticker,Open,High,Low,Close,adj_close,Volume,Main_Price
0,2021-08-13,NVDA,497.43,502.13,498.64,499.96,499.55,5653594,499.55
1,2021-08-16,NVDA,503.98,508.1,503.75,504.24,504.65,8594191,504.65
2,2021-08-17,NVDA,496.64,498.53,493.3,498.05,497.67,3541014,497.67
3,2021-08-18,NVDA,490.1,498.16,488.79,491.84,492.01,3022209,492.01
4,2021-08-19,NVDA,487.89,490.42,483.28,487.53,487.01,1864067,487.01
5,2021-08-20,NVDA,504.49,510.87,504.44,505.28,505.67,1588349,505.67
6,2021-08-23,NVDA,503.85,506.25,504.18,505.75,505.13,1346491,505.13
7,2021-08-24,NVDA,493.41,498.43,494.0,494.02,494.15,2195845,494.15
8,2021-08-25,NVDA,484.01,489.78,482.67,482.68,482.59,1149195,482.59
9,2021-08-26,NVDA,482.43,480.99,477.2,480.14,480.19,5606375,480.19
10,2021-08-27,NVDA,479.6,484.47,482.62,483.47,483.28,4039163,483.28
11,2021-08-30,NVDA,489.06,491.28,483.78,489.81,489.6,2882532,489.6
12,2021-08-31,NVDA,491.47,495.81,490.63,491.82,491.89,5692681,491.89
13,2021-09-01,NVDA,479.11,486.55,477.95,481.96,481.47,1913456,481.47
14,2021-09-02,NVDA,477.04,481.36,475.1,477.33,476.85,2169504,476.85
15,2021-09-03,NVDA,486.93,487.58,483.63,486.57,486.39,1243080,486.39
16,2021-09-06,NVDA,474.34,481.85,465.47,473.11,472.92,4814664,472.92
17,2021-09-07,NVDA,468.26,472.63,461.78,468.08,467.6,2179986,467.6
18,2021-09-08,NVDA,473.44,479.01,475.48,475.53,475.97,3294772,475.97
19,2021-09-09,NVDA,491.31,490.5,481.79,486.42,486.25,5396645,486.25
20,2021-09-10,NVDA,486.57,486.03,478.22,484.56,484.45,6487743,484.45
21,2021-09-13,NVDA,481.39,485.9,479.02,480.06,479.42,3221722,479.42
22,2021-09-14,NVDA,467.01,466.93,459.74,464.67,465.64,3961442,465.64
23,2021-09-15,NVDA,471.82,476.2,470.9,471.24,472.39,2080408,472.39
24,2021-09-16,NVDA,490.39,491.13,479.79,487.25,486.87,7585026,486.87
25,2021-09-17,NVDA,519.13,522.85,518.94,518.99,519.62,3008417,519.62
26,2021-09-20,NVDA,524.52,528.93,521.27,524.52,524.47,3402913,524.47
27,2021-09-21,NVDA,526.04,527.38,519.56,524.38,525.22,2667289,525.22
