"def_priority","def_alias","def_alias_user_accept","def_alias_user_accept_draft","def_edge_review_required","def_edge_review_reason","def_path_value","def_selected_alias_value","def_selected_alias_value_draft","def_recommended_selected_alias_value","def_recommendation_reason","def_scope","def_mutate_existing_source","def_canonical_merge"
"P1_FORMAL_DRAFT","FUNCTIONAL_MODULES_DOWNLOADS","","YES","false","Clean active root alias.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","Active functional modules root.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","PYTHON_ENV_ONEDRIVE","","DEFER","true","Legacy/env path should stay under EnvManager or manual owner review.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs\via_operation_optimizer_2026\Scripts\python.exe","","","","OneDrive/Python env should be handled by EnvManager or legacy bridge, not promoted as active canonical root.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","SUPPORTIVE_MODULES_DOWNLOADS","","YES","false","Clean active root alias.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","Active supportive modules root.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","USER_DOWNLOADS","","YES_REFERENCE_ONLY","false","Reference root accepted as non-canonical module root.","C:\Users\tonyk\Downloads","","C:\Users\tonyk\Downloads","C:\Users\tonyk\Downloads","Useful reference root only; not module canonical root.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","VDF_DIR_DOWNLOADS","","YES","false","Clean active root alias.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","Active VDF module root.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","VIA_ROOT_DOWNLOADS","","YES","false","Clean active root alias.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","Accept only clean project root, not nested run path.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","VIA_ROOT_DOWNLOADS","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","","","","Reject run-specific path or launcher file path. Do not promote to canonical alias.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","VIA_ROOT_DOWNLOADS","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","","","","Reject run-specific path or launcher file path. Do not promote to canonical alias.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","VIA_ROOT_DOWNLOADS","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","","","","Reject run-specific path or launcher file path. Do not promote to canonical alias.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","VIA_ROOT_DOWNLOADS","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","","","","Reject run-specific path or launcher file path. Do not promote to canonical alias.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","VIA_ROOT_DOWNLOADS","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane3-EnvSupportiveHardGate.ps...","","","","Reject run-specific path or launcher file path. Do not promote to canonical alias.","future_generated_scripts_only","false","false"
"P1_FORMAL_DRAFT","VIA_ROOT_ONEDRIVE_LEGACY","","DEFER","true","Legacy/env path should stay under EnvManager or manual owner review.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics","","","","OneDrive/Python env should be handled by EnvManager or legacy bridge, not promoted as active canonical root.","future_generated_scripts_only","false","false"
