"def_priority","def_alias","def_alias_final_decision","def_alias_final_value","def_alias_draft_decision","def_edge_review_required","def_edge_review_reason","def_path_value","def_final_reason","def_scope","def_source_mutation","def_canonical_merge"
"P1_FORMAL_FINAL","FUNCTIONAL_MODULES_DOWNLOADS","YES","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","YES","false","Clean active root alias.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","PYTHON_ENV_ONEDRIVE","DEFER","","DEFER","true","Legacy/env path should stay under EnvManager or manual owner review.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs\via_operation_optimizer_2026\Scripts\python.exe","Edge alias decision retained as explicit DEFER by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","SUPPORTIVE_MODULES_DOWNLOADS","YES","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","YES","false","Clean active root alias.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","USER_DOWNLOADS","YES_REFERENCE_ONLY","C:\Users\tonyk\Downloads","YES_REFERENCE_ONLY","false","Reference root accepted as non-canonical module root.","C:\Users\tonyk\Downloads","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","VDF_DIR_DOWNLOADS","YES","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","YES","false","Clean active root alias.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","VIA_ROOT_DOWNLOADS","YES","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","YES","false","Clean active root alias.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","VIA_ROOT_DOWNLOADS","NO","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","VIA_ROOT_DOWNLOADS","NO","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","VIA_ROOT_DOWNLOADS","NO","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","VIA_ROOT_DOWNLOADS","NO","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","VIA_ROOT_DOWNLOADS","NO","","NO","false","Run-specific or launcher path rejected by policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane3-EnvSupportiveHardGate.ps...","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","false","false"
"P1_FORMAL_FINAL","VIA_ROOT_ONEDRIVE_LEGACY","DEFER","","DEFER","true","Legacy/env path should stay under EnvManager or manual owner review.","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics","Edge alias decision retained as explicit DEFER by user confirmation.","future_generated_scripts_only","false","false"
