"def_pack_layer","def_group_id","def_final_decision","def_final_value","def_apply_to_rows","def_owner_engine","def_domain_family","def_final_reason","def_sandbox_action","def_source_mutation","def_canonical_merge","def_db_write"
"P0_POLICY_PACK","P0::MARKET_TICKER_IDENTITY::VDF::ACCEPT_GROUP_POLICY_AFTER_REVIEW","YES","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","49","VDF","MARKET_TICKER_IDENTITY","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::SCHEMA_FIELD_CONTRACT::VRN_VDF::ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","YES","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","46","VRN/VDF","SCHEMA_FIELD_CONTRACT","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::DATA_SOURCE_CONTRACT::VDF::ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","YES","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","20","VDF","DATA_SOURCE_CONTRACT","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::DATA_SOURCE_CONTRACT::VDF::MASK_SECRET_AND_DEFER","YES","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","9","VDF","DATA_SOURCE_CONTRACT","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::GOVERNANCE_POLICY::VIA::ACCEPT_POLICY_OWNER_AFTER_REVIEW","YES","VIA_GOVERNANCE_POLICY_REGISTRY","8","VIA","GOVERNANCE_POLICY","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::MARKET_TICKER_IDENTITY::VDF::MASK_SECRET_AND_DEFER","YES","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","6","VDF","MARKET_TICKER_IDENTITY","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::SCHEMA_FIELD_CONTRACT::VRN_VDF::MASK_SECRET_AND_DEFER","YES","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","5","VRN/VDF","SCHEMA_FIELD_CONTRACT","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::DATA_SOURCE_CONTRACT::VDF::SECRET_REVIEW_BEFORE_ACCEPT","YES","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","2","VDF","DATA_SOURCE_CONTRACT","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::DOMAIN_GENERAL::VIA_REVIEW_BOARD::REVIEW","DEFER","","1","VIA_REVIEW_BOARD","DOMAIN_GENERAL","Edge decision retained as explicit DEFER by user confirmation.","EXCLUDE_OR_DEFER","false","false","false"
"P0_POLICY_PACK","P0::GOVERNANCE_POLICY::VDF::ACCEPT_POLICY_OWNER_AFTER_REVIEW","YES","VIA_GOVERNANCE_POLICY_REGISTRY","1","VDF","GOVERNANCE_POLICY","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::GOVERNANCE_POLICY::VDF::MASK_SECRET_AND_DEFER","YES","VIA_GOVERNANCE_POLICY_REGISTRY","1","VDF","GOVERNANCE_POLICY","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::GOVERNANCE_POLICY::VRN_VDF::ACCEPT_POLICY_OWNER_AFTER_REVIEW","YES","VIA_GOVERNANCE_POLICY_REGISTRY","1","VRN/VDF","GOVERNANCE_POLICY","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
"P0_POLICY_PACK","P0::MARKET_TICKER_IDENTITY::VDF::SECRET_REVIEW_BEFORE_ACCEPT","YES","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","1","VDF","MARKET_TICKER_IDENTITY","Promoted from safe draft YES by user confirmation.","INCLUDE_IN_SANDBOX_PATCH_CANDIDATE_INPUT","false","false","false"
