"def_pack_layer","def_row_preview_state","def_include_in_v0114_sandbox_input","def_group_final_decision","def_normalized_key","def_owner_engine","def_domain_family","def_final_canonical_value","def_source_mutation","def_canonical_merge","def_db_write"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","policy","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","unit","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","field","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","parsed_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","field_id","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","fields","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","tickers","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","yfinance","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","YFinanceTickerTPEX","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","YFinanceTickerTWSE","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","schema_first_12_json","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","tw_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
"ROW_POLICY_PACK","INCLUDED_IN_ROW_LEVEL_PREVIEW","true","YES","yfinance_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","false","false","false"
