"def_candidate_id","def_candidate_type","def_normalized_key","def_owner_engine","def_domain_family","def_candidate_canonical_value","def_patch_action","def_candidate_status","def_source_mutation","def_canonical_merge","def_db_write"
"ROWPATCH_0001","ROW_POLICY_PATCH_PLAN","ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0002","ROW_POLICY_PATCH_PLAN","policy","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0003","ROW_POLICY_PATCH_PLAN","unit","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0004","ROW_POLICY_PATCH_PLAN","field","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0005","ROW_POLICY_PATCH_PLAN","parsed_ticker","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0006","ROW_POLICY_PATCH_PLAN","schema","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0007","ROW_POLICY_PATCH_PLAN","field_id","VRN/VDF","SCHEMA_FIELD_CONTRACT","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0008","ROW_POLICY_PATCH_PLAN","fields","VDF","DATA_SOURCE_CONTRACT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0009","ROW_POLICY_PATCH_PLAN","tickers","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
"ROWPATCH_0010","ROW_POLICY_PATCH_PLAN","yfinance","VDF","MARKET_TICKER_IDENTITY","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","MAP_KEY_TO_POLICY_VALUE_IN_SANDBOX_PREVIEW","SANDBOX_CANDIDATE_ONLY","false","false","false"
