"def_plan_id","def_plan_layer","def_source_package_item_id","def_source_group","def_source_file","def_source_sha256","def_source_path","def_plan_action","def_future_gate_required","def_future_scope","def_apply_enabled","def_source_mutation","def_canonical_merge","def_db_write","def_delete","def_stop_process"
"APPLY_PLAN_DRAFT_0001","POLICY_REGISTRY_PLAN","PKG_0001","candidate","VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","5D2EE86E1154FCAD48502AF86C45C311A93BFAD07C3047B9CFA774F4B3CEBD1C","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0002","ALIAS_REGISTRY_PLAN","PKG_0002","candidate","VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","B084AF9AD793E02BFECA2712E4624AACC3AF7F27EC5D33E935C6DF6D8C3D169A","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0003","ROW_MAPPING_PLAN","PKG_0003","candidate","VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","1BF157614F2C0554266BEDD1AA6B9CEF99F469FC7130F6393FF7F6F8E283CFE7","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0004","PACKAGE_ARTIFACT_PLAN","PKG_0004","candidate","VIA_v0114A_SandboxPatchCandidate_Manifest.json","F14199717B27A93C158C8F6000B7378E00B2A27CA256618541FB8A35A1F10366","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_SandboxPatchCandidate_Manifest.json","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0005","DIFF_REVIEW_PLAN","PKG_0005","candidate","VIA_v0114A_DIFF_PREVIEW.csv","75A2A2ADF5A0E492D704CE69EE5A49BEB3BAB67778776138692654C891C4CA51","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_DIFF_PREVIEW.csv","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0006","REVIEW_EVIDENCE_PLAN","PKG_0006","review","VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","9FADDD4E8CD3CAE9F06FD161F02FFDA976E1A1E76AB11B2DE9B4454D082B80E9","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0007","REVIEW_EVIDENCE_PLAN","PKG_0007","review","VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","87A08C38D0E3FB5090A450AB77D7F8A6CDD0466069D46475388462C24F680EBC","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0008","REVIEW_EVIDENCE_PLAN","PKG_0008","review","VIA_v0114C_SIMULATED_ROW_MAPPING.csv","ADB959DB358188E6AD417BF93990EEEC2ABBD0C3CFFC5191C35429205EE405FD","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_ROW_MAPPING.csv","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0009","REVIEW_EVIDENCE_PLAN","PKG_0009","review","VIA_v0114C_DRYRUN_ACTION_PLAN.csv","1D3890FCC0611C2C6D93AA5B7748C52D1243A2D036B8F97D0EC24260799DE9DE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_DRYRUN_ACTION_PLAN.csv","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
"APPLY_PLAN_DRAFT_0010","REVIEW_EVIDENCE_PLAN","PKG_0010","review","VIA_v0114D_ReviewSeal.json","594952DB9A5D7E9C9295F6E4A67F5A0BADDFE1FF2C47CF98BC6BDEE86D9EDE62","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114D_ReviewSeal.json","DRAFT_ONLY_NO_APPLY","v0114J_EXPLICIT_FINAL_USER_APPROVAL_REQUIRED","FUTURE_APPLY_PLAN_REVIEW_ONLY_UNTIL_USER_ACCEPTS","false","false","false","false","false","false"
