"def_dryrun_id","def_source_execution_candidate_id","def_source_plan_id","def_plan_layer","def_source_file","def_source_path","def_source_exists","def_dryrun_action","def_dryrun_result","def_execution_enabled","def_apply_enabled","def_source_mutation","def_canonical_merge","def_db_write","def_delete","def_stop_process","def_next_gate_required"
"PRE_APPLY_DRYRUN_0001","EXEC_CANDIDATE_REVIEW_0001","APPLY_PLAN_DRAFT_0001","POLICY_REGISTRY_PLAN","VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0002","EXEC_CANDIDATE_REVIEW_0002","APPLY_PLAN_DRAFT_0002","ALIAS_REGISTRY_PLAN","VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0003","EXEC_CANDIDATE_REVIEW_0003","APPLY_PLAN_DRAFT_0003","ROW_MAPPING_PLAN","VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0004","EXEC_CANDIDATE_REVIEW_0004","APPLY_PLAN_DRAFT_0004","PACKAGE_ARTIFACT_PLAN","VIA_v0114A_SandboxPatchCandidate_Manifest.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_SandboxPatchCandidate_Manifest.json","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0005","EXEC_CANDIDATE_REVIEW_0005","APPLY_PLAN_DRAFT_0005","DIFF_REVIEW_PLAN","VIA_v0114A_DIFF_PREVIEW.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_DIFF_PREVIEW.csv","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0006","EXEC_CANDIDATE_REVIEW_0006","APPLY_PLAN_DRAFT_0006","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0007","EXEC_CANDIDATE_REVIEW_0007","APPLY_PLAN_DRAFT_0007","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0008","EXEC_CANDIDATE_REVIEW_0008","APPLY_PLAN_DRAFT_0008","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_ROW_MAPPING.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_ROW_MAPPING.csv","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0009","EXEC_CANDIDATE_REVIEW_0009","APPLY_PLAN_DRAFT_0009","REVIEW_EVIDENCE_PLAN","VIA_v0114C_DRYRUN_ACTION_PLAN.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_DRYRUN_ACTION_PLAN.csv","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
"PRE_APPLY_DRYRUN_0010","EXEC_CANDIDATE_REVIEW_0010","APPLY_PLAN_DRAFT_0010","REVIEW_EVIDENCE_PLAN","VIA_v0114D_ReviewSeal.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114D_ReviewSeal.json","True","SIMULATE_ONLY_NO_APPLY","WOULD_PREPARE_FOR_FINAL_AUTHORIZATION_REVIEW","false","false","false","false","false","false","false","v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY"
