"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114Q allow v0114R","PASS","LOW","Gate=READY_FOR_v0114R_FINAL_RELEASE_REVIEW_SEAL_ONLY",""
"UPSTREAM","v0114Q validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","execution disabled upstream","PASS","LOW","execution_enabled=false",""
"UPSTREAM","apply disabled upstream","PASS","LOW","apply_enabled=false",""
"COUNT","script seal rows 19","PASS","LOW","ScriptSealRows=19",""
"COUNT","release review rows 19","PASS","LOW","ReleaseReviewRows=19",""
"RELEASE_REVIEW","release review seal-only action","PASS","LOW","BadActionRows=0",""
"RELEASE_REVIEW","next package seal gate required","PASS","LOW","MissingNextGate=0",""
"HASH","hash ledger all declared items exist","PASS","LOW","MissingHashItems=0",""
"HASH","hash ledger non-directory hashes present","PASS","LOW","MissingHash=0",""
"SAFETY","no unsafe release review rows","PASS","LOW","UnsafeReleaseRows=0",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"APPLY_BOUNDARY","disabled boundary AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114R_final_release_review_seal_only\RUN_20260623_011931_VIA_v0114R_FINAL_RELEASE_REVIEW_SEAL_ONLY\_final_release_review_seal_only\Invoke-VIA-v0114R-DISABLED-FinalReleaseReviewBoundary.ps1"
