"def_release_package_seal_id","def_source_release_review_id","def_source_script_seal_id","def_plan_layer","def_source_file","def_release_review_result","def_package_seal_action","def_package_seal_result","def_next_gate_required","def_execution_enabled","def_apply_enabled","def_source_mutation","def_canonical_merge","def_db_write","def_delete","def_stop_process"
"FINAL_RELEASE_PACKAGE_SEAL_0001","FINAL_RELEASE_REVIEW_0001","FINAL_SCRIPT_SEAL_0001","POLICY_REGISTRY_PLAN","VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0002","FINAL_RELEASE_REVIEW_0002","FINAL_SCRIPT_SEAL_0002","ALIAS_REGISTRY_PLAN","VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0003","FINAL_RELEASE_REVIEW_0003","FINAL_SCRIPT_SEAL_0003","ROW_MAPPING_PLAN","VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0004","FINAL_RELEASE_REVIEW_0004","FINAL_SCRIPT_SEAL_0004","PACKAGE_ARTIFACT_PLAN","VIA_v0114A_SandboxPatchCandidate_Manifest.json","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0005","FINAL_RELEASE_REVIEW_0005","FINAL_SCRIPT_SEAL_0005","DIFF_REVIEW_PLAN","VIA_v0114A_DIFF_PREVIEW.csv","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0006","FINAL_RELEASE_REVIEW_0006","FINAL_SCRIPT_SEAL_0006","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0007","FINAL_RELEASE_REVIEW_0007","FINAL_SCRIPT_SEAL_0007","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0008","FINAL_RELEASE_REVIEW_0008","FINAL_SCRIPT_SEAL_0008","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_ROW_MAPPING.csv","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0009","FINAL_RELEASE_REVIEW_0009","FINAL_SCRIPT_SEAL_0009","REVIEW_EVIDENCE_PLAN","VIA_v0114C_DRYRUN_ACTION_PLAN.csv","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
"FINAL_RELEASE_PACKAGE_SEAL_0010","FINAL_RELEASE_REVIEW_0010","FINAL_SCRIPT_SEAL_0010","REVIEW_EVIDENCE_PLAN","VIA_v0114D_ReviewSeal.json","RELEASE_REVIEW_SEALED_NO_APPLY","FINAL_RELEASE_PACKAGE_SEAL_ONLY","PACKAGE_SEALED_NO_APPLY","v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY","false","false","false","false","false","false","false"
