rank,stock_id,name,industry,is_cyclical,date,revenue,prev_max_revenue,is_ath,ath_margin,ath_streak,months_since_prev_ath,ttm_revenue,is_ttm_ath,ttm_margin,ttm_yoy,yoy,base_revenue,base_pct,base_ratio,cagr_2y,n_months,g1_ath,g2_ttm_ath,g3_yoy,g4_base,g5_cagr,verdict,score,gates_passed
1,2455,模擬2455,居家生活,False,2026-05-01,171113306,153023074.0,True,11.82189817987842,16,1,1521725032.0,True,4.858786042370955,39.293966172255644,70.09,100601939,100.0,1.1014656272432966,46.89164844435476,48,True,True,True,True,True,真突破,96.3,5
2,9002,真突破乙,電子零組件業,False,2026-05-01,210407636,188539525.0,True,11.598687861338352,14,1,1897671001.0,True,4.629771865920862,39.779315192705255,66.41,126437427,100.0,1.1169178337877692,47.77793082309885,48,True,True,True,True,True,真突破,96.1,5
3,1977,模擬1977,電器電纜,False,2026-05-01,125354857,111917749.0,True,12.00623504320124,5,1,1128894969.0,True,4.8267147068899785,40.352686251859616,70.84,73375226,100.0,1.1127866327643519,49.50039846212386,48,True,True,True,True,True,真突破,94.9,5
4,2066,模擬2066,化學生技醫療,False,2026-05-01,94997790,86568784.0,True,9.736773015085909,12,1,861869165.0,True,4.7817744704867104,39.812651514343614,70.66,55665912,97.22222222222221,1.0706864396538291,48.34390615558601,48,True,True,True,True,True,真突破,94.4,5
5,2211,模擬2211,其他業,False,2026-05-01,16067231,14671919.0,True,9.510085217891406,6,1,147916019.0,True,4.543262773637102,39.289145757508706,66.69,9639066,100.0,1.0766572116802042,45.59120566529493,48,True,True,True,True,True,真突破,93.8,5
6,2284,模擬2284,貿易百貨業,False,2026-05-01,236379522,216547926.0,True,9.158063236311031,12,1,2111616197.0,True,5.134703589911083,41.38101469188753,77.4,133249700,97.22222222222221,1.0448441779398812,49.58001834236774,48,True,True,True,True,True,真突破,93.3,5
7,1082,模擬1082,綜合,False,2026-05-01,252969692,231815239.0,True,9.125566158314546,6,1,2342750405.0,True,4.565492741798516,39.82652168866514,67.88,150681550,94.44444444444444,1.0869646567028808,47.15494811247814,48,True,True,True,True,True,真突破,93.1,5
8,1905,模擬1905,農業科技業,False,2026-05-01,166338996,154598962.0,True,7.593863405111345,15,1,1521720874.0,True,4.550211646931968,39.53269232360122,66.15,100110990,100.0,1.1048486167917153,45.73878575800971,48,True,True,True,True,True,真突破,91.9,5
9,1682,模擬1682,資訊服務業,False,2026-05-01,176479574,164177163.0,True,7.493375311887918,6,1,1619584867.0,True,4.490515473226053,39.38303123745519,65.12,106877363,100.0,1.1114776112696045,45.99543451592054,48,True,True,True,True,True,真突破,91.8,5
10,2454,聯發科,半導體業,False,2026-05-01,49340573,45549279.0,True,8.323499478443996,10,1,452805980.0,True,4.690685120875204,39.71160037342616,69.83,29052519,94.44444444444444,1.0618906491474653,45.253091503784674,48,True,True,True,True,True,真突破,91.4,5
11,1455,模擬1455,運動休閒,False,2026-05-01,209186210,195160926.0,True,7.186522572658838,11,1,1911348831.0,True,4.716135877496974,39.11219141227396,69.93,123104149,97.22222222222221,1.0968817953451946,47.520782133200214,48,True,True,True,True,True,真突破,91.2,5
12,1760,模擬1760,綠能環保,False,2026-05-01,246279060,230376820.0,True,6.902708354078335,7,1,2284085860.0,True,4.235417300230115,38.3037493266839,60.47,153469370,100.0,1.126936502330656,44.88805936780062,48,True,True,True,True,True,真突破,90.6,5
13,1306,模擬1306,觀光事業,False,2026-05-01,232852951,213433777.0,True,9.098453990251043,5,1,2159703642.0,True,4.647550457205352,38.657321700692115,70.04,136937360,88.88888888888889,1.0527528647793944,46.88054182956123,48,True,True,True,True,True,真突破,89.9,5
14,3661,世芯-KY,半導體業,False,2026-05-01,31925969,29816930.0,True,7.073293595282948,13,1,296502860.0,True,4.499708401046321,40.09730124406856,66.64,19158695,100.0,1.0721702256683117,45.84032319185025,48,True,True,True,True,True,真突破,89.8,5
15,9001,真突破甲,半導體業,False,2026-05-01,244880971,229215380.0,True,6.8344414759602845,14,1,2277311820.0,True,4.383513843873832,39.83718516758821,64.08,149246828,100.0,1.0868638997477862,46.763225998503714,48,True,True,True,True,True,真突破,89.6,5
16,1231,模擬1231,半導體業,False,2026-05-01,79005864,74582610.0,True,5.930677405899321,6,1,726445345.0,True,4.511677090631316,39.1550570324368,65.82,47645858,100.0,1.092477025005098,46.54314482789539,48,True,True,True,True,True,真突破,88.8,5
17,3081,聯亞,光電業,False,2026-05-01,174826058,164876995.0,True,6.03423358122217,14,1,1627418612.0,True,4.4648591832884055,40.272172118265104,66.07,105269702,100.0,1.063193047826931,47.17366788701749,48,True,True,True,True,True,真突破,87.9,5
