rank,group,level,n_subgroups,is_cyclical,atypical,members,covered,group_score,agg_cum_yoy,agg_yoy,median_cum_yoy,median_yoy,breadth_pos,n_pref,n_warn,n_accel,n_leaders,leader_names,leader_score,leader_confirm,verdict
1,網通與通訊,parent,2,False,False,8,8,64.0,15.4,8.2,14.9,11.9,75.0,5,1,5,2,昇達科、智邦,62.3,False,族群加速
2,金融,parent,1,False,True,4,4,63.2,12.8,43.9,25.9,26.5,100.0,1,1,1,1,富邦金,54.4,False,族群加速
3,內需消費,parent,1,False,False,5,5,60.9,6.1,-3.2,14.6,8.5,60.0,2,1,2,2,雄獅、王品,66.5,True,分歧/中性
4,AI 伺服器,parent,7,False,False,32,32,58.4,17.9,18.0,15.9,16.2,84.0,17,6,11,9,鴻海、廣達、川湖、勤誠、新盛力、聯亞、雙鴻、奇鋐、健策,72.7,True,族群加速
5,車輛與電動車,parent,3,False,False,30,30,56.0,12.0,12.0,10.6,10.7,80.0,11,6,14,4,同致、為升、台達電、貿聯-KY,43.4,False,族群加速
6,半導體,parent,15,False,False,68,67,52.6,12.2,7.6,12.9,9.7,67.0,25,17,30,20,欣興、世芯-KY、創意、日月光投控、聯詠、聯發科、中砂、致茂、家登、崇越、帆宣、漢唐、台積電、旺矽、穎崴、環球晶、力旺、漢磊、穩懋、南亞科,62.8,True,族群加速
7,綠能與電力,parent,3,False,False,30,30,51.3,17.6,19.9,19.2,16.4,83.0,13,6,13,5,茂迪、聯合再生、華城、世紀鋼、上緯投控,85.1,True,族群加速
8,智造與國防,parent,3,False,False,14,14,48.4,12.7,11.7,9.9,16.6,79.0,4,4,3,4,上銀、亞德客-KY、安碁資訊、漢翔,70.2,True,族群加速
9,生技醫療,parent,2,False,False,15,15,46.3,4.3,-2.0,8.4,4.4,67.0,5,5,10,2,保瑞、藥華藥,67.2,True,分歧/中性
10,電子零組件,parent,4,False,False,17,17,33.0,4.6,14.7,6.0,11.5,82.0,5,5,9,5,台光電、臻鼎-KY、大立光、國巨、台達電,44.5,True,分歧/中性
11,原物料週期,parent,2,True,False,10,10,,30.1,-6.0,58.6,-25.3,40.0,0,0,2,2,豐興、中鋼,,,週期(改看價格/庫存)
12,航運運輸,parent,3,True,False,13,13,54.3,-1.5,-10.0,-13.8,-22.7,46.0,1,1,7,3,慧洋-KY、長榮航、長榮,54.3,,週期(改看價格/庫存)
