rank,stock_id,name,industry,is_cyclical,date,revenue,prev_max_revenue,is_ath,ath_margin,ath_streak,months_since_prev_ath,ttm_revenue,is_ttm_ath,ttm_margin,ttm_yoy,yoy,base_revenue,base_pct,base_ratio,cagr_2y,n_months,g1_ath,g2_ttm_ath,g3_yoy,g4_base,g5_cagr,verdict,score,gates_passed
1,1082,模擬1082,綜合,False,2026-05-01,45073131,40780217.0,True,10.526952321023696,14,1,408557014.0,True,4.6523718958745075,38.50366826371599,67.49,26910531,100.0,1.108051181484126,47.898484242929975,48,True,True,True,True,True,真突破,95.9,5
2,1306,模擬1306,觀光事業,False,2026-05-01,55609795,50744158.0,True,9.5885658404264,12,1,498097151.0,True,5.009693708773177,40.33685754885627,74.61,31847092,97.22222222222221,1.0799918381108204,49.29963782665203,48,True,True,True,True,True,真突破,95.1,5
3,1519,華城,電機機械,False,2026-05-01,38167636,34283942.0,True,11.328026397897894,5,1,340175861.0,True,4.853169085658426,39.874039300510944,70.22,22422466,100.0,1.104320783203365,49.11408505580024,48,True,True,True,True,True,真突破,94.7,5
4,9001,真突破甲,半導體業,False,2026-05-01,44886555,41062972.0,True,9.311510623244711,14,1,407377565.0,True,4.728141095567939,39.575566181143195,69.42,26494759,100.0,1.0788466981137357,48.0941585487314,48,True,True,True,True,True,真突破,94.1,5
5,1760,模擬1760,綠能環保,False,2026-05-01,71336470,65684553.0,True,8.604636466050097,13,1,647554328.0,True,4.509940388754763,38.97562755070911,64.4,43392416,100.0,1.1281767675266146,48.73846329002909,48,True,True,True,True,True,真突破,94.0,5
6,1455,模擬1455,運動休閒,False,2026-05-01,12598952,11733578.0,True,7.375192801377373,10,1,116239778.0,True,4.284201259634268,39.581821239078984,61.04,7823592,100.0,1.1396557518252706,47.6619615466153,48,True,True,True,True,True,真突破,91.9,5
7,1682,模擬1682,資訊服務業,False,2026-05-01,160201812,149271273.0,True,7.322600511352251,10,1,1470799270.0,True,4.623858114635793,39.73502323590896,68.28,95199744,97.22222222222221,1.0967124412476779,48.36726278265615,48,True,True,True,True,True,真突破,91.1,5
8,1905,模擬1905,農業科技業,False,2026-05-01,73212841,68552851.0,True,6.7976603919799095,9,1,673823566.0,True,4.548490010156203,41.492355200023056,66.78,43897451,100.0,1.1122977125447533,47.56913920387726,48,True,True,True,True,True,真突破,90.9,5
9,2139,模擬2139,食品工業,False,2026-05-01,224091697,208957043.0,True,7.242949930144249,6,1,2097116907.0,True,4.180719543090805,39.36906231465118,60.14,139935457,100.0,1.114962505340096,46.31853334013751,48,True,True,True,True,True,真突破,90.6,5
10,2370,模擬2370,電腦及週邊設備業,False,2026-05-01,52053749,48501895.0,True,7.323124178962481,5,1,475794456.0,True,4.345515000526801,38.1043454751282,61.46,32239079,100.0,1.1358990940452665,46.06145531482473,48,True,True,True,True,True,真突破,90.2,5
11,2454,聯發科,半導體業,False,2026-05-01,197139086,183730746.0,True,7.297820474750583,5,1,1790041402.0,True,4.613464672286116,38.406278436782394,66.79,118198074,100.0,1.092840747403192,47.530781823472125,48,True,True,True,True,True,真突破,89.5,5
12,2451,模擬2451,居家生活,False,2026-05-01,130757390,123173952.0,True,6.156689687118266,8,1,1212128941.0,True,4.317875310029851,39.051749136833735,62.26,80585532,100.0,1.1060934544865861,45.782559353967976,48,True,True,True,True,True,真突破,89.1,5
13,1384,模擬1384,光電業,False,2026-05-01,45585762,42606872.0,True,6.991571688247844,5,1,419605354.0,True,4.485540121583109,40.044669541016795,65.33,27572201,100.0,1.1024325589639385,47.444464696294176,48,True,True,True,True,True,真突破,89.0,5
14,1977,模擬1977,電器電纜,False,2026-05-01,123345824,116263001.0,True,6.092069651634047,14,1,1152424632.0,True,4.394431234149843,40.01230429628657,64.82,74835087,100.0,1.0993888530400215,45.074978571844085,48,True,True,True,True,True,真突破,89.0,5
15,9003,真突破丙,電機機械,False,2026-05-01,71462166,66477691.0,True,7.497966498264819,5,1,662554762.0,True,4.307770052792459,38.36185576725033,62.05,44099549,100.0,1.0955213053560497,48.379735965050564,48,True,True,True,True,True,真突破,89.0,5
16,2210,模擬2210,其他業,False,2026-05-01,10453736,9922274.0,True,5.356252004328854,13,1,96530167.0,True,4.4498208531233985,40.124608637420955,64.85,6341312,100.0,1.121725061396876,48.51891896961191,48,True,True,True,True,True,真突破,88.8,5
17,2283,模擬2283,貿易百貨業,False,2026-05-01,45201181,42685681.0,True,5.893076884494364,6,1,421042395.0,True,4.305121851033,37.8668199556411,62.46,27822947,100.0,1.1006389319474084,45.20427915296512,48,True,True,True,True,True,真突破,88.4,5
18,1608,模擬1608,生技醫療業,False,2026-05-01,230805403,217783797.0,True,5.9791436182922375,14,1,2158130288.0,True,4.38311173230479,38.838168728600905,64.64,140184171,100.0,1.0820069481643169,43.95456521304204,48,True,True,True,True,True,真突破,88.2,5
19,9002,真突破乙,電子零組件業,False,2026-05-01,92122650,87595075.0,True,5.16875520684239,6,1,848364227.0,True,4.41942631601171,39.77408231051647,63.87,56216657,100.0,1.109754845472451,46.802390851955124,48,True,True,True,True,True,真突破,88.0,5
20,3081,聯亞,光電業,False,2026-05-01,92558659,87091681.0,True,6.277267745010007,5,1,859436360.0,True,4.315047400808281,38.28102214422977,62.36,57007617,100.0,1.1106713894676596,45.40201999964564,48,True,True,True,True,True,真突破,87.7,5
21,2065,模擬2065,化學生技醫療,False,2026-05-01,123073939,117049281.0,True,5.1471123517623285,14,1,1117308118.0,True,4.682551223801568,39.34750039838404,68.37,73095672,100.0,1.0731098017009826,47.33137675315922,48,True,True,True,True,True,真突破,87.5,5
22,1531,模擬1531,電子零組件業,False,2026-05-01,57672035,54847675.0,True,5.1494616681563965,10,1,539982673.0,True,4.247817283760047,40.2404048552516,61.69,35669198,100.0,1.107920997896782,46.73407400263396,48,True,True,True,True,True,真突破,87.4,5
23,1231,模擬1231,半導體業,False,2026-05-01,209459664,199156695.0,True,5.173297839673419,5,1,1918895965.0,True,4.484955325356643,39.39164086236051,64.81,127092182,100.0,1.1124972790940595,47.5193034365305,48,True,True,True,True,True,真突破,86.6,5
24,1011,模擬1011,汽車工業,False,2026-05-01,223839538,216333788.0,True,3.469522754346621,5,1,2062930861.0,True,4.3583035617814625,38.86765582354676,62.57,137685599,100.0,1.1343715387802236,46.481088175030585,48,True,True,True,True,True,真突破,84.4,5
25,3661,世芯-KY,半導體業,False,2026-05-01,16788426,16292639.0,True,3.043012246205179,14,1,159583875.0,True,4.136970057622014,39.17652545493673,60.67,10448759,100.0,1.0801105647721292,44.85091387690896,48,True,True,True,True,True,真突破,83.0,5
26,6275,元山,電子零組件業,False,2026-05-01,5040824,4563041.0,True,10.470714595814501,1,18,45222357.0,True,3.8626867205981963,15.380439131086177,50.07,3358990,61.111111111111114,1.1265603233932004,35.41436580205284,48,True,True,True,True,True,真突破,72.1,5
27,1017,模擬1017,運動休閒,False,2026-05-01,172701229,172379411.0,True,0.1866916693432641,1,6,1642031223.0,True,3.4242233718991155,22.798010337933093,45.94,118335999,86.11111111111111,1.0496263559959722,49.40866717643855,48,True,True,True,True,True,真突破,58.7,5
28,3118,進階,生技醫療業,False,2026-05-01,155988800,154988217.0,True,0.645586496423789,1,7,1320167108.0,True,6.025883800564968,20.552886662759406,92.68,80958314,41.66666666666667,0.9060935821770769,63.3741766501476,48,True,True,True,True,True,真突破,57.3,5
29,2206,模擬2206,塑膠工業,True,2026-05-01,75068513,119185449.0,False,-37.01537089481452,0,41,894195349.0,False,-12.302276770468001,12.128647880700981,258.05,20966203,2.7777777777777777,0.2502673314089061,-3.8636914935469058,48,False,False,True,False,False,排除·週期股,,1
30,2322,模擬2322,橡膠工業,True,2026-05-01,88338011,127856432.0,False,-30.908434078623436,0,42,947651669.0,False,-8.363662201782896,9.29284158071284,246.4,25501487,2.7777777777777777,0.2957608637518257,1.6952200201101997,48,False,False,True,False,False,排除·週期股,,1
