category_id,via_code,series_id,name,region,sub_theme,freq,unit,source,transform
tw_index,,^TWII,TAIEX,,,,,,
tw_index,,^TWOII,TPEX Index,,,,,,
tw_etf_passive,,0050.TW,元大台灣50,,,,,,
tw_etf_passive,,0056.TW,元大高股息,,,,,,
tw_etf_passive,,006208.TW,富邦台50,,,,,,
tw_etf_passive,,00878.TW,國泰永續高股息,,,,,,
tw_etf_passive,,00919.TW,群益台灣精選高息,,,,,,
tw_etf_passive,,00929.TW,復華台灣科技優息,,,,,,
tw_etf_passive,,00940.TW,元大台灣價值高息,,,,,,
tw_etf_passive,,00713.TW,元大台灣高息低波,,,,,,
tw_etf_passive,,00923.TW,群益台ESG低碳50,,,,,,
tw_etf_passive,,00646.TW,元大S&P500,,,,,,
tw_etf_passive,,00631L.TW,元大台灣50正2,,,,,,
tw_etf_passive,,00632R.TW,元大台灣50反1,,,,,,
tw_etf_active,,00980A.TW,主動野村臺灣優選,,,,,,
tw_etf_active,,00981A.TW,主動統一台股增長,,,,,,
tw_etf_active,,00982A.TW,主動群益台灣強棒,,,,,,
tw_etf_active,,00983A.TW,主動中信ARK創新,,,,,,
tw_etf_active,,00984A.TW,主動安聯台灣高息,,,,,,
tw_etf_active,,00985A.TW,主動野村台灣50,,,,,,
tw_etf_active,,00987A.TW,主動台新優勢成長,,,,,,
tw_etf_active,,00988A.TW,主動統一全球創新,,,,,,
tw_etf_active,,00989A.TW,主動摩根美國科技,,,,,,
tw_etf_active,,00990A.TW,主動元大AI新經濟,,,,,,
tw_etf_active,,00991A.TW,主動復華未來50,,,,,,
tw_etf_active,,00992A.TW,主動群益科技創新,,,,,,
tw_etf_active,,00994A.TW,主動第一金台股優選,,,,,,
tw_etf_active,,00995A.TW,主動中信台灣卓越,,,,,,
tw_etf_active,,00997A.TW,主動群益美國增長,,,,,,
tw_etf_active,,00999A.TW,主動安聯台股趨勢,,,,,,
tw_etf_active,,00402A.TW,主動安聯美國科技領航,,,,,,
tw_etf_active,,00403A.TW,主動統一升級版0050,,,,,,
intl_stock,,AAPL,Apple,,,,,,
intl_stock,,MSFT,Microsoft,,,,,,
intl_stock,,NVDA,NVIDIA,,,,,,
intl_stock,,GOOGL,Alphabet A,,,,,,
intl_stock,,AMZN,Amazon,,,,,,
intl_stock,,META,Meta,,,,,,
intl_stock,,TSLA,Tesla,,,,,,
intl_stock,,BRK-B,Berkshire B,,,,,,
intl_stock,,AVGO,Broadcom,,,,,,
intl_stock,,ASML,ASML,,,,,,
intl_stock,,TSM,TSMC ADR,,,,,,
intl_stock,,JPM,JPMorgan,,,,,,
intl_stock,,V,Visa,,,,,,
intl_stock,,MA,Mastercard,,,,,,
intl_stock,,JNJ,J&J,,,,,,
intl_stock,,UNH,UnitedHealth,,,,,,
intl_stock,,WMT,Walmart,,,,,,
intl_stock,,XOM,ExxonMobil,,,,,,
intl_stock,,CVX,Chevron,,,,,,
intl_stock,,HD,Home Depot,,,,,,
