"Round","Category","Severity","RiskRank","FixMode","Target","Issue","Optimization","RecommendedAction","HydraRisk","CreatedAt"
"1","BASE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","VAP base exists. Files: 11948","Single active system confirmed","KEEP","LOW","2026-06-09T05:48:33+08:00"
"1","OLD_VHB","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","Old VHB folder absent","Post-integration state is clean","CONFIRMED_DELETED","LOW","2026-06-09T05:48:33+08:00"
"1","SCAN","INFO","4","PARALLEL","FileScan","No scan errors detected","Registry is healthy","KEEP","LOW","2026-06-09T05:48:33+08:00"
"1","HTML","INFO","4","PARALLEL","HTML_TEMPLATE","HTML templates detected: 261","HTML U/I assets are present","KEEP","LOW","2026-06-09T05:48:33+08:00"
"1","IMAGE","INFO","4","PARALLEL","IMAGE_OR_ICON","Images/icons detected: 10181","Visual grid can be maintained","KEEP","LOW","2026-06-09T05:48:33+08:00"
"1","DEDUPE","LOW","3","FINALIZE","SHA256","Duplicate groups detected: 1481","Only mark duplicates. Do not auto-delete.","MARK_REVIEW_ONLY","LOW","2026-06-09T05:48:33+08:00"
"1","ACTIVE_ENTRY","LOW","3","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1 not found","Create active entry for future one-click activation","CREATE_ACTIVE_ENTRY","LOW","2026-06-09T05:48:33+08:00"
"1","SSOT","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\CONFIG\VAP_VISUAL_SPEC_SSOT.json","SSOT exists","SSOT can be refreshed","REFRESH_SSOT","LOW","2026-06-09T05:48:33+08:00"
"2","BASE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","VAP base exists. Files: 11949","Single active system confirmed","KEEP","LOW","2026-06-09T05:48:47+08:00"
"2","OLD_VHB","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","Old VHB folder absent","Post-integration state is clean","CONFIRMED_DELETED","LOW","2026-06-09T05:48:47+08:00"
"2","SCAN","INFO","4","PARALLEL","FileScan","No scan errors detected","Registry is healthy","KEEP","LOW","2026-06-09T05:48:47+08:00"
"2","HTML","INFO","4","PARALLEL","HTML_TEMPLATE","HTML templates detected: 261","HTML U/I assets are present","KEEP","LOW","2026-06-09T05:48:47+08:00"
"2","IMAGE","INFO","4","PARALLEL","IMAGE_OR_ICON","Images/icons detected: 10181","Visual grid can be maintained","KEEP","LOW","2026-06-09T05:48:47+08:00"
"2","DEDUPE","LOW","3","FINALIZE","SHA256","Duplicate groups detected: 1481","Only mark duplicates. Do not auto-delete.","MARK_REVIEW_ONLY","LOW","2026-06-09T05:48:47+08:00"
"2","ACTIVE_ENTRY","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1 exists","One-click activation entry is present","KEEP","LOW","2026-06-09T05:48:47+08:00"
"2","SSOT","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\CONFIG\VAP_VISUAL_SPEC_SSOT.json","SSOT exists","SSOT can be refreshed","REFRESH_SSOT","LOW","2026-06-09T05:48:47+08:00"
"3","BASE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","VAP base exists. Files: 11949","Single active system confirmed","KEEP","LOW","2026-06-09T05:49:00+08:00"
"3","OLD_VHB","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","Old VHB folder absent","Post-integration state is clean","CONFIRMED_DELETED","LOW","2026-06-09T05:49:00+08:00"
"3","SCAN","INFO","4","PARALLEL","FileScan","No scan errors detected","Registry is healthy","KEEP","LOW","2026-06-09T05:49:00+08:00"
"3","HTML","INFO","4","PARALLEL","HTML_TEMPLATE","HTML templates detected: 261","HTML U/I assets are present","KEEP","LOW","2026-06-09T05:49:00+08:00"
"3","IMAGE","INFO","4","PARALLEL","IMAGE_OR_ICON","Images/icons detected: 10181","Visual grid can be maintained","KEEP","LOW","2026-06-09T05:49:00+08:00"
"3","DEDUPE","LOW","3","FINALIZE","SHA256","Duplicate groups detected: 1481","Only mark duplicates. Do not auto-delete.","MARK_REVIEW_ONLY","LOW","2026-06-09T05:49:00+08:00"
"3","ACTIVE_ENTRY","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1 exists","One-click activation entry is present","KEEP","LOW","2026-06-09T05:49:00+08:00"
"3","SSOT","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\CONFIG\VAP_VISUAL_SPEC_SSOT.json","SSOT exists","SSOT can be refreshed","REFRESH_SSOT","LOW","2026-06-09T05:49:00+08:00"
