"Root","Lang","Ext","Bytes","Modified","Path"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".html","971501","2026-06-09 03:59:38","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\DecisionStudio_Registry.html"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".xlsx","9845","2026-06-10 21:40:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\HTML Design.xlsx"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".json","33312","2026-06-09 04:03:29","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PS",".ps1","20693","2026-06-10 20:15:03","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","PS",".ps1","49218","2026-06-11 11:55:58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".md","11108","2026-06-08 20:22:08","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","698089","2025-08-26 00:06:08","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20250819兆豐個股報告-泓德能源(6873).pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","397184","2025-12-05 23:10:14","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251128兆豐訪談速報-神達(3706).pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","608844","2025-12-05 23:05:59","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251204兆豐個股報告-志強-KY(6768).pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","327072","2025-12-05 23:05:29","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","317766","2025-12-05 23:05:33","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251205兆豐晨會報告(二)-公司訪談摘要.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","928509","2025-12-11 17:45:58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251208_台新台股盤勢分析.pdf"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","DOC",".pdf","818339","2026-05-25 01:02:39","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20260519兆豐個股報告-望隼(4771).pdf"
