"file_name","qualified_by_filename","score","ticker","report_date","bytes","last_write_time","path"
"【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf","True","90","3706","2025-08-22","1572918","2025-08-26 00:03:31","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf"
"20250819兆豐個股報告-泓德能源(6873).pdf","True","70","6873","2025-08-19","698089","2025-08-26 00:06:08","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20250819兆豐個股報告-泓德能源(6873).pdf"
"20251128兆豐訪談速報-神達(3706).pdf","True","70","3706","2025-11-28","397184","2025-12-05 23:10:14","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251128兆豐訪談速報-神達(3706).pdf"
"20251204兆豐個股報告-志強-KY(6768).pdf","True","70","6768","2025-12-04","608844","2025-12-05 23:05:59","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251204兆豐個股報告-志強-KY(6768).pdf"
"20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf","False","35","","2025-12-05","327072","2025-12-05 23:05:29","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf"
"20251205兆豐晨會報告(二)-公司訪談摘要.pdf","False","35","","2025-12-05","317766","2025-12-05 23:05:33","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251205兆豐晨會報告(二)-公司訪談摘要.pdf"
"20251208_台新台股盤勢分析.pdf","False","35","","2025-12-08","928509","2025-12-11 17:45:58","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251208_台新台股盤勢分析.pdf"
"20260519兆豐個股報告-望隼(4771).pdf","True","70","4771","2026-05-19","818339","2026-05-25 01:02:39","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20260519兆豐個股報告-望隼(4771).pdf"
"3014TT-20231005.pdf","True","70","3014","2023-10-05","1129733","2023-10-21 15:32:21","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\3014TT-20231005.pdf"
"6933_AMAX-KY_個股介紹報告.pdf","True","45","6933","","1109127","2023-10-21 15:32:46","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\6933_AMAX-KY_個股介紹報告.pdf"
