record_index,source_id,filename,extension,extraction_method,status,quality_before,quality_after,quality_delta,numeric_tokens_preserved,change_count,boilerplate_count,graph_noise_count,ticker,report_date,rating,target_price,financial_data_count,summary_sentence_count,warning_count
1,SRC-CCDF4FF6D4DE510D,20250819兆豐個股報告-泓德能源(6873).pdf,pdf,DUAL_ZONES,PASS,95.75,98.75,3.0,True,77,1,0,6873,2025/08/19,,208.0,14,5,0
2,SRC-E71208BDA5EC31F6,20251128兆豐訪談速報-神達(3706).pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,112,2,0,3706,2025/11/28,買進,128.0,7,5,0
3,SRC-695A9FEAD1F82F3C,20251204兆豐個股報告-志強-KY(6768).pdf,pdf,DUAL_ZONES,PASS,97.3,100.0,2.7,True,96,1,0,6768,2025/12/04,,145.0,14,5,0
4,SRC-20B602C61A44D2A0,20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf,pdf,DUAL_ZONES,PASS,94.75,96.25,1.5,True,64,2,0,,2025/12/05,,,0,5,0
5,SRC-4A38FCB7D1D5EC13,20251205兆豐晨會報告(二)-公司訪談摘要.pdf,pdf,DUAL_ZONES,PASS,96.3,97.5,1.2,True,22,1,0,4441,2025/12/05,,4441.0,0,5,0
6,SRC-545FFCCFC1F917F3,20251208_台新台股盤勢分析.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,11,0,0,,2025/12/08,,,0,3,0
7,SRC-4318B33A4E40619D,20260519兆豐個股報告-望隼(4771).pdf,pdf,DUAL_ZONES,PASS,97.3,100.0,2.7,True,97,1,0,4771,2026/05/19,,238.0,8,5,0
8,SRC-253331194768C15E,3014TT-20231005.pdf,pdf,DUAL_ZONES,PASS,98.15,98.75,0.6,True,197,0,53,3014,2023/10/05,,187.0,5,5,1
9,SRC-8A8C6C76BA8EC7BE,6933_AMAX-KY_個股介紹報告.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,102,0,0,6933,2023/09/25,未評等,,2,5,0
10,SRC-F2158D74DF65DD0B,Citi-3231 20250604.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,331,1,0,3231,2025/06/04,Buy,165.0,1,5,0
11,SRC-D17077217B980F1B,CLST-6669 20251001.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,305,0,0,6669,2025/10/01,OUTPERFORM,,2,5,0
12,SRC-551C241C64940EEF,Daiwa-1319 20231011.pdf,pdf,DUAL_ZONES,PASS,100.0,100.0,0.0,True,397,0,0,1319,2023/10/11,Buy,,6,5,0
