page,raw_text,repaired_text,element_type,subtype,zone,source_method,confidence,metadata,relations,element_id,source_fingerprint,parent_id,reading_order,column_index,include_in_main_text,include_in_summary,retained_for_audit,bbox_pt,bbox_norm,document_id,page_id,physical_page,printed_page,font_size,font_name,font_weight,is_bold,is_italic
1,Generic Layout Engine Test,Generic Layout Engine Test,META,RUNNING_HEADER,TL,pymupdf.native_line,0.99,"{""block_index"": 0, ""line_index"": 0, ""span_count"": 1}",[],GLE-AA6B5D11-P0001-TL-MET-RHD-001,395E0992,,1,0,False,False,True,"[42.0, 24.475, 128.765, 34.093]","[706, 291, 2164, 405]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,7.0,Helvetica,400,False,False
1,- 1 -,- 1 -,META,PAGE_NUMBER,BC,pymupdf.native_line,0.99,"{""block_index"": 1, ""line_index"": 0, ""span_count"": 1}",[],GLE-AA6B5D11-P0001-BC-MET-PGN-001,650A9476,,14,0,False,False,True,"[230.0, 797.475, 242.446, 807.093]","[3866, 9471, 4075, 9585]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,7.0,Helvetica,400,False,False
1,Annual Research Report,Annual Research Report,TEXT,H1,TL,pymupdf.native_line,0.99,"{""block_index"": 2, ""line_index"": 0, ""span_count"": 1}",[],GLE-AA6B5D11-P0001-TL-TXT-H1-001,B7391821,,2,0,True,True,True,"[42.0, 58.46, 298.718, 88.754]","[706, 694, 5020, 1054]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,22.0,Helvetica-Bold,700,True,False
1,1. Executive Overview,1. Executive Overview,TEXT,H2,TL,pymupdf.native_line,0.99,"{""block_index"": 3, ""line_index"": 0, ""span_count"": 1}",[],GLE-AA6B5D11-P0001-TL-TXT-H2-001,F098EAAD,,3,0,True,True,True,"[42.0, 104.88, 210.096, 126.912]","[706, 1246, 3531, 1507]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,16.0,Helvetica-Bold,700,True,False
1,This is the main body paragraph used to establish the body font size.,This is the main body paragraph used to establish the body font size.,TEXT,BODY,TL,pymupdf.native_line,0.99,"{""block_index"": 4, ""line_index"": 0, ""span_count"": 1}",[],GLE-AA6B5D11-P0001-TL-TXT-BDY-001,6F74DD44,,4,0,True,True,True,"[42.0, 139.25, 346.6, 152.99]","[706, 1654, 5825, 1817]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,10.0,Helvetica,400,False,False
1,A second body line confirms paragraph-level classification.,A second body line confirms paragraph-level classification.,TEXT,BODY,TL,pymupdf.native_line,0.99,"{""block_index"": 5, ""line_index"": 0, ""span_count"": 1}",[],GLE-AA6B5D11-P0001-TL-TXT-BDY-002,0B9B3B94,,5,0,True,True,True,"[42.0, 159.25, 301.54, 172.99]","[706, 1891, 5068, 2055]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,10.0,Helvetica,400,False,False
1,1.1 Key Observation,1.1 Key Observation,TEXT,H3,TL,pymupdf.native_line,0.99,"{""block_index"": 6, ""line_index"": 0, ""span_count"": 1}",[],GLE-AA6B5D11-P0001-TL-TXT-H3-001,241EFDB0,,6,0,True,True,True,"[42.0, 197.16, 157.38, 213.684]","[706, 2342, 2645, 2538]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,12.0,Helvetica-Bold,700,True,False
1,The document contains a table and one figure for layout testing.,The document contains a table and one figure for layout testing.,TEXT,BODY,TL,pymupdf.native_line,0.99,"{""block_index"": 7, ""line_index"": 0, ""span_count"": 1}",[],GLE-AA6B5D11-P0001-TL-TXT-BDY-003,65F163AC,,7,0,True,True,True,"[42.0, 221.25, 324.38, 234.99]","[706, 2628, 5452, 2791]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,10.0,Helvetica,400,False,False
1,Table 1: Quarterly Data,Table 1: Quarterly Data,TABLE,CAPTION,TL,pymupdf.native_line,0.99,"{""block_index"": 8, ""line_index"": 0, ""span_count"": 1}","[{""relation"": ""CAPTION_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-TL-TBL-CAP-001,04989DE6,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,8,0,True,True,True,"[42.0, 269.3, 151.48, 283.07]","[706, 3198, 2546, 3362]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,10.0,Helvetica-Bold,700,True,False
1,Source: Synthetic data,Source: Synthetic data,TABLE,SOURCE,ML,pymupdf.native_line,0.99,"{""block_index"": 12, ""line_index"": 0, ""span_count"": 1}","[{""relation"": ""SOURCE_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-ML-TBL-SRC-001,F1844C96,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,10,0,False,True,True,"[42.0, 400.475, 112.427, 410.093]","[706, 4756, 1890, 4870]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,7.0,Helvetica,400,False,False
1,Figure 1: Trend Overview,Figure 1: Trend Overview,FIGURE,CAPTION,ML,pymupdf.native_line,0.99,"{""block_index"": 13, ""line_index"": 0, ""span_count"": 1}","[{""relation"": ""CAPTION_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-MC-FIG-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-ML-FIG-CAP-001,C10CAFB8,GLE-AA6B5D11-P0001-MC-FIG-CNT-001,11,0,True,True,True,"[42.0, 441.3, 162.04, 455.07]","[706, 5241, 2723, 5405]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,10.0,Helvetica-Bold,700,True,False
1,,,FIGURE,CONTENT,MC,pymupdf.image_block,0.98,"{""block_index"": 14, ""image_ext"": ""png""}",[],GLE-AA6B5D11-P0001-MC-FIG-CNT-001,FB1B3B1B,,12,0,True,True,True,"[42.0, 465.0, 402.0, 645.0]","[706, 5523, 6756, 7660]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,Source: Generated locally,Source: Generated locally,FIGURE,SOURCE,BL,pymupdf.native_line,0.99,"{""block_index"": 15, ""line_index"": 0, ""span_count"": 1}","[{""relation"": ""SOURCE_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-MC-FIG-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-BL-FIG-SRC-001,09E82977,GLE-AA6B5D11-P0001-MC-FIG-CNT-001,13,0,False,True,True,"[42.0, 654.475, 122.535, 664.093]","[706, 7773, 2059, 7887]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,7.0,Helvetica,400,False,False
1,,,TABLE,CONTENT,FULL,pdfplumber.find_tables,0.9,"{""table_index"": 1}",[],GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,2A3DD77D,,9,-1,True,True,True,"[42.0, 300.0, 540.0, 390.0]","[706, 3563, 9076, 4632]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,Metric,Metric,TABLE,HEADER,ML,pdfplumber.table_cell,0.88,"{""column"": 1, ""row"": 1, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""HEADER_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-ML-TBL-HDR-001,362EF1C5,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,15,0,True,True,True,"[42.0, 300.0, 180.0, 330.0]","[706, 3563, 3025, 3919]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,Q1,Q1,TABLE,HEADER,MC,pdfplumber.table_cell,0.88,"{""column"": 2, ""row"": 1, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""HEADER_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MC-TBL-HDR-001,5548E29B,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,16,0,True,True,True,"[180.0, 300.0, 300.0, 330.0]","[3025, 3563, 5042, 3919]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,Q2,Q2,TABLE,HEADER,MC,pdfplumber.table_cell,0.88,"{""column"": 3, ""row"": 1, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""HEADER_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MC-TBL-HDR-002,F0F305A0,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,17,0,True,True,True,"[300.0, 300.0, 420.0, 330.0]","[5042, 3563, 7059, 3919]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,Q3,Q3,TABLE,HEADER,MR,pdfplumber.table_cell,0.88,"{""column"": 4, ""row"": 1, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""HEADER_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MR-TBL-HDR-001,018A756F,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,18,0,True,True,True,"[420.0, 300.0, 540.0, 330.0]","[7059, 3563, 9076, 3919]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,Revenue,Revenue,TABLE,STUB,ML,pdfplumber.table_cell,0.88,"{""column"": 1, ""row"": 2, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""PART_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-ML-TBL-STB-001,E06A33F0,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,19,0,True,True,True,"[42.0, 330.0, 180.0, 360.0]","[706, 3919, 3025, 4276]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,100,100,TABLE,DATA,MC,pdfplumber.table_cell,0.88,"{""column"": 2, ""row"": 2, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""PART_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MC-TBL-DAT-001,71B5D1CE,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,20,0,True,True,True,"[180.0, 330.0, 300.0, 360.0]","[3025, 3919, 5042, 4276]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,120,120,TABLE,DATA,MC,pdfplumber.table_cell,0.88,"{""column"": 3, ""row"": 2, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""PART_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MC-TBL-DAT-002,B9EB3A08,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,21,0,True,True,True,"[300.0, 330.0, 420.0, 360.0]","[5042, 3919, 7059, 4276]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,150,150,TABLE,DATA,MR,pdfplumber.table_cell,0.88,"{""column"": 4, ""row"": 2, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""PART_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MR-TBL-DAT-001,60AEA22D,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,22,0,True,True,True,"[420.0, 330.0, 540.0, 360.0]","[7059, 3919, 9076, 4276]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,Profit,Profit,TABLE,STUB,ML,pdfplumber.table_cell,0.88,"{""column"": 1, ""row"": 3, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""PART_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-ML-TBL-STB-002,9C8DD2FC,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,23,0,True,True,True,"[42.0, 360.0, 180.0, 390.0]","[706, 4276, 3025, 4632]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,20,20,TABLE,DATA,MC,pdfplumber.table_cell,0.88,"{""column"": 2, ""row"": 3, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""PART_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MC-TBL-DAT-003,158CC73B,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,24,0,True,True,True,"[180.0, 360.0, 300.0, 390.0]","[3025, 4276, 5042, 4632]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,25,25,TABLE,DATA,MC,pdfplumber.table_cell,0.88,"{""column"": 3, ""row"": 3, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""PART_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MC-TBL-DAT-004,F1BC328D,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,25,0,True,True,True,"[300.0, 360.0, 420.0, 390.0]","[5042, 4276, 7059, 4632]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
1,31,31,TABLE,DATA,MR,pdfplumber.table_cell,0.88,"{""column"": 4, ""row"": 3, ""table_index"": 1, ""temporary_parent_bbox"": [42.0, 300.0, 540.0, 390.0]}","[{""relation"": ""PART_OF"", ""target_id"": ""GLE-AA6B5D11-P0001-FULL-TBL-CNT-001"", ""confidence"": 0.95}]",GLE-AA6B5D11-P0001-MR-TBL-DAT-002,7A589577,GLE-AA6B5D11-P0001-FULL-TBL-CNT-001,26,0,True,True,True,"[420.0, 360.0, 540.0, 390.0]","[7059, 4276, 9076, 4632]",GLE-AA6B5D11,GLE-AA6B5D11-P0001,1,1,,,,,
