"Round","Category","Severity","RiskRank","FixMode","Target","Issue","Optimization","RecommendedAction","HydraRisk","CreatedAt"
"1","SOURCE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Source files: 0","Source registry available","KEEP","LOW","2026-06-09T09:39:29+08:00"
"1","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED","Managed target files: 1077","Target ready","KEEP","LOW","2026-06-09T09:39:29+08:00"
"1","MAPPING","HIGH","1","SEQUENTIAL","Mapping","Failed mappings: 1","Do not delete until fixed","REPAIR_FAILED_MAPPING","HIGH","2026-06-09T09:39:29+08:00"
"1","VERIFY","HIGH","1","SEQUENTIAL","Verification","Verify status: VERIFY_FAIL; Missing: 0","Block delete","BLOCK_DELETE","HIGH","2026-06-09T09:39:29+08:00"
"1","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Delete status: SKIPPED_VERIFY_NOT_PASS","Guarded delete only","KEEP_RESULT","LOW","2026-06-09T09:39:29+08:00"
"2","SOURCE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Source files: 0","Source registry available","KEEP","LOW","2026-06-09T09:39:30+08:00"
"2","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED","Managed target files: 1077","Target ready","KEEP","LOW","2026-06-09T09:39:30+08:00"
"2","MAPPING","HIGH","1","SEQUENTIAL","Mapping","Failed mappings: 1","Do not delete until fixed","REPAIR_FAILED_MAPPING","HIGH","2026-06-09T09:39:30+08:00"
"2","VERIFY","HIGH","1","SEQUENTIAL","Verification","Verify status: VERIFY_FAIL; Missing: 0","Block delete","BLOCK_DELETE","HIGH","2026-06-09T09:39:30+08:00"
"2","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Delete status: SKIPPED_VERIFY_NOT_PASS","Guarded delete only","KEEP_RESULT","LOW","2026-06-09T09:39:30+08:00"
"3","SOURCE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Source files: 0","Source registry available","KEEP","LOW","2026-06-09T09:39:31+08:00"
"3","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED","Managed target files: 1077","Target ready","KEEP","LOW","2026-06-09T09:39:31+08:00"
"3","MAPPING","HIGH","1","SEQUENTIAL","Mapping","Failed mappings: 1","Do not delete until fixed","REPAIR_FAILED_MAPPING","HIGH","2026-06-09T09:39:31+08:00"
"3","VERIFY","HIGH","1","SEQUENTIAL","Verification","Verify status: VERIFY_FAIL; Missing: 0","Block delete","BLOCK_DELETE","HIGH","2026-06-09T09:39:31+08:00"
"3","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Delete status: SKIPPED_VERIFY_NOT_PASS","Guarded delete only","KEEP_RESULT","LOW","2026-06-09T09:39:31+08:00"
