"Role","Type","Ext","Bytes","Path"
"ACTIVE_POINTER","FILE",".json","2051","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"FROZEN_POINTER","FILE",".json","2051","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_FINAL_ACTIVATION_SEAL_POINTER_v02868.json"
"SOURCE_RUNTIME","FILE",".json","2528","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\VIA_FinalLongRunSeal_Runtime_v02867.json"
"PROMOTE_RUN_ROOT","DIR","","0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905"
"PROMOTE_SOURCE_RUNTIME","FILE",".json","2528","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\VIA_FinalLongRunSeal_Runtime_v02867.json"
"SOURCE_SEAL_RUN_ROOT","DIR","","0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639"
"OUTPUT_ACTIVE_POINTER","FILE",".json","2051","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"OUTPUT_FROZEN_POINTER","FILE",".json","2051","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_FINAL_ACTIVATION_SEAL_POINTER_v02868.json"
"POINTER_BACKUP","FILE",".json","2528","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905\backup\VDF_ACTIVE_POINTER.before_v02868_20260611_123905.json"
"FINAL_LAUNCHER","FILE",".ps1","2165","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_FinalConsole\Start-VIA.ps1"
"SUPPORTIVE_HARDGATE","FILE",".py","306724","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_SSOT_Unified.py"
"SUPPORTIVE_HARDGATE","FILE",".py","49130","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_RegistryCore_v1.py"
"SUPPORTIVE_HARDGATE","FILE",".py","29537","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_Runtime_Bridge_All_in_One.py"
"SUPPORTIVE_HARDGATE","FILE",".py","68497","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_EnvManager.py"
"SUPPORTIVE_HARDGATE","FILE",".py","13403","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VIA_Panorama_AST_RuntimeInjector.py"
"SUPPORTIVE_HARDGATE","FILE",".py","242127","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VeritasCeleritas.py"
"SUPPORTIVE_HARDGATE","FILE",".py","208495","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\VeritasAegisNexus.py"
