"Family","FamilyRank","Action","Reason","Path","Name","Bytes","Size","FileCount","SizeScanCapped","LastWriteTime","AgeHours","Protected","Status","Message"
"via_vrn_final_package_freeze_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_PACKAGE_FREEZE_20260602_150557","VIA_VRN_FINAL_PACKAGE_FREEZE_20260602_150557","1919225187","1.79 GB","8000","True","2026/6/2 下午 05:09:08","339.83","False","PENDING",""
"_vrn_backup_","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\新增資料夾 (2)\_VRN_BACKUP_","_VRN_BACKUP_","1217830498","1.13 GB","8000","True","2026/2/18 下午 11:59:13","2828.99","False","PENDING",""
"_packages","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages","_packages","563264983","537.17 MB","8000","True","2026/6/4 上午 08:16:35","300.7","False","PENDING",""
"_via_activeetf_safe_panorama_runs","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\_VIA_ActiveETF_SAFE_PANORAMA_RUNS","_VIA_ActiveETF_SAFE_PANORAMA_RUNS","553460549","527.82 MB","8000","True","2026/6/4 上午 08:07:54","300.85","False","PENDING",""
"via_activeetf_sealed_aio_b_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_SEALED_AIO_B_20260603_144725","VIA_ActiveETF_SEALED_AIO_B_20260603_144725","356420033","339.91 MB","2229","False","2026/6/4 上午 07:26:23","301.54","False","PENDING",""
"_via_activeetf_accelerator_runs","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\_VIA_ActiveETF_ACCELERATOR_RUNS","_VIA_ActiveETF_ACCELERATOR_RUNS","291589518","278.08 MB","8000","True","2026/6/4 上午 08:16:35","300.7","False","PENDING",""
"libreg_TS","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_lib_registry_runs\LIBREG_20260413_190105","LIBREG_20260413_190105","96321720","91.86 MB","5","False","2026/4/23 上午 02:13:16","1314.76","False","PENDING",""
"via_vrn_final_package_freeze_TS_lean","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_PACKAGE_FREEZE_20260602_150557_LEAN","VIA_VRN_FINAL_PACKAGE_FREEZE_20260602_150557_LEAN","53974436","51.47 MB","131","False","2026/6/2 下午 05:09:14","339.83","False","PENDING",""
"_vrn_stable_release","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_stable_release","_vrn_stable_release","15186900","14.48 MB","15","False","2026/5/20 下午 07:31:04","649.46","False","PENDING",""
"_backup","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_backup","_backup","12991881","12.39 MB","52","False","2026/6/10 下午 01:59:58","150.98","False","PENDING",""
"_u3e_to_u3h_strict_basicinfo_final_pack_runs","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_u3e_to_u3h_strict_basicinfo_final_pack_runs","_u3e_to_u3h_strict_basicinfo_final_pack_runs","9278517","8.85 MB","32","False","2026/5/10 下午 11:22:40","885.6","False","PENDING",""
"via_activeetf_zip_memory_aio_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_ZIP_MEMORY_AIO_20260603_090429","VIA_ActiveETF_ZIP_MEMORY_AIO_20260603_090429","7863149","7.50 MB","34","False","2026/6/3 上午 09:39:32","323.32","False","PENDING",""
"RUN_TS_triple_panorama_preseal_vX","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\_preseal_runs\RUN_20260607_212949_TRIPLE_PANORAMA_PRESEAL_v02","RUN_20260607_212949_TRIPLE_PANORAMA_PRESEAL_v02","7555582","7.21 MB","17","False","2026/6/7 下午 09:32:05","215.45","False","PENDING",""
"RUN_TS_vX_deep_space_map","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_disk_guardian_deepmap_runs\RUN_20260615_215338_v0331_DEEP_SPACE_MAP","RUN_20260615_215338_v0331_DEEP_SPACE_MAP","7130259","6.80 MB","9","False","2026/6/15 下午 09:53:53","23.08","False","PENDING",""
"_via_disk_guardian_deepmap_runs","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_disk_guardian_deepmap_runs","_via_disk_guardian_deepmap_runs","7130259","6.80 MB","9","False","2026/6/15 下午 09:53:53","23.08","False","PENDING",""
"via_activeetf_panorama_exe_pack_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_PANORAMA_EXE_PACK_20260603_094641","VIA_ActiveETF_PANORAMA_EXE_PACK_20260603_094641","6305027","6.01 MB","38","False","2026/6/3 上午 10:06:02","322.88","False","PENDING",""
"RUN_TS_vX_disk_guardian","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_disk_guardian_runs\RUN_20260615_194046_v0330_DISK_GUARDIAN","RUN_20260615_194046_v0330_DISK_GUARDIAN","6237894","5.95 MB","7","False","2026/6/15 下午 08:26:52","24.53","False","PENDING",""
"_via_disk_guardian_runs","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_disk_guardian_runs","_via_disk_guardian_runs","6237894","5.95 MB","7","False","2026/6/15 下午 08:26:52","24.53","False","PENDING",""
"RUN_TS_vX_hotfix","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_supportive_nexus_runs\RUN_20260615_155645_v0311_HOTFIX","RUN_20260615_155645_v0311_HOTFIX","5656531","5.39 MB","8","False","2026/6/15 下午 04:19:17","28.66","False","PENDING",""
"_vrn_vdf_supportive_nexus_runs","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_supportive_nexus_runs","_vrn_vdf_supportive_nexus_runs","5656531","5.39 MB","8","False","2026/6/15 下午 03:56:46","29.03","False","PENDING",""
"_via_panorama_auditor_runs","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_panorama_auditor_runs","_via_panorama_auditor_runs","4985414","4.75 MB","18","False","2026/6/16 下午 03:33:44","5.42","False","PENDING",""
"_sealed_command_engine_packages","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\_sealed_command_engine_packages","_sealed_command_engine_packages","4208266","4.01 MB","210","False","2026/6/7 下午 10:43:08","214.26","False","PENDING",""
"_backup","3","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\VeritasGlyphForge\_backup","_backup","3841969","3.66 MB","143","False","2026/3/30 上午 11:17:53","1881.68","False","PENDING",""
"via_consolidation_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_consolidation_runs\VIA_CONSOLIDATION_20260430_154941","VIA_CONSOLIDATION_20260430_154941","3496128","3.33 MB","9","False","2026/4/30 下午 04:41:41","1132.29","False","PENDING",""
"_vrn_package_runs","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_package_runs","_vrn_package_runs","3118513","2.97 MB","118","False","2026/5/24 上午 02:21:31","570.62","False","PENDING",""
"b_safe_temp_repair_preview","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_vrn_super_closeout_3lane_runs\RUN_20260601_183632\B_safe_temp_repair_preview","B_safe_temp_repair_preview","3019821","2.88 MB","18","False","2026/6/1 下午 06:36:43","362.37","False","PENDING",""
"_deploy","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\_deploy","_deploy","2538423","2.42 MB","38","False","2026/6/3 上午 01:20:16","331.64","False","PENDING",""
"via_activeetf","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\_deploy\VIA_ActiveETF","VIA_ActiveETF","2538423","2.42 MB","38","False","2026/6/3 上午 09:46:58","323.2","False","PENDING",""
"RUN_TS_vX_vrn_vdf_supportive_panorama_auditor","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_panorama_auditor_runs\RUN_20260616_153339_v0341_VRN_VDF_SUPPORTIVE_PANORAMA_AUDITOR","RUN_20260616_153339_v0341_VRN_VDF_SUPPORTIVE_PANORAMA_AUDITOR","2527649","2.41 MB","9","False","2026/6/16 下午 03:33:44","5.42","False","PENDING",""
"RUN_TS_preseal_panorama_vX","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\_preseal_runs\RUN_20260607_211628_PRESEAL_PANORAMA_v01","RUN_20260607_211628_PRESEAL_PANORAMA_v01","2511119","2.39 MB","10","False","2026/6/7 下午 09:17:15","215.69","False","PENDING",""
"RUN_TS_vX_vrn_vdf_supportive_panorama_auditor","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_via_panorama_auditor_runs\RUN_20260616_021750_v0341_VRN_VDF_SUPPORTIVE_PANORAMA_AUDITOR","RUN_20260616_021750_v0341_VRN_VDF_SUPPORTIVE_PANORAMA_AUDITOR","2457765","2.34 MB","9","False","2026/6/16 上午 02:17:56","18.68","False","PENDING",""
"RUN_TS_sealed_command_engine_package_vX","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\_sealed_command_engine_packages\RUN_20260607_221722_SEALED_COMMAND_ENGINE_PACKAGE_v04","RUN_20260607_221722_SEALED_COMMAND_ENGINE_PACKAGE_v04","2411344","2.30 MB","108","False","2026/6/7 下午 10:41:17","214.29","False","PENDING",""
"via_step2_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_STEP2_20260417_211748","VIA_STEP2_20260417_211748","2186523","2.09 MB","35","False","2026/4/23 上午 02:13:26","1314.76","False","PENDING",""
"via_supreme_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_SUPREME_20260417_211013","VIA_SUPREME_20260417_211013","2168938","2.07 MB","35","False","2026/4/23 上午 02:13:35","1314.75","False","PENDING",""
"via_step3a_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_STEP3A_20260417_214131","VIA_STEP3A_20260417_214131","2051865","1.96 MB","33","False","2026/4/23 上午 02:13:29","1314.76","False","PENDING",""
"via_vrn_full_integration_safe_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_project_finish_runs\VIA_VRN_FULL_INTEGRATION_SAFE_20260506_143915","VIA_VRN_FULL_INTEGRATION_SAFE_20260506_143915","1912510","1.82 MB","2","False","2026/5/6 下午 02:39:56","990.32","False","PENDING",""
