"Name","Path","Exists","Extension","Length","SHA256","ParseStatus","ParseErrors","ParseErrorText","MethodScore","Grade","Pros","Cons","Risks"
"Invoke-VDF-Nexus-Panorama3RoundGate.ps1","C:\Users\tonyk\Downloads\Invoke-VDF-Nexus-Panorama3RoundGate.ps1","True",".ps1","67444","BC5785113398F0846A7110558830FB997AC76151D9B0FEB30D796CA57DABD269","OK_PARSE","0","","84","A","Param block; def_* structure; try/catch; Matrix report output; Child process / timeout guard; Hash inventory; Sandbox/copy strategy","Progress may be weak; No obvious dry-run approval gate",""
"VIA_NetGuardTuner_v2.ps1","C:\Users\tonyk\Downloads\VIA_NetGuardTuner_v2.ps1","True",".ps1","50618","0A0A95F1F08581DC8D129A1B679F2A3B83574227DEFEB48C5B3AF52F174A9600","OK_PARSE","0","","88","A","Param block; try/catch; Dynamic progress; Matrix report output; Dry-run / approval gate; Child process / timeout guard","Weak def_* structure; Hash inventory not obvious; Sandbox strategy not obvious",""
"VIA_NetGuardTuner_v1.ps1","C:\Users\tonyk\Downloads\VIA_NetGuardTuner_v1.ps1","True",".ps1","38908","2121D6849EA9E2517457B29CE83F9FB0A30563715B68403739800AD7192B8E22","OK_PARSE","0","","88","A","Param block; try/catch; Dynamic progress; Matrix report output; Dry-run / approval gate; Child process / timeout guard","Weak def_* structure; Hash inventory not obvious; Sandbox strategy not obvious",""
"Invoke-VIA-NexusToolBridge-AIO-v010.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-NexusToolBridge-AIO-v010.ps1","True",".ps1","36219","A6810E9624E998A9347E94B666E759DB5A63FD94A721C8C4E4E0E9E26CCD039A","OK_PARSE","0","","74","B","Param block; def_* structure; try/catch; Dynamic progress; Matrix report output; Dry-run / approval gate; Child process / timeout guard; Hash inventory","Sandbox strategy not obvious","Potential destructive or process-stopping pattern"
"Invoke-VIA-Polyglot-RedFindingStabilizer-v0122-AstParserHotfix.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-Polyglot-RedFindingStabilizer-v0122-AstParserHotfix.ps1","True",".ps1","42598","A43B4142214824842FD0A72B911359E149701A43471299F4C8548A3E7189F1C1","OK_PARSE","0","","74","B","Param block; def_* structure; try/catch; Dynamic progress; Matrix report output; Dry-run / approval gate; Child process / timeout guard; Sandbox/copy strategy","Hash inventory not obvious","Potential destructive or process-stopping pattern"
"Invoke-VIA-Polyglot-RedFindingStabilizer-v0121-Hotfix.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-Polyglot-RedFindingStabilizer-v0121-Hotfix.ps1","True",".ps1","38030","ED6D22CADD0308851F0B5B717A46406EF62D1E77422980C0123FD96DFA89FD77","OK_PARSE","0","","69","C","Param block; def_* structure; try/catch; Matrix report output; Dry-run / approval gate; Child process / timeout guard; Sandbox/copy strategy","Progress may be weak; Hash inventory not obvious","Potential destructive or process-stopping pattern"
"Invoke-VIA-Polyglot-RedFindingStabilizer-v012.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-Polyglot-RedFindingStabilizer-v012.ps1","True",".ps1","37208","09DB4F8269BB9E6C6E543C6DC7F9C2C198B06340222CF7053852BE58A9874F13","OK_PARSE","0","","69","C","Param block; def_* structure; try/catch; Matrix report output; Dry-run / approval gate; Child process / timeout guard; Sandbox/copy strategy","Progress may be weak; Hash inventory not obvious","Potential destructive or process-stopping pattern"
"Invoke-VIA-NexusToolBridge-Unified-v02.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-NexusToolBridge-Unified-v02.ps1","True",".ps1","53014","51D990C23190174C9E171A9B3D3B7D76F035C31426A04D8A824A04DA7297B084","OK_PARSE","0","","78","B","Param block; def_* structure; try/catch; Dynamic progress; Matrix report output; Dry-run / approval gate; Child process / timeout guard; Hash inventory; Sandbox/copy strategy","","Potential destructive or process-stopping pattern"
"Read_Me_VeritasNexusCore.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","True",".md","11108","E17A9D1312F6B730094C4D868156681CF7B7D49C53FA1B2226AB5C859F6B79F2","N/A","0","","17","F","Matrix report output; Hash inventory","No clear param block; Weak def_* structure; Weak exception handling; Progress may be weak; No obvious dry-run approval gate; Timeout/process isolation may be weak; Sandbox strategy not obvious","Potential destructive or process-stopping pattern"
"Invoke-VeritasNexusCore.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","True",".ps1","20693","F00501761EF6E594C461C35979997B4BF735A8A54079BECFA698D23AC3C353C8","OK_PARSE","0","","76","B","Param block; def_* structure; try/catch; Matrix report output; Child process / timeout guard","Progress may be weak; No obvious dry-run approval gate; Hash inventory not obvious; Sandbox strategy not obvious",""
"Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","True",".ps1","49218","265CEF36C198313AF041D258BC0BC9BC8D58E7D97B7A407409CE04E1296B73A3","OK_PARSE","0","","78","B","Param block; def_* structure; try/catch; Dynamic progress; Matrix report output; Dry-run / approval gate; Child process / timeout guard; Hash inventory; Sandbox/copy strategy","","Potential destructive or process-stopping pattern"
