"Root","Path","FileName","Extension","Bytes","Size","LastWriteTime","AgeDays","Protected","Action","Status","Message"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\61744222-e4df-4579-acb3-9c240854a727_via_operator_engine.zip.727\via_operator_engine\classify_report.html","classify_report.html",".html","1536195","1.47 MB","2026/6/11 下午 08:50:32","5","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\wct4982.tmp","wct4982.tmp",".tmp","103574","101.15 KB","2026/6/13 上午 04:35:45","3.68","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\wct4D3C.tmp","wct4D3C.tmp",".tmp","103574","101.15 KB","2026/6/13 上午 04:35:45","3.68","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\wct833B.tmp","wct833B.tmp",".tmp","103574","101.15 KB","2026/6/13 上午 04:35:45","3.68","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\wct840B.tmp","wct840B.tmp",".tmp","103574","101.15 KB","2026/6/13 上午 04:35:45","3.68","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\wctD8EE.tmp","wctD8EE.tmp",".tmp","103574","101.15 KB","2026/6/13 上午 04:35:45","3.68","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\wct833A.tmp","wct833A.tmp",".tmp","28422","27.76 KB","2026/6/12 下午 11:45:17","3.88","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\bb4cb313-3e92-4fa3-9f37-0192cb85b6ef_VIA_SealAlbum_Transparent_VisualLock_Package.zip.6ef\VIA_SealAlbum_Transparent_VisualLock_Package\VIA_Home_Wired_Logo (1).html","VIA_Home_Wired_Logo (1).html",".html","17408","17.00 KB","2026/6/11 下午 10:51:44","4.92","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\394a404f-f202-4ee9-9de4-5659be389039_VIA_Home_YuguoTianqing_UI_Package.zip.039\VIA_Home_YuguoTianqing.html","VIA_Home_YuguoTianqing.html",".html","16265","15.88 KB","2026/6/11 下午 09:46:04","4.96","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\af525080-d0ff-4330-b77d-3f27cc3640c6_VIA_SealAlbum_Transparent_VisualLock_Package.zip.0c6\VIA_SealAlbum_Transparent_VisualLock_Package\VIA_SealAlbum_Transparent.html","VIA_SealAlbum_Transparent.html",".html","12345","12.06 KB","2026/6/11 下午 11:56:57","4.87","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\f28c0a11-f949-455f-9ca4-f9dd1042d36b_VIA_SealAlbum_Transparent_VisualLock_Package.zip.36b\VIA_SealAlbum_Transparent_VisualLock_Package\VIA_SealAlbum_Transparent.html","VIA_SealAlbum_Transparent.html",".html","12345","12.06 KB","2026/6/11 下午 10:52:00","4.92","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\745a8158-af60-457a-a051-d6c9a7e3c0b6_VIA_SealAlbum_Transparent_VisualLock_Package.zip.0b6\VIA_SealAlbum_Transparent_VisualLock_Package\VIA_Header_YuguoTianqing.html","VIA_Header_YuguoTianqing.html",".html","2805","2.74 KB","2026/6/11 下午 10:51:26","4.92","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\dd_BackgroundDownload_20260613053413.log","dd_BackgroundDownload_20260613053413.log",".log","1862","1.82 KB","2026/6/13 上午 05:34:15","3.64","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
"UserTemp","C:\Users\tonyk\AppData\Local\Temp\chromium_installer.log","chromium_installer.log",".log","1704","1.66 KB","2026/6/12 下午 11:47:41","3.88","False","SAFE_DELETE_TEMP","REMOVED","Removed temp file"
