"category","path","mode","risk","reason","action"
"PowerShell Parse","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","SEQUENTIAL_REQUIRED","HIGH","PowerShell parse error must be repaired one file at a time.","Repair sequentially; do not combine with DB/canonical changes."
"PowerShell Parse","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\backup\Original_Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","SEQUENTIAL_REQUIRED","HIGH","PowerShell parse error must be repaired one file at a time.","Repair sequentially; do not combine with DB/canonical changes."
"PowerShell Parse","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\repair\Invoke-VDF-AkShare-StagingWrite-REPAIRED-NOT-RUN-v02851.ps1","SEQUENTIAL_REQUIRED","HIGH","PowerShell parse error must be repaired one file at a time.","Repair sequentially; do not combine with DB/canonical changes."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","SEQUENTIAL_GATED","HIGH","Risk signal detected: Stop-Process","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_ONCE_POINTER.json","SEQUENTIAL_GATED","HIGH","Risk signal detected: Stop-Process","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: DATABASE","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Stop-Process","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Remove-Item","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Invoke-Expression","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Stop-Process","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: DATABASE","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Stop-Process","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: DATABASE","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Stop-Process","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL103_MasterRegistry.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL401_RegistrySchema.json","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL003_TableRestorer.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL004_OCR_FetchingPDFTable_v1.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
