"Path","Pattern","LineNumber","LineClass","Risk","LineText","Action"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","pip install","329","POSSIBLE_ACTIVE_EXECUTION","HIGH","def_WriteHtmlTable -Rows $rows -Title ""NexusCore DownloadOnly Report"" -OutPath $outHtml -Description ""No pip install.""","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","Stop-Process","661","POSSIBLE_ACTIVE_EXECUTION","HIGH","Policy: DB write=false . canonical merge=false . destructive delete=false . stop-process=false . append-only","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","Stop-Process","1134","POSSIBLE_ACTIVE_EXECUTION","HIGH","""Stop-Process"",","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","909","POSSIBLE_ACTIVE_EXECUTION","HIGH","commands.append(f'uv pip install --python ""{python_exe}"" {missing}')","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","910","POSSIBLE_ACTIVE_EXECUTION","HIGH","commands.append(f'""{python_exe}"" -m pip install {missing}')","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","916","POSSIBLE_ACTIVE_EXECUTION","HIGH","commands.append(f'""{python_exe}"" -m pip install --upgrade pip setuptools wheel')","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","934","POSSIBLE_ACTIVE_EXECUTION","HIGH","powershell_commands.append(f'uv pip install --python ""{target_python}"" {package_expr}')","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","939","POSSIBLE_ACTIVE_EXECUTION","HIGH","powershell_commands.append(f'& ""{target_python}"" -m pip install {package_expr}')","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","943","POSSIBLE_ACTIVE_EXECUTION","HIGH","f'""{target_python}"" -m pip install {package_expr}',","Review and patch before active lock."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","964","POSSIBLE_ACTIVE_EXECUTION","HIGH","commands.append(f'& ""{python_exe}"" -m pip install --upgrade pip setuptools wheel')","Review and patch before active lock."
