"Name","Role","Extension","Path","Status","Risk","FixClass","Metric","Message","SizeBytes","Sha256"
"VDF_MDL000_README.md","MODULE",".md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL000_README.md","OK","LOW","PARALLEL_SAFE","exists_non_empty","VDF module exists and non-empty.","5606","26c50c22648e9adc3588473ff4119bfeb94ee8b8a9da9c8972a89934c6c44288"
"VDF_MDL002_YFinanceFetchingEngine.py","DATA_FETCHING",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL002_YFinanceFetchingEngine.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","85299","e5dbb168e8ccce8dfce00cb6bbb485d9b30b72202b39e9f2e832392e27e7d676"
"VDF_MDL003_SentimentMacroEngine.py","MACRO_SENTIMENT",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL003_SentimentMacroEngine.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","73800","cb9c413e7c1f6162fa12be99995170a340f661f9b7ba30f44493956b57a38d14"
"VDF_MDL004_TWFullMarketEngine.py","TW_MARKET",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL004_TWFullMarketEngine.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","47065","b5748ea4a58344d7223d4d6c815c6b5f5efdba4a97cfd81f83c95c0a972f0072"
"VDF_MDL006_FinancialModel.py","FINANCIAL_MODEL",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL006_FinancialModel.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","67390","3da0113e352dec5ce30176586b876c5c862e2564b209a2e3f900ccfd4974a1a5"
"VDF_MDL007_SSOTResolver.py","SSOT_RESOLVER",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","54262","af23fd2db2b9c0bbf8db1ed0655eb344be2698ed03203f7f114aee723ace158f"
"VDF_MDL102_FormatUpgrader.py","FORMAT_UPGRADER",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL102_FormatUpgrader.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","15595","5492d891e29378ae9e61fbbada205c948957797623fb4592b2897754bbddf0ab"
"VDF_MDL103_MasterRegistry.py","REGISTRY",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL103_MasterRegistry.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","38755","0ca82c6c55d6dfde6c40032a7789e703a3cf5ca5efc5774a6f3adf220e74117e"
"VDF_MDL104_RegistryLoader.py","REGISTRY",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL104_RegistryLoader.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","18249","5b61190fca8f77ea18683ac1303d5e5fdd572b740874cc162aeffebad3665239"
"VDF_MDL105_CrossValidator.py","CROSS_VALIDATOR",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL105_CrossValidator.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","19486","50edff072cde465cdc1ef06c33aa7c8dbd47e9817a95a543da48e031cd0ee0ce"
"VDF_MDL201_GenerateFullRegistry.py","REGISTRY",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL201_GenerateFullRegistry.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","22332","e84832cb993be108b7d0cd2c4d92138e4543e95dc4ca4d99d51cc516d46b1782"
"VDF_MDL301_SystemTest.py","SYSTEM_TEST_ACTIVATION",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL301_SystemTest.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","21501","0036d630d8806f8b9f5cdfa1085b0aeed68ac6eac06def00aa7c8a9c9a0d5495"
"VDF_MDL302_FinalActivation.py","SYSTEM_TEST_ACTIVATION",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL302_FinalActivation.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","49291","6e36b665e0eb518938e2b25a4f3a3174d3389cbdc28919ccc86e6f60723fa27b"
"VDF_MDL303_RegistryActivation.py","REGISTRY",".py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL303_RegistryActivation.py","OK","LOW","PARALLEL_SAFE","py_compile","Python compile OK.","17116","fe35bcd1b64fe252fca4c0494605714271799ddcb441042248e0ae555835a939"
"VDF_MDL401_RegistrySchema.json","REGISTRY_SCHEMA_DATA",".json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL401_RegistrySchema.json","OK","LOW","PARALLEL_SAFE","json_parse","JSON parse OK.","10390","fffc87e8c61ace0d75875afea598a23495e7e4f67f7a660484fbbcf3d8269cab"
"VDF_MDL402_RegistrySample.json","REGISTRY_SCHEMA_DATA",".json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL402_RegistrySample.json","OK","LOW","PARALLEL_SAFE","json_parse","JSON parse OK.","18582","49a5bb5914c0d323d85d0b2dea8622878282abb7e7d53192ace19d48c6b3ec10"
"VDF_MDL403_RegistryFull.json","REGISTRY_SCHEMA_DATA",".json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL403_RegistryFull.json","OK","LOW","PARALLEL_SAFE","json_parse","JSON parse OK.","198561","bd1a251ff4a8940e038eb504487ac0ec526c5c87f066d47c4c0ea0b269e82b7b"
"VDF_MDL501_DataModuleController.html","HTML_UI",".html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL501_DataModuleController.html","OK","LOW","PARALLEL_SAFE","exists_non_empty","VDF module exists and non-empty.","46875","7fd4d0599171848e3bb7616ec3e4cb42be6a03ad5ad07d41cef647ed08db53eb"
