"Round","IssueID","Category","Severity","HydraRisk","Component","Problem","Evidence","ParallelSafe","SequentialRequired","FixPlan","Status"
"1","BRIDGE_INNER_MEDIUM_ProbeAll","ParallelFix","MEDIUM","HEAD_STATUS_PROPAGATION","Bridge","Outer action PASS but inner bridge report contains MEDIUM / REVIEW_REQUIRED","Status  : NEXUSCORE_EXTERNAL_BRIDGE_REVIEW_REQUIRED | Risk    : MEDIUM | OK      : 2 | WARN    : 1 | FAIL    : 0 | Install : LOCKED | HTML    : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201624\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.html | JSON    : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201624\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.json | CSV     : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201624\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.csv | Log     : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201624\_logs\NEXUSCORE_EXTERNAL_BRIDGE.log","True","False","Normalize bridge status propagation and HTML matrix interpretation.","OPEN"
"1","SLOW_BRIDGE_ProbeAll","ParallelFix","MEDIUM","HEAD_SLOW_PROBE","ProbeAll","Bridge probe duration exceeds threshold","29496 ms","True","False","Add fast AST-only probe cache and avoid repeated help execution.","OPEN"
"1","BRIDGE_INNER_MEDIUM_AccelerationBridge","SequentialFix","MEDIUM","HEAD_STATUS_PROPAGATION","Celeritas","Outer action PASS but inner bridge report contains MEDIUM / REVIEW_REQUIRED","Status  : NEXUSCORE_EXTERNAL_BRIDGE_REVIEW_REQUIRED | Risk    : MEDIUM | OK      : 0 | WARN    : 1 | FAIL    : 0 | Install : LOCKED | HTML    : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201659\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.html | JSON    : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201659\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.json | CSV     : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201659\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.csv | Log     : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201659\_logs\NEXUSCORE_EXTERNAL_BRIDGE.log","False","True","Create explicit Celeritas safe adapter and classify no-help/no-cli as adapter-needed, not unknown execution.","OPEN"
"1","SLOW_BRIDGE_AccelerationBridge","ParallelFix","MEDIUM","HEAD_SLOW_PROBE","AccelerationBridge","Bridge probe duration exceeds threshold","26590 ms","True","False","Add fast AST-only probe cache and avoid repeated help execution.","OPEN"
"1","BRIDGE_INNER_MEDIUM_DownloadOnlyBridge","SequentialFix","MEDIUM","HEAD_STATUS_PROPAGATION","Celeritas","Outer action PASS but inner bridge report contains MEDIUM / REVIEW_REQUIRED","Status  : NEXUSCORE_EXTERNAL_BRIDGE_REVIEW_REQUIRED | Risk    : MEDIUM | OK      : 0 | WARN    : 1 | FAIL    : 0 | Install : LOCKED | HTML    : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201726\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.html | JSON    : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201726\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.json | CSV     : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201726\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.csv | Log     : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201726\_logs\NEXUSCORE_EXTERNAL_BRIDGE.log","False","True","Create explicit Celeritas safe adapter and classify no-help/no-cli as adapter-needed, not unknown execution.","OPEN"
"1","SLOW_BRIDGE_DownloadOnlyBridge","ParallelFix","MEDIUM","HEAD_SLOW_PROBE","DownloadOnlyBridge","Bridge probe duration exceeds threshold","26180 ms","True","False","Add fast AST-only probe cache and avoid repeated help execution.","OPEN"
"1","BRIDGE_INNER_MEDIUM_ValidateBridge","ParallelFix","MEDIUM","HEAD_STATUS_PROPAGATION","Bridge","Outer action PASS but inner bridge report contains MEDIUM / REVIEW_REQUIRED","Status  : NEXUSCORE_EXTERNAL_BRIDGE_REVIEW_REQUIRED | Risk    : MEDIUM | OK      : 2 | WARN    : 1 | FAIL    : 0 | Install : LOCKED | HTML    : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201752\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.html | JSON    : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201752\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.json | CSV     : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201752\_reports\NEXUSCORE_EXTERNAL_BRIDGE_REPORT.csv | Log     : C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge\RUN_20260610_201752\_logs\NEXUSCORE_EXTERNAL_BRIDGE.log","True","False","Normalize bridge status propagation and HTML matrix interpretation.","OPEN"
"1","SLOW_BRIDGE_ValidateBridge","ParallelFix","MEDIUM","HEAD_SLOW_PROBE","ValidateBridge","Bridge probe duration exceeds threshold","28963 ms","True","False","Add fast AST-only probe cache and avoid repeated help execution.","OPEN"
"1","CELERITAS_SAFE_CLI_AMBIGUOUS","SequentialFix","MEDIUM","HEAD_ACCELERATOR_AMBIGUOUS","Celeritas","Celeritas has no clear safe CLI contract or help probe is ambiguous","Help=PASS; Args=; SafeKeywords=","False","True","Create explicit CeleritasAdapter with Probe/Plan/DownloadOnly-safe modes; never execute install.","OPEN"
"1","CELERITAS_SAFE_CLI_AMBIGUOUS","SequentialFix","MEDIUM","HEAD_ACCELERATOR_AMBIGUOUS","Celeritas","Celeritas has no clear safe CLI contract or help probe is ambiguous","Help=PASS; Args=; SafeKeywords=","False","True","Create explicit CeleritasAdapter with Probe/Plan/DownloadOnly-safe modes; never execute install.","OPEN"
