"FileName","RelativePath","FullPath","Extension","ToolType","SizeBytes","ModifiedTime"
"VeritasNexusCore_FREEZE_Run.log","_freeze_reports\FREEZE_20260608_181208\VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_181208\VeritasNexusCore_FREEZE_Run.log",".log","other","468","2026-06-08 18:12:14"
"VeritasNexusCore_FREEZE_Run.log","_freeze_reports\FREEZE_20260608_200408\VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_20260608_200408\VeritasNexusCore_FREEZE_Run.log",".log","other","468","2026-06-08 20:04:16"
"VeritasNexusCore_FREEZE_Run.log","_freeze_reports\FREEZE_HOTFIX_20260608_200957\VeritasNexusCore_FREEZE_Run.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_HOTFIX_20260608_200957\VeritasNexusCore_FREEZE_Run.log",".log","other","7003","2026-06-08 20:10:16"
"VeritasNexusCore_FREEZE_Manifest_v03.csv","_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.csv",".csv","csv","26546","2026-06-08 20:15:46"
"VeritasNexusCore_FREEZE_Manifest_v03.json","_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Manifest_v03.json",".json","json","39345","2026-06-08 20:15:46"
"VeritasNexusCore_FREEZE_Report_v03.html","_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Report_v03.html","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Report_v03.html",".html","html","37060","2026-06-08 20:15:46"
"VeritasNexusCore_FREEZE_ReportRecovery_v03.log","_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_ReportRecovery_v03.log","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_ReportRecovery_v03.log",".log","other","2335","2026-06-08 20:15:46"
"VDF_NexusCore_ModuleRegistry.csv","_nexus_registry\VDF_NexusCore_ModuleRegistry.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.csv",".csv","csv","5568","2026-06-09 03:22:00"
"VDF_NexusCore_ModuleRegistry.json","_nexus_registry\VDF_NexusCore_ModuleRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json",".json","json","9870","2026-06-09 03:22:00"
"VDF_VRN_CrossLinks.json","_nexus_registry\VDF_VRN_CrossLinks.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_VRN_CrossLinks.json",".json","json","27893","2026-06-09 03:22:00"
