"def_id","def_name","def_function","def_status"
"PSA01","Run-Isolated Output","每次 RUN 獨立資料夾，不覆蓋舊結果","ENABLED"
"PSA02","No Child Execution Default","只做 first-step scan，不直接跑其他大腳本","LOCKED_SAFE"
"PSA03","Used Tools Staging","把本次用到的工具複製到 _used_tools","ENABLED"
"PSA04","Head-Only Large File Scan","大型檔只讀前段，避免卡住","ENABLED"
"PSA05","Extension Filter","只掃描可治理檔案類型","ENABLED"
"PSA06","Static Metrics","函式、class、import、param、risk 快速統計","ENABLED"
"PSA07","Danger Token Review","只標記高風險 token，不自動修","ENABLED"
"PSA08","Previous v0102 Bridge","接上上一輪 parameters/canonical/P0 結果","ENABLED"
"PSA09","Five-Flow Matrix","每個子系統 5 流程獨立列出","ENABLED"
"PSA10","Hydra Guard","修正前先分類 parallel-safe / sequential-safe","ENABLED"
"PSA11","Dense HTML UI","小字體、nowrap、ellipsis、sticky header","ENABLED"
"PSA12","Equal Height Layout","左右卡片同高，自動 grid stretch","ENABLED"
"PSA13","Searchable Matrices","每個矩陣可前端搜尋","ENABLED"
"PSA14","Active Pointer","固定 pointer 指向最新報告與輸出","ENABLED"
"PSA15","PowerShell No Exit","例外後保持 PowerShell 開啟","ENABLED"
