"Time","Round","Layer","Name","Status","Risk","FixClass","Metric","Value","Message","Path"
"2026-06-09 18:02:24","Round0","ACTIVE_STATE","VIA_UnifiedInput_SSOT.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json"
"2026-06-09 18:02:24","Round0","ACTIVE_STATE","VIA_ACTIVE_POINTER.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_POINTER.json"
"2026-06-09 18:02:24","Round0","DIRECTORY_READY","VDF","OK","LOW","PARALLEL_SAFE","directory","exists","Directory exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF"
"2026-06-09 18:02:24","Round0","DIRECTORY_READY","VRN","OK","LOW","PARALLEL_SAFE","directory","exists","Directory exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN"
"2026-06-09 18:02:24","Round0","DIRECTORY_READY","VDF","OK","LOW","PARALLEL_SAFE","directory","exists","Directory exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"2026-06-09 18:02:24","Round0","DIRECTORY_READY","VRN","OK","LOW","PARALLEL_SAFE","directory","exists","Directory exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN"
"2026-06-09 18:02:24","Round0","ACTIVE_GATEWAY","Invoke-VIA-ActivationGateway-ParamFirst.ps1","OK","LOW","PARALLEL_SAFE","latest_v05_gateway","found","Latest valid v05 Param-First gateway found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1"
"2026-06-09 18:02:25","Round1","STATIC_SCOPE","PowerShell files","OK","LOW","PARALLEL_SAFE","count","87","PowerShell files selected for accelerated AST parse.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-Hardened.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway; not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V02_GATEWAY_HOTFIX_20260609_035258\gateway\Invoke-VIA-ActivationGateway-Hardened.ps1"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-Stable.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway; not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V03_STABLE_HOTFIX_20260609_035508\gateway\Invoke-VIA-ActivationGateway-Stable.ps1"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-InlineReady.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway; not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V04_INLINE_READY_20260609_035734\gateway\Invoke-VIA-ActivationGateway-InlineReady.ps1"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-ParamFirst.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","Invoke-VIA-UnifiedInputGateway.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway; not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_freeze\VIA_UNIFIED_INPUT_SSOT_FREEZE_GATEWAY_20260609_034130\gateway\Invoke-VIA-UnifiedInputGateway.ps1"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","VRN_MDL188_VRN-AllInOne__REPORT__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL188_VRN-AllInOne__REPORT__v0_0.ps1"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","VRN_MDL189_run_vrn_boot_purge_temp_first__MODULE__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL189_run_vrn_boot_purge_temp_first__MODULE__v0_0.ps1"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","VRN_MDL190_run_vrn_boot_purge_temp_first__REPORT__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL190_run_vrn_boot_purge_temp_first__REPORT__v0_0.ps1"
"2026-06-09 18:02:25","Round1","POWERSHELL_AST","VRN_MDL191_VRN-AllInOne__MODULE__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL191_VRN-AllInOne__MODULE__v0_0.ps1"
