"Layer","Category","Decision","Risk","Action","Path","Bytes","Size","FileCount","Reason"
"TopFolder","Folder","CANDIDATE","MEDIUM","QUARANTINE_REVIEW_CANDIDATE","C:\Users\tonyk\Downloads\backup_veritas","1317812194","1.23 GB","51494","疑似舊 coding package / archive / backup。先隔離候選，不直接刪除。"
"LargeFile",".exe","CANDIDATE","LOW","INSTALLER_ARCHIVE_REVIEW_CANDIDATE","C:\Users\tonyk\Downloads\OllamaSetup.exe","1259721808","1.17 GB","1","Downloads installer/archive 大檔；可隔離到 review，不直接刪除。"
"LargeFile",".exe","CANDIDATE","LOW","INSTALLER_ARCHIVE_REVIEW_CANDIDATE","C:\Users\tonyk\Downloads\OllamaSetup (1).exe","1259721808","1.17 GB","1","Downloads installer/archive 大檔；可隔離到 review，不直接刪除。"
"PythonEnv","venv","CANDIDATE","MEDIUM","OLD_ARCHIVE_ENV_QUARANTINE_REVIEW_CANDIDATE","C:\Users\tonyk\Downloads\backup_veritas\20251019_181953\VeritasReportNova\.venv","1123975739","1.05 GB","48537","舊 archive / backup / package 內的 venv，通常可重建；先隔離候選，不直接刪除。"
"LargeFile",".parquet","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\桌面\tw_stock\TAData.parquet","1119621457","1.04 GB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_091358\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.csv","939383891","895.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.csv","939383891","895.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_054737\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.csv","939383891","895.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.csv","939383891","895.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_092700\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.csv","939383891","895.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
